id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
ARS01,David Raya,ARS,30,183,82,70,92,GK*,,,,84,,,,,,,,,,,,,82,78,86,86,88,85,84,85,85,72,45,72,40,88,78,70,70,60,72,74,70,80,62,72,70,82,80,88,18,84,88,86,84,78,30,55,15,
ARS02,Kepa Arrizabalaga,ARS,31,186,84,60,90,GK*,,,,80,,,,,,,,,,,,,78,78,82,80,80,76,78,78,78,58,40,58,40,80,72,64,66,58,68,72,68,76,58,70,68,76,74,82,30,78,80,78,72,65,35,55,18,
ARS03,Illan Meslier,ARS,26,193,82,50,90,GK*,,,,74,,,,,,,,,,,,,76,74,76,74,74,72,74,74,74,55,40,76,40,76,70,60,64,56,66,70,72,76,60,70,72,76,70,76,35,74,78,78,66,60,45,60,18,
ARS04,William Saliba,ARS,25,192,85,35,90,DC*,55,65,40,76,35,82,40,88,80,84,74,30,25,40,60,84,72,86,84,84,84,82,40,68,45,92,78,66,74,76,74,82,86,82,82,78,,,,,,,,,,,,,85,76,20,55,22,
ARS05,Ben White,ARS,28,185,77,45,92,"DR*,DC+",68,68,55,74,40,72,55,80,78,78,72,35,30,45,65,80,74,80,80,80,82,82,55,68,72,84,82,68,82,78,76,80,76,82,78,82,,,,,,,,,,,,,80,72,25,70,30,
ARS06,Gabriel Magalhaes,ARS,28,190,87,80,70,DC*,45,58,45,68,35,86,62,88,74,84,70,30,30,40,72,80,80,80,82,82,78,85,45,72,55,90,76,62,76,72,70,84,88,80,74,76,,,,,,,,,,,,,82,78,30,55,45,
ARS07,Piero Hincapie,ARS,24,184,78,88,68,"DL+,DC*",55,68,45,76,38,76,45,82,78,80,74,32,25,42,66,78,72,80,78,78,78,80,45,62,55,84,78,70,76,76,74,78,78,80,78,78,,,,,,,,,,,,,74,70,35,70,25,
ARS08,Jurrien Timber,ARS,25,179,76,70,88,"DR*,DL+",70,76,52,78,40,68,50,82,80,82,78,35,25,45,70,80,74,80,80,80,80,82,50,65,70,85,80,70,86,80,80,80,74,82,82,82,,,,,,,,,,,,,80,72,45,72,35,
ARS09,Riccardo Calafiori,ARS,24,186,80,75,85,"DL*,DC+",66,70,50,78,45,72,50,80,80,76,78,35,30,45,68,76,72,80,78,78,78,80,55,62,68,84,78,74,80,74,76,80,78,80,76,80,,,,,,,,,,,,,74,66,40,72,40,
ARS10,Ezri Konsa,ARS,28,183,80,40,90,DC*,50,62,42,74,35,74,42,84,76,80,70,30,25,40,62,80,72,82,82,82,80,80,42,68,52,86,80,66,76,78,74,80,78,82,80,78,,,,,,,,,,,,,80,74,30,65,25,
ARS11,Myles Lewis-Skelly,ARS,19,178,72,75,86,"DL*,DM+",66,74,55,78,45,60,50,76,78,76,76,35,25,45,72,74,76,78,74,76,80,58,60,72,80,78,72,84,76,78,80,66,78,76,80,76,,,,,,,,,,,,,60,70,25,68,35,
ARS12,Martin Zubimendi,ARS,27,184,78,40,90,DM*,60,74,48,86,45,62,45,80,88,80,84,40,25,45,60,84,66,88,84,84,88,80,55,68,68,88,84,80,80,70,74,78,68,82,70,84,,,,,,,,,,,,,82,74,25,65,20,
ARS13,Declan Rice,ARS,27,185,80,75,88,"MC*,DM*",62,72,62,82,55,72,68,80,84,80,80,45,40,60,68,80,74,82,84,84,82,86,55,78,72,86,84,76,86,78,74,80,82,84,78,86,,,,,,,,,,,,,82,82,25,70,30,
ARS14,Bruno Guimaraes,ARS,28,180,74,85,88,"MC*,DM+",62,76,66,82,55,64,78,68,86,78,84,50,30,62,62,78,66,82,80,80,82,82,72,80,70,78,80,84,84,74,74,76,70,78,76,84,,,,,,,,,,,,,76,25,70,28,,喜欢远射
ARS15,Martin Odegaard,ARS,27,178,70,55,95,"AMC*,MR+",70,84,70,88,65,55,72,45,90,55,90,55,30,70,55,78,60,86,84,84,88,86,82,82,84,68,90,92,88,76,82,78,60,80,76,82,,,,,,,,,,,,,82,30,70,12,,喜欢直塞身后
ARS16,Mikel Merino,ARS,30,189,80,78,80,"MC*,AMC+",62,68,66,78,50,84,62,76,80,74,76,45,40,55,72,76,76,80,80,80,78,82,52,74,76,82,82,74,84,72,70,80,86,82,72,84,,,,,,,,,,,,,78,76,30,75,35,
ARS17,Eberechi Eze,ARS,28,175,70,88,75,"AMC*,AML*",74,88,78,86,72,55,74,42,84,45,88,55,30,75,52,76,62,84,78,82,82,78,88,62,82,58,76,88,76,80,86,82,62,78,80,78,,,,,,,,,,,,,74,35,68,18,,爱盘带过人
ARS18,Ethan Nwaneri,ARS,19,178,70,85,80,"AMC*,AMR+",66,84,76,80,55,52,68,40,78,42,84,48,25,60,55,72,62,78,74,74,76,76,80,52,78,55,72,80,74,80,82,78,64,76,78,76,,,,,,,,,,,,,70,30,70,18,,爱盘带过人
ARS19,Bukayo Saka,ARS,25,178,72,88,75,"AMR*,MR+",87,88,80,84,60,55,68,40,82,45,86,50,30,65,58,76,66,84,82,82,82,84,82,72,86,55,88,84,86,84,84,85,62,80,82,82,,,,,,,,,,,,,82,30,70,12,,喜欢内切
ARS20,Gabriel Martinelli,ARS,25,180,73,85,72,"AML*,ST+",74,82,76,74,45,58,62,38,72,40,76,45,25,55,62,70,64,76,76,76,74,82,68,58,84,52,78,72,88,90,86,78,74,82,90,84,,,,,,,,,,,,,72,25,68,20,,喜欢利用速度
ARS21,Noni Madueke,ARS,24,182,76,40,92,AMR*,76,84,74,76,50,55,65,38,74,42,80,45,28,55,60,72,62,76,74,74,76,76,74,55,80,50,74,74,80,86,82,78,70,78,86,78,,,,,,,,,,,,,66,30,65,22,,爱盘带过人
ARS22,Christos Tzolis,ARS,24,178,72,90,60,"AML*,AMR+",70,80,72,74,50,50,64,38,72,42,78,45,25,55,52,70,60,74,72,72,72,74,74,52,76,52,70,72,76,84,82,76,58,74,84,78,,,,,,,,,,,,,62,35,68,15,,爱盘带过人
ARS23,Viktor Gyokeres,ARS,28,189,85,82,80,ST*,62,76,86,78,55,78,68,35,68,55,72,40,30,70,68,70,76,80,78,78,76,84,62,60,86,55,70,68,86,84,76,82,82,80,84,82,,,,,,,,,,,,,76,25,65,30,,喜欢利用速度
ARS24,Kai Havertz,ARS,27,193,80,82,82,"ST*,AMC+",66,76,78,84,60,80,66,42,78,48,82,50,32,65,58,76,68,80,78,78,80,80,70,66,82,58,80,82,78,74,74,78,84,80,76,78,,,,,,,,,,,,,74,74,45,75,18,
ARS25,Gabriel Jesus,ARS,29,175,72,85,80,"ST*,AMR+",70,84,78,84,55,60,64,38,76,44,80,45,25,65,58,74,66,78,76,76,78,80,74,60,80,52,76,78,82,84,82,78,72,72,82,76,,,,,,,,,,,,,70,70,70,72,18,
