id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
AVL01,Zion Suzuki,AVL,24,188,80,55,92,GK*,,,,74,,,,,,,,,,,,,78,76,78,76,76,74,74,76,76,58,40,78,40,78,70,62,66,58,68,72,74,78,60,72,74,82,78,82,28,78,80,78,72,70,30,60,18,
AVL02,Marco Bizot,AVL,35,193,88,55,90,GK*,,,,72,,,,,,,,,,,,,78,76,82,78,78,74,74,74,74,60,40,78,40,78,70,60,64,54,66,72,70,76,56,68,68,78,76,82,32,72,78,72,70,62,35,55,18,
AVL03,Matty Cash,AVL,29,178,74,55,90,"DR*,MR+",66,70,55,72,40,62,55,76,74,78,70,38,28,48,68,76,70,74,78,74,80,52,62,72,80,78,66,84,80,76,78,72,80,80,82,74,,,,,,,,,,,,,74,70,30,65,32,
AVL04,Victor Lindelof,AVL,32,187,80,55,92,DC*,50,62,40,74,35,74,42,82,76,78,70,30,25,40,58,76,70,78,76,76,76,78,42,64,50,82,78,66,74,72,70,76,80,74,72,74,,,,,,,,,,,,,70,68,45,68,20,
AVL05,Taylor Harwood-Bellis,AVL,24,188,82,55,92,DC*,50,62,42,74,38,76,42,80,76,76,70,32,25,40,60,76,70,78,78,78,76,78,42,64,52,84,78,66,76,74,70,78,80,76,76,76,,,,,,,,,,,,,66,64,30,65,25,
AVL06,Tyrone Mings,AVL,33,188,85,55,88,DC*,46,58,42,68,32,84,45,84,72,78,66,28,30,40,66,76,76,78,76,76,76,80,40,74,48,84,76,60,74,72,66,78,86,72,72,74,,,,,,,,,,,,,72,74,55,60,35,
AVL07,Pau Torres,AVL,29,191,80,75,88,DC*,52,66,42,82,40,78,45,82,84,80,78,35,25,40,55,78,64,84,80,80,82,78,45,68,55,86,80,74,72,72,72,78,82,80,74,76,,,,,,,,,,,,,78,70,35,68,18,
AVL08,Matteo Ruggeri,AVL,24,180,74,85,92,"DL*,WBL+",68,72,50,72,42,60,50,74,74,74,72,48,28,45,62,74,66,74,76,76,74,76,48,58,66,78,76,68,84,78,76,76,70,78,80,78,,,,,,,,,,,,,62,60,25,68,20,
AVL09,Lamare Bogarde,AVL,22,183,76,45,88,"DC*,DM+",50,64,42,72,35,64,42,74,74,72,68,32,22,40,60,72,66,74,74,74,72,76,45,58,55,78,76,64,76,72,70,76,74,76,72,76,,,,,,,,,,,,,58,60,30,68,25,
AVL10,John McGinn,AVL,31,178,78,85,80,"MC*,DM+",62,70,68,76,55,68,72,68,78,76,74,45,35,60,74,74,78,78,80,80,78,85,55,78,72,78,84,72,88,74,72,80,76,80,74,84,,,,,,,,,,,,,78,78,30,75,38,
