id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BHA01,Bart Verbruggen,BHA,24,193,85,50,90,GK*,,,,82,,,,,,,,,,,,,82,78,82,82,80,78,78,78,78,60,40,82,40,82,74,68,66,60,70,74,76,78,62,72,74,84,80,84,30,82,84,84,74,70,25,62,18,
BHA02,Jason Steele,BHA,35,191,85,55,90,GK*,,,,76,,,,,,,,,,,,,76,74,78,76,76,72,72,72,72,58,40,76,40,76,70,60,62,52,64,68,66,72,60,66,66,76,70,76,60,76,76,72,68,62,35,55,15,
BHA03,Tom McGill,BHA,26,192,84,50,92,GK*,,,,68,,,,,,,,,,,,,74,72,74,72,74,70,70,72,72,50,40,74,40,74,68,58,62,54,64,70,68,72,56,68,68,74,68,74,58,74,72,72,60,58,30,58,15,
BHA04,Lewis Dunk,BHA,34,192,85,55,92,DC*,48,60,40,74,42,84,48,84,76,78,68,35,35,40,62,78,74,80,78,78,78,80,42,78,48,84,78,66,74,66,62,78,86,70,68,72,,,,,,,,,,,,,76,74,40,62,32,
BHA05,Adam Webster,BHA,31,187,80,55,90,DC*,50,62,40,72,38,74,45,76,72,72,68,35,28,40,58,74,68,74,76,76,74,76,45,62,52,78,76,64,76,70,68,76,76,72,74,76,,,,,,,,,,,,,70,66,55,68,22,
BHA06,Pascal Struijk,BHA,27,190,83,90,60,"DC*,DL+",50,60,40,72,35,76,42,78,70,74,68,30,28,40,60,76,70,76,76,76,76,76,42,60,50,80,76,64,76,68,66,78,82,72,72,74,,,,,,,,,,,,,72,68,35,68,25,
BHA07,Igor Julio,BHA,29,191,84,85,70,DC*,48,60,40,70,35,76,45,78,70,76,68,30,28,40,62,76,70,76,76,76,74,76,42,60,52,80,76,64,76,70,68,78,82,72,72,76,,,,,,,,,,,,,72,68,30,65,25,
BHA08,Jan Paul van Hecke,BHA,25,184,78,45,92,DC*,50,62,40,76,35,76,42,82,78,78,72,32,25,40,60,78,70,80,80,80,78,80,42,62,50,86,78,68,78,76,72,78,82,80,76,78,,,,,,,,,,,,,78,70,25,65,25,
BHA09,Jaouen Hadjam,BHA,23,175,68,80,92,DL*,68,70,48,70,42,58,45,72,72,70,70,48,25,42,58,70,64,72,72,72,72,74,48,55,66,76,72,64,80,80,78,76,66,76,80,80,,,,,,,,,,,,,62,60,30,65,20,
BHA10,Luka Vuskovic,BHA,19,192,82,75,90,DC+,48,60,38,72,35,76,42,74,72,72,70,30,25,40,58,74,68,74,74,74,74,74,42,55,48,76,72,62,76,74,70,78,82,78,76,74,,,,,,,,,,,,,58,58,25,62,15,
