id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BOU01,Djordje Petrovic,BOU,26,194,87,45,90,GK*,,,,80,,,,,,,,,,,,,78,78,80,78,80,76,76,76,76,58,40,80,40,80,72,62,66,58,68,74,74,78,60,72,72,80,76,80,28,80,82,78,74,68,30,60,22,
BOU02,Michele Di Gregorio,BOU,29,190,83,45,92,GK*,,,,78,,,,,,,,,,,,,80,76,80,78,78,76,76,76,76,58,40,78,40,78,72,62,64,56,66,72,74,76,58,70,74,78,76,82,22,78,82,78,74,70,25,60,15,
BOU03,Julian Araujo,BOU,25,178,72,45,92,"DR*,WBR+",68,68,48,70,38,56,45,74,72,74,70,42,28,45,62,72,68,72,74,72,76,48,55,66,76,74,62,84,80,76,76,66,76,82,82,72,,,,,,,,,,,,,66,62,30,68,22,
BOU04,Adrien Truffert,BOU,24,178,72,85,88,DL*,66,70,48,72,45,58,48,74,74,72,72,48,28,45,58,74,66,74,76,76,74,76,48,58,68,78,76,66,80,78,76,76,66,76,78,80,,,,,,,,,,,,,68,64,25,68,20,
BOU05,James Hill,BOU,24,183,76,45,90,"DC*,DL+",50,60,42,66,35,68,42,72,68,70,64,30,25,38,60,70,68,72,74,74,72,76,42,54,52,76,74,60,78,74,70,74,72,76,74,76,,,,,,,,,,,,,62,60,30,68,25,
BOU06,Adam Smith,BOU,35,173,70,55,90,"DR*,WBR+",66,66,45,70,38,56,50,74,74,72,68,40,30,42,60,74,66,76,76,76,76,76,45,70,68,78,78,66,78,68,68,72,64,72,68,74,,,,,,,,,,,,,72,66,35,72,28,
BOU07,Antonio Silva,BOU,22,188,82,45,92,DC*,50,66,42,74,35,76,42,80,76,78,72,30,25,42,60,76,68,78,76,76,76,78,45,58,52,80,76,66,74,76,72,78,80,78,76,78,,,,,,,,,,,,,64,62,25,65,22,
BOU08,Juanlu Sanchez,BOU,23,178,70,55,90,"DR*,AMR+",66,72,52,70,40,54,48,72,70,70,70,42,25,45,58,70,64,72,72,72,72,74,52,52,68,74,72,64,80,80,76,74,64,76,82,80,,,,,,,,,,,,,60,58,30,65,18,
BOU09,Julio Soler,BOU,21,175,70,85,72,DL*,62,70,48,70,40,58,45,72,72,70,68,40,25,42,60,70,66,72,72,72,72,76,50,52,68,76,72,64,80,78,76,74,66,76,78,78,,,,,,,,,,,,,58,60,25,65,22,
BOU10,Lewis Cook,BOU,29,176,70,55,90,"DM*,MC*",60,72,52,78,45,58,55,74,82,76,76,45,28,50,60,76,64,80,80,80,78,78,55,66,68,80,82,76,82,72,74,76,66,78,72,82,,,,,,,,,,,,,78,70,30,70,22,
BOU11,David Brooks,BOU,29,170,65,70,90,"AMR*,AMC+",64,76,66,72,55,50,62,45,74,48,76,48,25,55,58,70,64,74,74,74,74,76,62,55,72,60,76,70,80,76,76,74,60,70,70,76,,,,,,,,,,,,,68,66,60,70,18,
BOU12,Alex Scott,BOU,23,170,66,75,88,"AMC*,MC+",62,80,66,78,50,50,62,40,76,45,80,45,25,52,55,70,62,76,74,74,74,74,70,52,76,58,74,76,78,78,82,76,58,76,76,76,,,,,,,,,,,,,64,64,30,68,18,
BOU13,Ryan Christie,BOU,31,175,68,70,85,"MR*,AMR+",70,74,62,74,50,52,64,50,76,55,74,48,25,55,64,72,68,76,78,78,74,80,58,60,74,66,78,70,88,78,76,74,62,76,76,82,,,,,,,,,,,,,74,70,30,72,25,
BOU14,Tyler Adams,BOU,27,175,72,55,90,"DM*,MR+",55,68,48,74,40,56,48,74,76,78,70,38,25,42,72,76,74,76,78,78,76,82,45,60,62,80,80,66,86,80,76,78,68,80,78,84,,,,,,,,,,,,,74,70,55,70,30,
BOU15,Justin Kluivert,BOU,27,172,66,90,78,"AMC*,AML*",68,84,74,82,60,50,70,40,78,42,82,55,28,84,52,72,58,78,74,74,76,72,82,55,78,55,72,80,74,80,82,76,56,74,78,76,,,,,,,,,,,,,68,35,72,15,,爱盘带过人
BOU16,Marcus Tavernier,BOU,27,175,70,82,88,"AMR*,AML+,MC+",68,76,68,76,62,54,74,50,76,52,76,52,28,62,60,72,64,76,76,76,76,78,62,58,76,60,76,74,84,78,78,76,66,76,78,82,,,,,,,,,,,,,72,68,35,72,22,
BOU17,Ben Gannon-Doak,BOU,20,175,68,90,80,"AMR*,AML+",62,78,66,68,40,48,58,35,68,45,72,40,22,48,58,68,62,70,70,70,70,74,68,48,76,52,68,66,82,90,84,74,60,74,88,76,,,,,,,,,,,,,58,40,68,18,,爱盘带过人|喜欢利用速度
BOU18,Enes Unal,BOU,29,188,82,80,85,ST*,55,68,78,72,50,78,66,32,62,50,68,40,28,68,62,66,70,76,74,74,72,76,55,52,78,55,68,64,76,74,70,76,80,72,74,74,,,,,,,,,,,,,68,64,65,62,28,
BOU19,Evanilson,BOU,26,188,84,80,80,ST*,58,72,80,76,48,76,62,35,66,50,70,40,28,65,62,68,70,78,76,76,74,80,55,55,82,55,70,66,84,80,76,78,82,78,80,80,,,,,,,,,,,,,68,35,65,25,,高举高打
