id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BRE01,Caoimhin Kelleher,BRE,27,191,83,50,92,GK*,,,,76,,,,,,,,,,,,,82,78,82,80,80,78,78,78,78,60,40,80,40,80,72,62,68,58,70,74,74,78,60,72,72,84,76,82,25,76,84,74,76,70,30,60,18,
BRE02,Hakon Valdimarsson,BRE,24,196,88,50,92,GK*,,,,72,,,,,,,,,,,,,76,74,76,74,76,72,72,74,74,52,40,76,40,76,68,58,64,58,68,72,72,80,55,70,72,80,62,80,62,62,62,58,,,25,58,15,
BRE03,Michael Kayode,BRE,22,183,78,45,90,"WBR*,DR+",70,72,52,70,38,62,52,74,72,76,70,42,30,45,66,72,70,72,74,72,78,52,55,74,76,74,64,84,80,76,78,72,78,82,80,76,,,,,,,,,,,,,60,60,30,65,28,
BRE04,Kristoffer Ajer,BRE,28,198,90,55,92,"DC*,DR+",52,64,45,72,35,80,45,82,74,78,70,32,28,40,64,76,74,78,78,78,76,80,42,66,52,84,78,62,80,76,70,82,86,80,76,78,,,,,,,,,,,,,76,70,35,68,30,
BRE05,Nathan Collins,BRE,25,191,82,50,92,DC*,50,62,42,72,35,78,42,82,76,78,70,30,25,40,60,78,70,80,80,80,78,80,42,68,50,86,78,64,78,76,72,80,84,80,78,78,,,,,,,,,,,,,78,72,25,65,25,
BRE06,Sepp van den Berg,BRE,24,184,78,40,92,DC*,48,62,40,72,35,76,42,80,74,76,68,30,25,38,60,76,68,76,78,78,76,78,42,60,50,82,76,62,78,78,72,78,82,80,78,78,,,,,,,,,,,,,70,64,25,68,22,
BRE07,Jannik Schuster,BRE,21,188,80,55,90,DC+,46,58,38,70,32,72,40,74,72,72,66,28,22,38,56,72,66,72,72,72,70,74,42,52,48,76,72,60,74,74,70,76,76,76,74,76,,,,,,,,,,,,,55,55,25,62,15,
BRE08,Aaron Hickey,BRE,24,180,74,75,88,"DR*,DL+",64,70,50,72,40,62,50,78,74,76,72,40,28,45,60,76,68,76,78,78,76,78,48,60,68,80,78,68,82,76,76,78,72,76,78,80,,,,,,,,,,,,,68,64,55,70,25,
BRE09,Rico Henry,BRE,29,173,70,85,78,DL*,68,68,48,70,40,58,48,76,72,72,68,45,30,42,60,74,66,74,76,76,74,76,48,60,70,78,76,66,80,74,74,76,64,70,76,76,,,,,,,,,,,,,68,64,60,68,22,
BRE10,Malick Diouf,BRE,21,185,78,85,90,DL*,62,68,45,70,40,62,48,74,72,72,68,45,28,45,60,72,66,72,74,74,72,76,45,55,64,76,74,64,84,78,74,76,70,76,80,82,,,,,,,,,,,,,62,60,30,65,20,
