id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
CHE01,Robert Sanchez,CHE,28,197,90,50,92,GK*,,,,76,,,,,,,,,,,,,80,78,82,78,78,76,76,76,76,60,40,80,40,80,72,64,66,58,68,74,76,78,62,72,76,84,80,84,32,76,84,80,72,68,35,60,22,
CHE02,Emiliano Martinez,CHE,33,193,90,55,92,GK*,,,,74,,,,,,,,,,,,,86,84,84,88,84,84,84,86,86,76,40,86,40,86,74,66,68,58,70,78,78,80,60,72,74,86,86,84,45,74,88,78,82,88,25,55,40,
CHE03,Reece James,CHE,26,182,80,55,92,"DR*,WBR*,MC+",74,74,58,76,55,68,62,76,82,78,80,52,30,58,62,78,70,80,76,76,80,80,55,80,80,70,78,80,80,76,78,74,60,76,74,80,,,,,,,,,,,,,72,74,75,75,25,
CHE04,Malo Gusto,CHE,23,178,72,45,92,"DR*,WBR+",66,72,50,72,38,58,48,76,74,76,72,42,25,45,60,74,68,74,76,76,74,76,52,55,72,76,74,66,82,84,80,76,68,78,84,80,,,,,,,,,,,,,68,64,30,68,22,
CHE05,Marco Palestra,CHE,21,180,72,45,92,"DR*,WBR+",68,70,48,70,38,60,48,74,72,76,70,42,28,45,62,72,68,72,74,72,76,48,55,68,74,72,64,82,82,78,76,68,76,82,82,72,,,,,,,,,,,,,60,58,25,65,20,
CHE06,Wesley Fofana,CHE,24,186,80,45,90,DC*,50,66,42,74,35,74,42,82,76,80,74,30,25,40,64,78,72,78,76,76,76,78,45,62,52,84,76,66,76,80,76,80,80,65,80,76,,,,,,,,,,,,,68,66,78,62,30,
CHE07,Trevoh Chalobah,CHE,27,190,82,45,90,"DC*,DM+",50,62,45,72,38,76,45,80,76,76,70,32,28,42,62,76,72,78,78,78,76,78,45,64,55,82,78,66,78,74,70,78,82,78,74,78,,,,,,,,,,,,,72,68,40,72,28,
CHE08,Levi Colwill,CHE,23,187,78,75,88,"DC*,DL+",52,66,42,78,40,74,45,80,80,76,74,32,25,42,58,78,68,80,78,78,78,78,45,60,55,84,78,70,76,76,74,78,80,78,76,78,,,,,,,,,,,,,70,66,50,70,22,
CHE09,Maxence Lacroix,CHE,26,186,80,45,92,DC*,48,64,40,72,35,76,42,80,76,78,70,30,25,40,62,78,72,78,78,78,76,78,45,62,52,84,76,66,78,80,76,80,80,78,80,78,,,,,,,,,,,,,74,70,30,65,30,
CHE10,Aaron Anselmino,CHE,21,184,76,55,90,DC+,46,58,38,68,32,68,40,70,68,70,66,28,22,38,58,72,66,70,72,72,70,72,42,52,48,76,72,60,74,74,70,72,74,76,74,74,,,,,,,,,,,,,56,55,30,60,15,
CHE11,Jorrel Hato,CHE,20,182,74,85,85,"DL*,DC+",58,70,48,76,40,70,45,78,78,74,72,38,25,42,58,76,66,78,76,76,76,76,48,58,58,82,76,70,78,76,76,78,76,78,76,78,,,,,,,,,,,,,62,62,25,70,18,
CHE12,Pep Chavarria,CHE,28,174,68,88,70,DL*,66,70,45,70,42,56,48,72,72,72,70,50,28,42,60,72,66,72,72,74,72,74,45,55,66,74,72,66,80,80,76,74,66,74,82,82,,,,,,,,,,,,,66,62,35,65,22,
CHE13,Valentin Barco,CHE,22,176,70,90,65,"DL*,WBL+",74,76,50,76,48,58,55,70,76,70,72,68,25,42,55,70,62,74,72,72,74,74,52,60,64,76,72,70,80,76,74,74,62,76,78,76,,,,,,,,,,,,,62,60,30,68,18,
CHE14,Marc Cucurella,CHE,27,172,68,85,85,"DL*,ML+",70,74,55,78,45,60,52,78,80,76,76,48,28,48,68,78,74,80,80,80,78,82,55,65,72,82,80,72,88,78,78,78,68,80,78,84,,,,,,,,,,,,,76,72,30,72,35,
CHE15,Moises Caicedo,CHE,24,178,74,60,92,"DM*,MC*",58,74,55,80,42,62,60,80,82,84,76,42,28,48,74,82,76,80,82,82,82,84,50,68,66,86,80,74,88,80,76,80,76,82,80,88,,,,,,,,,,,,,80,78,25,72,40,
