id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
COV01,Dan Bentley,COV,33,191,84,55,92,GK*,,,,,,,,,70,,,,,,70,68,70,68,70,68,68,70,70,52,40,70,40,70,64,56,60,54,64,66,68,72,56,66,66,28,72,70,68,70,54,70,56,64,72,70,30,55,18,
COV02,Carl Rushworth,COV,25,188,80,50,92,GK*,,,,,,,,,68,,,,,,68,66,68,66,68,66,66,68,68,50,40,68,40,68,66,58,62,56,66,70,70,72,54,64,64,30,70,68,66,68,52,68,58,62,68,66,30,58,18,
COV03,Milan van Ewijk,COV,26,183,76,45,92,"DR*,WBR+",66,68,48,70,40,60,48,72,74,72,70,42,25,45,58,70,66,70,70,70,72,72,45,52,62,74,70,66,80,76,72,70,66,74,78,76,,,,,,,,,,,,,58,56,25,62,22,
COV04,Joel Latibeaudiere,COV,26,186,80,55,90,DC*,48,58,40,68,32,70,40,72,70,70,66,28,22,38,60,70,66,70,70,70,72,42,55,48,74,70,60,72,72,68,68,72,74,74,72,74,,,,,,,,,,,,,58,56,25,62,25,
COV05,Bobby Thomas,COV,25,185,78,55,92,DC*,48,60,40,68,32,72,40,72,70,68,66,28,22,38,60,70,66,68,70,70,72,42,55,48,74,70,62,72,74,72,70,76,76,74,74,76,,,,,,,,,,,,,58,56,25,62,25,
COV06,Liam Kitching,COV,27,185,80,55,92,DC*,46,58,40,68,32,74,40,72,70,68,64,30,25,38,62,70,68,68,72,70,74,42,58,48,76,70,60,74,72,70,68,78,78,72,72,76,,,,,,,,,,,,,62,58,30,62,25,
COV07,Ethan Pinnock,COV,33,188,84,55,92,DC*,48,58,40,68,32,76,40,74,72,66,66,30,25,40,58,72,68,68,70,70,74,42,62,48,76,72,60,72,70,68,66,76,82,70,72,76,,,,,,,,,,,,,68,66,35,62,22,
COV08,Jay Dasilva,COV,28,175,70,85,92,DL*,64,68,45,70,38,56,45,72,72,68,70,45,25,42,58,70,64,70,68,70,72,45,55,60,76,72,64,74,76,72,72,74,64,72,76,72,,,,,,,,,,,,,62,60,30,65,20,
COV09,Ben Sheaf,COV,28,183,74,55,92,DM*,54,66,48,72,40,60,46,72,76,72,70,38,25,42,60,72,66,70,72,72,74,45,58,58,78,74,66,76,76,72,70,74,70,74,76,76,,,,,,,,,,,,,64,62,30,68,22,
COV10,Josh Eccles,COV,26,180,72,55,92,"MC*,DM+",56,68,50,72,42,60,50,70,74,72,70,40,25,45,60,70,66,70,70,70,72,45,58,58,76,74,64,76,76,72,70,74,70,74,76,74,,,,,,,,,,,,,60,58,25,65,22,
COV11,Victor Torp,COV,26,180,72,85,88,"MC*,AMC+",60,72,64,74,55,56,64,48,76,50,76,45,25,52,55,68,55,70,62,72,72,55,52,62,72,72,68,76,74,72,72,70,64,72,76,70,,,,,,,,,,,,,62,60,30,68,15,
COV12,Jack Rudoni,COV,25,180,72,85,92,"AMC*,AML+",62,76,68,76,52,56,66,40,76,45,78,48,25,55,52,65,55,70,60,72,72,62,50,60,70,72,68,74,76,76,74,72,64,74,78,70,,,,,,,,,,,,,60,58,25,65,15,喜欢直塞身后
COV13,Stephen Mfuni,COV,19,180,70,85,92,"AML+,MC+",52,68,56,68,40,48,56,35,66,42,68,42,22,45,50,60,52,64,58,66,66,62,45,55,66,66,55,70,76,78,76,66,60,76,78,68,,,,,,,,,,,,,52,52,25,62,15,爱盘带过人
COV14,Haji Wright,COV,29,191,82,85,88,"ST*,AML+",58,72,76,72,48,76,64,35,66,48,70,30,28,62,60,68,70,68,70,70,72,52,50,76,70,68,62,70,76,76,72,78,78,74,76,78,,,,,,,,,,,,,64,62,30,68,25,高举高打
COV15,Ephron Mason-Clark,COV,27,178,70,88,85,AML*,62,76,68,72,45,50,62,35,70,42,74,45,25,52,52,62,52,66,60,70,70,68,48,62,68,70,58,72,76,78,78,70,64,76,80,68,,,,,,,,,,,,,58,56,30,65,15,爱盘带过人
COV16,Rafael Rodrigues,COV,23,178,70,90,80,AML*,60,76,66,70,45,50,60,35,68,42,74,42,22,50,50,60,50,64,58,68,68,66,45,58,66,68,55,70,78,80,78,66,62,78,80,68,,,,,,,,,,,,,52,52,25,60,15,爱盘带过人
COV17,Brandon Thomas-Asante,COV,28,180,76,85,88,ST*,52,66,72,70,42,66,58,30,62,45,66,28,28,52,62,66,66,66,68,68,70,50,50,74,68,66,60,72,74,74,72,74,74,72,74,74,,,,,,,,,,,,,58,56,30,62,22,
COV18,Norman Bassette,COV,21,185,78,80,88,ST+,50,64,68,66,40,68,56,30,58,42,64,25,25,52,60,64,62,64,62,64,66,52,48,70,66,64,58,70,78,76,74,76,72,76,78,74,,,,,,,,,,,,,50,50,25,60,15,
