id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
CRY01,Dean Henderson,CRY,29,188,82,55,92,GK*,,,,74,,,,,,,,,,,,,80,78,80,78,80,76,76,76,76,60,40,80,40,80,72,62,68,60,70,74,74,78,62,72,74,84,78,84,30,84,84,76,76,72,30,60,25,
CRY02,Matt Turner,CRY,32,193,87,50,92,GK*,,,,70,,,,,,,,,,,,,76,74,76,74,76,72,72,74,74,55,40,76,40,76,68,58,64,56,66,70,70,76,58,68,72,78,74,78,30,78,76,72,70,66,30,55,18,
CRY03,Chris Richards,CRY,26,183,78,45,92,"DR*,DC+",52,64,42,72,35,72,45,78,74,76,70,32,25,40,62,76,70,76,78,78,76,78,45,60,55,80,76,64,78,78,74,78,76,78,78,78,,,,,,,,,,,,,72,68,30,68,25,
CRY04,Daniel Munoz,CRY,30,181,77,45,92,"DR*,WBR+",74,72,55,72,40,62,52,74,74,76,72,45,28,48,66,74,70,74,76,74,78,48,60,68,76,74,66,88,78,74,76,70,76,82,88,76,,,,,,,,,,,,,72,70,35,68,28,
CRY05,Jaydee Canvot,CRY,19,186,78,55,90,DC+,46,58,38,70,32,70,40,76,72,72,66,28,22,38,58,72,66,72,74,74,72,74,42,52,48,78,72,60,74,76,72,76,76,78,76,76,,,,,,,,,,,,,55,55,25,62,18,
CRY06,Tyrick Mitchell,CRY,26,176,72,45,92,DL*,62,66,45,70,38,58,45,76,72,76,68,40,25,42,60,74,66,74,78,78,74,78,45,58,62,78,78,64,82,74,72,76,66,78,76,80,,,,,,,,,,,,,74,68,30,68,22,
CRY07,Borna Sosa,CRY,29,181,76,88,72,DL*,70,68,48,74,55,64,58,74,76,72,72,55,28,50,58,74,64,76,76,76,74,74,50,58,66,76,74,70,76,72,72,74,70,76,72,76,,,,,,,,,,,,,70,66,40,68,25,
CRY08,Adam Wharton,CRY,22,178,68,50,92,"DM*,MC*",58,72,55,82,48,58,62,72,85,76,82,45,28,48,55,78,62,82,78,78,82,78,58,60,70,80,78,86,76,72,74,74,66,78,72,78,,,,,,,,,,,,,74,72,35,70,15,
CRY09,Will Hughes,CRY,31,180,72,80,88,"MC*,DM+",58,68,55,76,50,60,55,70,78,74,74,45,28,50,60,74,66,78,78,78,76,76,52,66,66,76,80,72,76,68,68,74,68,74,76,76,,,,,,,,,,,,,74,68,35,72,25,
CRY10,Daichi Kamada,CRY,30,180,70,85,85,"AMC*,AML+",66,78,70,80,60,58,68,45,80,48,80,52,28,65,52,74,60,80,78,78,78,78,68,58,76,58,76,82,74,74,76,76,64,76,74,78,,,,,,,,,,,,,74,70,25,75,18,
CRY11,Jefferson Lerma,CRY,31,178,76,55,90,"DM*,MR+",58,66,50,72,42,64,52,76,76,76,70,42,28,45,74,74,74,76,78,78,74,80,45,62,62,78,78,66,84,72,68,78,74,76,72,80,,,,,,,,,,,,,74,70,30,70,42,
CRY12,Justin Devenny,CRY,22,185,74,70,88,MC+,56,68,56,70,45,62,52,68,72,72,68,42,25,45,60,70,66,72,74,74,72,76,50,55,66,72,74,64,82,76,74,76,72,78,76,80,,,,,,,,,,,,,60,60,30,65,22,
CRY13,Quinten Timber,CRY,25,180,75,45,92,"MC*,AMC+",64,76,66,78,52,58,66,52,78,55,76,50,28,58,58,72,64,76,76,76,78,58,62,68,72,76,74,78,80,76,76,74,66,76,78,80,,,,,,,,,,,,,70,68,30,68,20,
CRY14,Anan Khalaili,CRY,20,175,66,88,70,"AMC+,AML+",60,74,62,70,45,48,58,35,70,42,72,45,22,50,50,66,58,70,70,70,72,64,50,50,70,52,64,66,78,80,78,70,58,74,80,76,,,,,,,,,,,,,55,55,25,60,15,
CRY15,Yeremy Pino,CRY,23,172,65,85,88,"AMC*,AMR+",66,80,70,76,55,50,64,38,76,42,78,48,25,58,52,70,58,72,72,72,74,74,70,52,74,55,70,76,74,78,80,78,58,58,74,78,,,,,,,,,,,,,64,62,30,68,15,
CRY16,Romain Esse,CRY,21,175,68,85,88,"AMC+,AMR+",60,76,64,70,45,48,60,35,70,42,74,45,22,50,50,66,58,70,70,70,72,62,66,48,72,52,66,70,76,78,80,78,58,58,76,76,,,,,,,,,,,,,55,58,25,65,12,
CRY17,Ismaila Sarr,CRY,28,183,74,75,92,"AMR*,AML*,ST+",64,78,74,74,48,56,66,38,70,45,74,45,28,58,58,70,64,74,74,74,76,76,62,52,80,52,70,68,84,88,86,78,72,78,90,82,,,,,,,,,,,,,70,30,75,20,,喜欢利用速度
CRY18,Jean-Philippe Mateta,CRY,29,192,85,85,80,ST*,58,72,80,78,50,78,66,35,68,50,72,42,30,68,60,68,68,78,76,76,76,78,58,55,80,55,70,68,80,76,74,78,84,78,78,78,,,,,,,,,,,,,72,30,65,25,,高举高打
CRY19,Eddie Nketiah,CRY,27,175,70,85,78,ST*,55,70,76,72,45,66,60,32,62,45,68,40,28,60,55,68,66,74,74,74,74,76,55,50,78,55,68,64,80,80,78,76,72,76,80,76,,,,,,,,,,,,,64,35,65,20,,喜欢抢点近门柱
CRY20,Dwight McNeil,CRY,26,183,70,88,85,"AML*,AMR*",72,76,68,76,60,54,68,45,78,45,78,55,28,58,55,72,60,76,76,74,74,78,62,55,74,58,74,78,82,76,76,76,64,76,76,78,,,,,,,,,,,,,72,68,30,72,15,
CRY21,Brennan Johnson,CRY,24,183,74,80,92,"AMR*,AML*",72,78,74,76,48,56,66,40,74,45,78,48,28,55,58,58,70,62,74,74,74,74,50,76,52,72,55,70,80,86,82,70,66,82,82,72,,,,,,,,,,,,,66,64,25,68,18,喜欢利用速度
