id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
EVE01,Jordan Pickford,EVE,32,183,78,60,95,GK*,,,,82,,,,,,,,,,,,,86,82,86,82,84,80,80,84,84,80,40,82,40,82,76,66,70,58,68,74,72,78,62,72,74,88,78,88,35,86,86,82,82,30,60,25,,大力手抛球
EVE02,Mark Travers,EVE,27,190,80,50,92,GK*,,,,72,,,,,,,,,,,,,76,72,76,74,74,72,72,74,74,52,40,76,40,76,68,58,62,56,66,70,70,74,58,68,70,78,74,78,28,78,74,74,66,62,30,58,18,
EVE03,Tom King,EVE,31,191,84,50,92,GK*,,,,68,,,,,,,,,,,,,74,72,74,72,74,70,70,72,72,50,40,74,40,74,66,58,60,54,64,68,68,72,56,66,68,76,72,76,28,76,72,72,64,62,30,55,15,
EVE04,Jake O'Brien,EVE,25,196,88,45,92,"DR*,DC+",52,60,45,70,35,76,45,78,74,76,68,32,28,40,60,74,70,76,78,78,76,78,45,60,55,80,76,64,78,74,70,78,82,78,76,78,,,,,,,,,,,,,70,66,30,70,25,
EVE05,James Tarkowski,EVE,33,185,82,55,92,DC*,46,58,40,68,35,82,45,84,74,78,66,30,32,40,64,76,74,78,78,78,76,80,42,70,48,84,78,62,76,70,66,78,84,72,70,74,,,,,,,,,,,,,76,72,30,62,35,
EVE06,Michael Keane,EVE,33,188,82,55,88,DC*,46,58,40,68,35,78,42,82,74,74,66,28,28,38,58,74,70,76,76,76,74,76,42,62,46,80,76,62,72,68,64,76,82,72,68,72,,,,,,,,,,,,,72,66,45,62,28,
EVE07,Jarrad Branthwaite,EVE,24,195,85,75,88,"DC*,DL+",48,62,40,74,35,78,42,82,76,78,70,30,25,40,60,78,72,78,78,78,78,78,42,62,50,84,78,66,78,74,70,78,84,78,76,78,,,,,,,,,,,,,76,70,35,65,25,
EVE08,Vitaliy Mykolenko,EVE,27,181,76,85,80,DL*,62,66,45,70,40,62,48,76,74,74,68,42,28,42,60,74,68,74,76,76,74,78,45,58,62,78,76,66,80,74,72,76,70,78,76,78,,,,,,,,,,,,,72,68,30,68,25,
EVE09,Ainsley Maitland-Niles,EVE,29,180,74,88,80,"DR*,DL+,MR+,ML+",60,68,45,70,42,58,48,72,72,70,70,45,28,45,58,72,64,72,74,74,74,48,62,60,74,74,68,80,76,74,76,64,74,80,82,74,,,,,,,,,,,,,68,64,40,95,20,
EVE10,James Garner,EVE,25,182,75,75,92,"MC*,DM+",60,68,52,76,48,62,58,72,80,74,74,45,28,48,58,74,66,76,78,78,76,78,48,62,64,78,78,70,80,70,68,76,68,76,72,80,,,,,,,,,,,,,72,68,35,72,22,
EVE11,Kiernan Dewsbury-Hall,EVE,28,178,68,85,88,"AMC*,MC*",64,74,64,78,52,56,64,48,78,50,76,48,28,55,55,72,62,76,76,76,76,76,60,55,72,64,78,78,80,74,74,76,64,76,74,80,,,,,,,,,,,,,72,68,25,72,15,
EVE12,Idrissa Gueye,EVE,36,168,65,60,95,DM*,55,66,48,72,40,56,48,76,76,78,68,38,25,42,70,78,74,78,78,78,76,82,45,68,60,80,78,66,84,72,68,74,62,66,70,74,,,,,,,,,,,,,76,72,25,70,35,
EVE13,Carlos Alcaraz,EVE,23,177,70,85,85,"AMC*,AML+",64,78,68,76,52,54,64,42,76,45,78,48,25,55,55,70,58,72,72,72,74,74,68,52,74,56,72,78,76,76,78,76,60,74,76,76,,,,,,,,,,,,,66,64,30,68,18,
EVE14,Hayden Hackney,EVE,24,180,72,55,90,"MC*,DM+",58,72,56,76,45,56,54,68,76,72,72,42,25,45,58,72,64,74,74,74,74,52,55,62,74,74,68,80,72,70,74,66,74,74,78,74,,,,,,,,,,,,,64,62,25,65,18,
EVE16,Iliman Ndiaye,EVE,26,175,68,90,80,"AML*,AMC*",66,84,72,78,55,52,64,38,74,42,80,48,25,55,52,70,58,74,74,74,76,76,74,52,76,56,72,78,78,82,82,78,60,76,80,78,,,,,,,,,,,,,70,25,72,15,,爱盘带过人
EVE17,Thierno Barry,EVE,22,192,82,75,88,ST+,52,66,72,70,42,74,58,30,60,48,66,35,28,55,55,66,62,72,72,72,72,74,55,50,76,55,66,62,78,78,74,76,80,76,78,76,,,,,,,,,,,,,58,58,30,62,18,
EVE18,Jack Grealish,EVE,30,175,71,95,80,"AML*,AMC+",72,88,72,86,58,52,66,40,82,42,86,55,28,65,50,72,60,80,76,74,78,78,76,55,74,55,74,82,76,80,78,78,58,76,76,76,,,,,,,,,,,,,70,45,68,22,,爱盘带过人
EVE19,Tyler Dibling,EVE,20,180,70,88,85,"AMC+,AML+",62,78,66,72,50,52,62,38,72,42,76,45,25,52,52,70,58,72,72,70,74,66,52,50,72,55,66,70,74,78,80,78,58,58,74,76,,,,,,,,,,,,,58,58,25,65,12,
EVE20,Tyrique George,EVE,20,175,66,85,88,"AML+,AMR+",60,74,64,70,42,48,58,35,68,42,72,42,22,48,50,66,58,70,70,70,72,60,48,48,72,52,66,66,76,80,80,78,58,58,80,76,,,,,,,,,,,,,55,55,25,62,12,
