id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
FUL01,Bernd Leno,FUL,34,188,84,55,92,GK*,,,,,,,,,76,,,,,,76,78,74,74,76,76,62,40,78,40,78,70,62,66,58,68,72,72,76,62,70,72,62,70,72,30,80,78,76,78,60,80,62,68,72,70,30,60,20,
FUL02,Benjamin Lacomte,FUL,35,187,82,55,90,GK*,,,,,,,,,70,,,,,,74,72,74,72,74,70,70,72,72,55,40,74,40,74,68,58,62,54,64,68,68,72,56,66,68,28,76,72,72,70,58,76,58,62,66,62,30,55,15,
FUL03,Kenny Tete,FUL,31,178,72,55,90,DR*,66,68,48,72,40,60,48,78,76,76,72,42,28,45,60,76,68,76,78,78,76,78,45,60,66,80,78,68,80,74,72,76,70,76,76,78,,,,,,,,,,,,,72,68,35,68,22,
FUL04,Timothy Castagne,FUL,31,185,78,88,80,"DR*,DL+,MR+",60,68,48,72,40,64,48,78,76,74,72,45,28,45,58,76,68,76,78,78,76,78,48,62,62,80,78,70,80,72,70,76,74,76,74,78,,,,,,,,,,,,,72,68,30,95,25,
FUL05,Calvin Bassey,FUL,26,185,80,88,70,"DC*,DL+",50,62,40,72,35,76,42,82,76,78,72,30,25,40,68,78,74,76,78,78,76,78,42,60,52,84,78,66,78,76,72,78,82,80,78,76,,,,,,,,,,,,,72,68,30,68,30,
FUL06,Jorge Cuenca,FUL,26,184,78,85,88,"DC*,DL+",50,64,40,74,38,72,42,80,76,74,72,35,25,40,58,76,68,76,76,76,74,76,42,60,52,82,76,66,76,74,72,76,78,76,74,78,,,,,,,,,,,,,66,64,30,68,22,
FUL07,David Affengruber,FUL,25,190,82,55,90,DC*,48,60,40,72,35,74,42,80,76,76,70,30,25,40,62,76,70,76,76,76,74,76,42,60,50,82,76,64,76,74,70,78,80,78,76,76,,,,,,,,,,,,,62,60,25,65,22,
FUL08,Antonee Robinson,FUL,29,180,76,55,92,"DL*,WBL+",70,70,48,74,45,62,52,78,76,76,74,50,28,45,60,76,68,76,78,78,76,80,45,62,68,80,78,70,88,76,74,76,70,78,80,80,,,,,,,,,,,,,74,70,30,68,25,
FUL09,Ryan Sessegnon,FUL,26,178,70,85,88,"DL*,WBL+,AML+",66,72,58,72,45,58,50,74,72,72,70,45,28,48,58,72,62,72,74,74,72,72,55,55,68,72,72,68,82,78,78,74,64,74,78,76,,,,,,,,,,,,,66,64,60,70,20,
FUL10,Sasa Lukic,FUL,29,180,74,55,90,"DM*,MC+",56,68,52,76,45,62,52,76,80,76,74,42,28,48,64,76,68,78,78,78,76,78,45,62,62,82,80,72,80,72,70,76,72,78,74,82,,,,,,,,,,,,,74,70,25,70,28,
