id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
HUL01,Jack Butland,HUL,33,193,88,55,92,GK*,,,,,,,,,70,,,,,,72,70,72,70,72,70,70,72,72,55,40,72,40,72,66,58,62,56,66,70,70,74,58,68,68,30,74,72,70,72,56,72,58,66,74,72,30,58,20,
HUL02,Konstantinos Tzolakis,HUL,24,193,84,50,92,GK*,,,,,,,,,68,,,,,,68,66,68,66,68,66,66,68,68,50,40,68,40,68,66,58,62,56,66,70,70,72,56,66,66,25,70,68,68,70,54,70,60,64,66,64,30,58,18,
HUL03,Semi Ajayi,HUL,33,191,84,55,92,DC*,48,58,40,68,32,78,42,74,72,66,66,30,25,40,62,72,68,68,70,70,74,42,62,48,76,72,60,74,70,68,66,80,82,70,72,78,,,,,,,,,,,,,66,64,35,65,28,
HUL04,John Egan,HUL,34,185,82,55,92,DC*,46,56,40,66,32,78,42,74,72,66,64,30,25,40,62,72,70,68,70,70,76,42,64,48,76,72,58,74,68,66,64,80,84,66,72,76,,,,,,,,,,,,,68,66,40,62,25,
HUL05,Nobel Mendy,HUL,21,188,80,55,92,DC*,46,58,38,68,32,72,40,72,70,68,66,28,22,38,62,70,66,68,68,68,72,42,55,48,74,72,60,72,74,72,70,78,78,76,76,76,,,,,,,,,,,,,52,52,25,62,20,
HUL06,Charlie Hughes,HUL,22,186,80,55,92,DC*,46,58,38,68,32,70,40,70,68,66,64,28,22,38,58,68,64,66,66,66,70,42,52,48,72,70,58,70,72,70,68,76,76,72,74,74,,,,,,,,,,,,,50,50,25,62,18,
HUL07,Cody Drameh,HUL,25,178,72,45,92,"DR*,WBR+",64,68,48,70,38,58,48,72,72,70,70,42,25,45,60,70,66,70,70,70,72,45,55,62,76,72,62,76,80,76,74,74,70,78,80,72,,,,,,,,,,,,,58,56,30,65,22,
HUL08,Lewie Coyle,HUL,30,175,72,55,92,DR*,58,66,45,68,38,60,45,72,72,68,68,40,25,42,62,70,68,70,70,70,74,45,60,58,78,74,60,74,76,72,70,74,66,74,76,72,,,,,,,,,,,,,64,62,35,68,25,
HUL09,Ryan Giles,HUL,26,180,72,85,92,"DL*,WBL+",72,70,48,72,45,60,50,74,76,72,74,50,28,45,55,68,64,68,66,68,72,48,55,64,78,74,66,76,78,74,74,76,68,76,78,72,,,,,,,,,,,,,62,60,25,68,20,
HUL10,Matt Targett,HUL,31,180,76,85,92,DL*,68,68,45,70,40,60,48,74,74,70,70,48,28,42,58,70,66,70,68,70,74,45,58,60,78,74,62,76,76,72,72,76,66,74,76,72,,,,,,,,,,,,,64,62,45,68,20,
HUL11,Lucas Gourna-Douath,HUL,23,187,78,55,92,DM*,52,66,46,70,38,60,46,72,76,72,70,38,25,42,60,72,66,68,70,70,72,45,58,58,78,74,64,74,74,72,70,76,72,76,78,76,,,,,,,,,,,,,52,52,30,62,18,
HUL12,Tim Iroegbunam,HUL,23,183,76,55,92,"DM*,MC+",54,68,48,72,40,60,48,72,76,74,70,40,25,45,62,72,68,68,70,70,72,45,58,58,76,74,62,74,78,74,72,76,70,78,80,74,,,,,,,,,,,,,56,56,30,65,22,
HUL13,Merlin Rohl,HUL,24,183,75,85,80,"MC*,AMC+",58,72,58,72,45,56,58,40,74,48,74,45,25,50,52,62,52,66,60,70,70,58,48,60,68,70,62,72,76,76,74,72,66,74,78,70,,,,,,,,,,,,,54,54,30,65,15,
HUL14,Regan Slater,HUL,26,175,70,55,92,MC*,56,68,52,70,42,58,52,70,74,70,70,40,25,45,62,70,66,68,68,70,72,45,58,58,76,74,60,74,76,74,72,74,70,76,78,72,,,,,,,,,,,,,60,58,25,65,22,
