id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
IPS01,Alex Palmer,IPS,28,191,84,55,92,GK*,,,,,,,,,68,,,,,,68,66,68,66,68,66,66,68,68,52,40,68,40,68,66,58,62,56,66,70,70,72,56,66,66,28,72,70,68,70,54,70,56,64,70,68,30,58,18,
IPS02,Christian Walton,IPS,31,193,84,55,92,GK*,,,,,,,,,66,,,,,,66,64,66,64,66,64,64,66,66,50,40,66,40,66,64,56,60,54,64,68,68,70,52,64,64,28,70,68,66,68,52,68,56,62,68,66,30,55,15,
IPS03,Darnell Furlong,IPS,31,183,78,45,92,DR*,66,66,45,68,38,62,48,74,74,70,70,42,28,45,60,70,66,70,70,70,74,45,58,58,78,74,60,74,76,72,70,76,70,74,76,74,,,,,,,,,,,,,64,62,30,68,22,
IPS04,Wes Burns,IPS,31,178,72,55,92,"DR*,WBR+",64,66,48,68,38,58,48,72,72,68,70,40,25,42,60,68,66,68,68,70,72,45,58,58,76,72,60,74,76,74,72,74,68,76,76,72,,,,,,,,,,,,,62,60,35,68,22,
IPS05,Ben Johnson,IPS,26,180,74,55,92,"DR*,DL+",62,68,45,70,38,58,45,72,72,70,70,42,25,42,58,70,66,70,68,70,72,48,55,58,76,72,60,74,78,74,74,74,68,76,78,72,,,,,,,,,,,,,58,56,25,80,20,
IPS06,Jacob Greaves,IPS,25,188,80,55,92,DC*,48,58,40,68,32,72,40,72,72,68,66,30,25,38,58,70,66,68,68,68,72,42,55,48,74,72,58,72,72,70,68,78,78,72,74,76,,,,,,,,,,,,,58,56,25,62,22,
IPS07,Dara O'Shea,IPS,28,183,78,55,92,"DC*,DR+",50,60,42,70,35,72,42,74,74,70,68,32,25,40,62,72,68,68,70,70,74,45,60,52,78,74,58,74,72,70,68,76,78,72,74,76,,,,,,,,,,,,,62,60,30,72,25,
IPS08,Leif Davis,IPS,27,180,74,85,92,"DL*,WBL+",74,72,50,74,48,62,52,76,78,74,74,52,28,45,55,68,64,68,66,68,72,48,55,64,78,74,66,76,78,76,76,76,68,78,80,72,,,,,,,,,,,,,64,64,25,68,18,
IPS09,Azor Matusiwa,IPS,29,183,78,55,92,DM*,54,66,48,72,40,62,50,76,78,76,70,40,25,45,66,74,70,70,70,70,74,45,60,60,78,76,62,74,76,74,72,74,70,76,78,76,,,,,,,,,,,,,62,60,30,65,28,
IPS10,Jack Taylor,IPS,27,180,72,85,92,MC*,58,70,56,72,45,58,54,70,76,72,72,42,25,48,58,68,64,68,66,68,70,50,55,58,74,72,62,74,74,72,72,72,68,74,76,70,,,,,,,,,,,,,58,56,25,68,20,
IPS11,Marcelino Nunez,IPS,27,178,70,85,92,"MC*,AMC+",62,72,64,74,55,54,64,45,78,50,76,52,25,55,55,65,55,68,60,70,70,55,50,60,70,72,66,74,74,72,72,70,64,72,76,68,,,,,,,,,,,,,58,56,30,68,15,
IPS12,Conor Chaplin,IPS,29,175,68,85,92,AMC*,60,72,68,74,55,52,64,40,76,48,78,50,25,58,55,65,55,68,60,70,70,58,48,60,68,70,64,74,74,74,72,70,62,74,76,66,,,,,,,,,,,,,60,58,30,68,15,
IPS13,Sammie Szmodics,IPS,31,178,72,88,92,"AMC*,AML+",64,76,72,76,52,54,66,42,76,45,78,50,25,58,60,68,62,68,66,70,72,58,50,64,70,72,60,74,76,76,76,72,66,76,78,70,,,,,,,,,,,,,64,62,30,68,15,喜欢远射
IPS14,Kasey McAteer,IPS,24,180,70,88,92,AMR*,60,74,68,72,45,52,62,35,72,42,76,45,25,52,55,65,55,68,60,70,70,60,48,60,70,72,58,72,78,76,76,72,66,78,80,70,,,,,,,,,,,,,56,56,25,65,15,喜欢利用速度
IPS15,Jaden Philogene,IPS,24,180,72,88,92,"AML*,AMR+",62,78,70,74,48,52,64,35,72,42,78,45,25,55,52,62,55,66,60,70,70,65,48,60,68,70,58,72,78,78,76,70,64,78,80,70,,,,,,,,,,,,,56,56,30,68,15,爱盘带过人
IPS16,Zian Flemming,IPS,28,186,78,85,92,"ST*,AMC+",56,70,76,76,50,72,64,35,68,48,72,30,30,58,60,68,66,68,68,68,72,52,50,74,70,68,60,72,74,74,72,78,76,72,74,76,,,,,,,,,,,,,62,60,30,68,20,
IPS17,Chuba Akpom,IPS,30,183,76,85,92,"ST*,AMC+",58,72,74,74,48,68,62,35,68,45,74,28,28,58,60,66,64,68,66,68,70,52,50,72,70,70,60,72,74,74,74,74,68,74,76,72,,,,,,,,,,,,,62,60,35,70,18,
IPS18,George Hirst,IPS,27,188,80,80,88,ST*,52,64,72,70,42,72,60,30,62,45,68,28,28,55,62,66,64,66,66,68,70,50,50,72,68,68,58,72,74,72,70,78,76,72,76,76,,,,,,,,,,,,,60,58,35,62,22,
