id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
LEE01,Lucas Perri,LEE,28,198,88,55,92,GK*,,,,,,,,,74,,,,,,76,78,74,74,76,76,74,76,76,58,40,78,40,78,70,62,66,58,68,72,74,78,60,72,72,28,78,78,76,78,60,80,62,68,72,70,30,58,20,
LEE02,James Trafford,LEE,24,193,87,50,92,GK*,,,,,,,,,76,,,,,,76,78,74,76,76,74,76,76,58,40,76,40,76,70,66,58,68,72,74,76,60,70,72,78,80,30,78,80,76,80,62,82,58,68,72,70,30,60,18,
LEE03,Michael Zetterer,LEE,31,192,84,50,92,GK*,,,,,,,,,70,,,,,,74,72,74,72,74,70,70,72,72,55,40,74,40,74,68,58,62,56,66,70,70,74,58,68,70,28,76,72,72,72,60,76,58,64,68,64,30,55,15,
LEE04,Joe Rodon,LEE,28,191,85,55,92,DC*,48,60,40,72,35,78,42,82,76,76,70,30,28,40,62,78,72,78,78,78,76,78,42,62,50,84,78,66,76,74,70,78,84,78,76,76,,,,,,,,,,,,,74,70,30,65,28,
LEE05,Jaka Bijol,LEE,28,190,82,55,90,DC*,48,62,40,72,35,76,42,80,76,76,70,30,25,40,66,76,72,76,78,78,76,78,42,62,52,82,76,66,76,74,72,78,80,78,76,76,,,,,,,,,,,,,70,68,30,65,30,
LEE06,Nico Elvedi,LEE,30,188,80,55,92,DC*,48,60,40,72,35,74,42,80,76,74,70,30,25,40,58,76,70,76,76,76,76,78,42,60,50,82,76,64,74,72,70,76,82,76,72,74,,,,,,,,,,,,,74,70,30,68,22,
LEE07,Tarik Muharemovic,LEE,23,190,82,55,90,DC+,46,58,38,70,32,72,40,76,72,72,66,28,22,38,60,72,68,72,72,72,72,74,42,55,48,78,72,60,74,72,70,76,78,76,74,74,,,,,,,,,,,,,55,55,25,62,18,
LEE08,Jayden Bogle,LEE,25,183,74,45,92,"DR*,WBR+",66,70,50,72,40,60,48,76,74,76,72,42,28,45,60,74,68,74,76,76,74,76,45,58,66,78,76,66,84,78,76,76,70,78,80,78,,,,,,,,,,,,,66,64,35,68,22,
LEE09,Gabriel Gudmundsson,LEE,27,180,74,85,88,DL*,66,68,45,70,40,60,48,76,74,74,70,45,28,42,60,74,68,74,76,76,74,76,45,58,64,78,76,66,82,76,74,76,70,76,78,78,,,,,,,,,,,,,68,66,30,65,22,
LEE10,Melvin Bard,LEE,25,175,70,85,92,"DL*,WBL+",66,70,48,72,42,58,48,76,76,74,72,45,28,42,58,74,66,74,76,76,74,76,48,58,66,78,76,68,82,76,74,76,68,76,78,78,,,,,,,,,,,,,70,68,25,68,20,
LEE11,Ethan Ampadu,LEE,26,183,76,55,92,"DC*,DM*,MC*",56,70,50,76,42,64,50,78,80,76,74,42,28,48,62,76,68,78,78,78,76,80,45,62,60,82,80,72,80,72,70,76,76,78,74,80,,,,,,,,,,,,,72,70,35,80,25,
LEE12,Ilia Gruev,LEE,26,183,74,55,92,DM*,54,66,46,74,40,60,46,74,78,76,72,38,25,42,58,74,66,76,76,76,76,76,45,58,60,78,78,68,80,72,70,74,68,76,76,80,,,,,,,,,,,,,68,66,30,68,20,
LEE13,Anton Stach,LEE,27,193,82,55,92,"DM*,MC*",58,70,56,76,45,66,58,74,78,76,74,42,28,52,62,76,68,78,76,76,78,50,62,64,80,78,70,82,74,72,78,74,78,76,82,78,,,,,,,,,,,,,68,66,25,68,28,
LEE14,Ao Tanaka,LEE,28,180,70,85,92,MC*,62,72,62,78,48,58,60,68,80,74,76,45,28,50,55,74,64,78,78,78,76,78,55,62,66,80,80,74,82,72,70,74,70,76,76,78,,,,,,,,,,,,,72,70,25,72,18,
LEE15,Sean Longstaff,LEE,28,180,72,85,92,"MC*,DM+",58,68,58,76,48,60,58,72,78,74,74,42,28,50,58,74,66,76,78,78,76,78,45,62,64,78,78,70,80,70,68,74,70,76,74,78,,,,,,,,,,,,,70,68,30,72,22,
LEE16,Brenden Aaronson,LEE,25,178,68,85,92,"AMC*,AMR+",62,74,64,74,50,52,62,42,74,45,74,48,25,55,55,70,60,74,74,74,74,74,55,55,72,55,72,78,78,76,76,74,64,74,78,76,,,,,,,,,,,,,66,64,30,70,15,
LEE17,Harry Wilson,LEE,29,173,68,88,85,"AMR*,AML*",68,76,68,76,58,52,66,42,76,45,78,55,28,58,55,72,60,76,76,74,74,78,62,55,74,58,74,78,80,76,76,76,64,76,76,78,,,,,,,,,,,,,72,68,30,72,15,
LEE18,Jean-Matteo Bahoya,LEE,21,178,70,88,70,"AML*,AMR+",62,80,68,72,45,48,60,35,70,42,76,45,22,52,50,68,58,70,70,70,72,72,68,48,74,52,66,70,78,86,84,78,58,76,84,76,,,,,,,,,,,,,56,58,25,65,15,喜欢利用速度
LEE19,Willy Gnonto,LEE,23,168,62,88,70,"AML*,AMR*",64,80,68,74,45,48,60,35,72,42,78,45,25,50,52,70,58,72,72,72,74,72,68,50,74,52,68,72,78,84,86,80,58,76,82,76,,,,,,,,,,,,,64,64,30,68,15,爱盘带过人
LEE20,Daniel James,LEE,28,175,70,90,80,"AMR*,AML*",66,76,68,72,45,52,62,35,70,42,74,45,25,52,55,70,62,72,72,72,74,74,58,50,76,52,70,70,82,88,88,78,58,76,86,78,,,,,,,,,,,,,66,66,35,68,15,喜欢利用速度
LEE21,Noah Okafor,LEE,26,180,74,85,92,"AML*,ST+",64,78,72,74,48,58,64,38,70,45,76,45,28,55,55,70,62,74,74,74,74,76,58,52,76,55,68,72,78,84,82,78,66,76,82,78,,,,,,,,,,,,,64,64,40,68,15,喜欢利用速度
LEE22,Dominic Calvert-Lewin,LEE,29,186,80,85,88,ST*,52,68,76,72,45,78,62,32,62,50,68,40,30,62,58,66,68,74,74,74,74,76,52,52,80,55,68,64,78,76,72,76,80,74,76,76,,,,,,,,,,,,,68,68,75,62,25,高举高打
