id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
LIV01,Alisson Becker,LIV,33,191,88,55,92,GK*,,,,,,,,,82,,,,,,84,84,84,86,86,84,84,84,84,72,40,84,40,84,76,70,70,58,70,74,74,78,62,72,74,18,82,90,80,90,55,90,65,76,84,84,30,60,15,
LIV02,Giorgi Mamardashvili,LIV,25,191,85,50,92,GK*,,,,,,,,,78,,,,,,80,78,80,78,78,76,76,78,78,60,40,78,40,78,72,64,66,58,68,74,74,76,62,72,74,30,76,84,78,84,60,84,60,70,74,72,25,60,20,
LIV03,Armin Pecsi,LIV,21,192,84,50,90,GK*,,,,,,,,,70,,,,,,74,72,74,72,72,70,70,72,72,50,40,74,40,74,68,58,62,56,66,70,70,74,56,68,70,28,74,70,72,55,76,55,60,60,58,58,35,58,15,
LIV04,Conor Bradley,LIV,23,178,72,45,92,"DR*,WBR+",64,70,50,70,38,58,48,76,74,76,70,42,25,45,60,74,70,74,76,76,74,78,45,58,68,78,76,66,86,80,78,76,70,78,80,80,,,,,,,,,,,,,68,66,45,68,25,
LIV05,Jeremie Frimpong,LIV,25,171,64,45,92,"WBR*,AMR+",68,78,60,72,42,52,55,72,74,72,74,45,28,48,60,74,68,74,74,74,76,58,55,76,72,74,68,76,84,88,86,76,62,76,90,78,,,,,,,,,,,,,70,68,40,68,20,喜欢利用速度
LIV06,Milos Kerkez,LIV,22,178,72,55,92,DL*,66,70,48,72,40,60,48,76,74,76,72,45,28,45,62,74,70,74,76,76,74,78,45,58,68,78,76,66,86,82,78,76,70,78,84,80,,,,,,,,,,,,,68,66,25,68,25,
LIV07,Giovanni Leoni,LIV,19,190,82,75,88,DC+,46,60,38,72,32,74,40,78,74,74,68,28,22,38,58,74,66,74,74,74,74,76,42,55,48,80,74,62,76,74,70,78,80,78,76,76,,,,,,,,,,,,,55,55,25,62,15,
LIV08,Jeremy Jacquet,LIV,21,187,78,55,90,DC+,48,60,38,72,32,74,40,74,70,72,68,28,25,38,58,74,68,74,74,74,74,76,42,55,48,78,74,62,76,74,70,76,78,78,74,76,,,,,,,,,,,,,58,58,25,62,15,
LIV09,Virgil van Dijk,LIV,35,195,92,55,92,DC*,50,64,42,80,42,84,50,84,82,78,74,32,30,42,58,84,74,86,84,84,84,82,42,88,52,86,92,72,76,76,70,80,88,76,84,76,,,,,,,,,,,,,82,84,25,62,22,
LIV10,Joe Gomez,LIV,29,188,84,55,88,"DC*,DR+",48,62,40,70,35,76,42,80,74,76,70,30,25,40,60,76,70,76,76,76,76,78,42,60,50,82,76,64,76,76,72,78,80,55,76,76,,,,,,,,,,,,,70,66,70,75,25,
LIV11,Wataru Endo,LIV,33,178,74,55,90,DM*,55,66,48,72,40,62,48,76,76,78,70,40,25,45,70,76,74,76,78,78,76,82,45,68,60,80,80,66,86,72,68,76,72,74,72,78,,,,,,,,,,,,,76,72,25,72,30,
LIV12,Ryan Gravenberch,LIV,23,190,80,75,92,"DM*,MC*",60,76,58,82,45,64,58,76,82,78,82,45,28,50,58,78,66,80,80,80,80,55,62,66,84,78,76,80,80,80,78,78,76,80,82,84,,,,,,,,,,,,,76,72,35,72,20,
