id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
MCI01,Gianluigi Donnarumma,MCI,27,196,90,55,92,GK*,,,,,,,,,82,,,,,,84,82,84,84,82,82,82,84,84,68,40,82,40,82,74,68,68,56,68,72,72,80,60,70,74,18,80,88,82,88,55,88,58,72,80,80,25,60,15,
MCI02,Stefan Ortega,MCI,33,186,82,55,92,GK*,,,,,,,,,76,,,,,,78,76,78,76,76,74,74,76,76,58,40,76,40,76,70,60,64,56,66,70,70,74,60,68,70,30,80,76,74,76,62,78,60,66,72,70,30,58,18,
MCI03,Ruben Dias,MCI,29,187,82,55,92,DC*,50,64,42,78,38,78,45,84,80,78,74,32,28,42,60,80,72,82,80,80,80,80,42,78,52,86,80,70,78,74,70,80,86,78,78,78,,,,,,,,,,,,,78,76,25,65,30,
MCI04,Josko Gvardiol,MCI,24,185,82,85,88,"DC*,DL+",56,68,48,76,40,76,48,82,78,78,74,35,28,45,62,78,70,78,78,78,78,80,45,60,55,84,78,70,80,76,72,78,80,80,76,80,,,,,,,,,,,,,74,70,25,70,30,
MCI05,Abdukodir Khusanov,MCI,22,183,78,55,90,"DC*,DR+",48,60,40,70,32,72,45,78,74,76,70,30,25,40,68,76,72,74,74,74,74,76,42,58,50,80,76,64,80,78,74,78,80,80,78,76,,,,,,,,,,,,,66,64,30,65,30,
MCI06,Rico Lewis,MCI,22,170,65,55,92,"DR*,DL+,DM+",60,72,48,74,40,58,48,78,76,74,74,45,25,45,58,76,64,76,76,76,76,48,58,62,80,76,68,80,78,76,76,66,76,78,80,74,,,,,,,,,,,,,70,68,30,80,20,
MCI07,Nico O'Reilly,MCI,21,185,74,85,88,"DL*,DC+,MC+",58,70,48,74,40,68,48,78,76,76,72,40,25,45,58,76,66,76,76,76,76,45,58,58,80,76,68,78,74,72,78,76,76,76,78,78,,,,,,,,,,,,,64,62,25,72,20,
MCI08,Rayan Ait-Nouri,MCI,25,178,72,85,90,"DL*,WBL+",74,76,52,74,45,60,55,74,76,74,74,48,28,48,60,74,68,74,76,76,74,76,55,58,74,76,74,70,84,78,76,76,70,78,82,80,,,,,,,,,,,,,72,68,35,70,25,
MCI09,Matheus Nunes,MCI,28,183,76,55,92,"DR*,MR*,MC+",66,72,58,74,45,62,52,78,74,76,48,28,50,60,76,68,76,76,76,76,55,58,68,78,76,70,80,78,74,76,74,76,70,76,78,80,,,,,,,,,,,,,72,68,30,72,22,
MCI10,Enzo Fernandez,MCI,25,178,72,88,92,"DM*,MC*",62,78,68,84,58,62,72,68,86,78,84,52,28,70,62,80,66,82,80,80,82,85,70,66,72,78,80,84,80,74,74,76,70,78,74,84,,,,,,,,,,,,,78,78,25,70,25,喜欢远射
