id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
MUN01,Senne Lammens,MUN,24,199,86,50,92,GK*,,,,76,,,,,,,,,,,,,78,76,78,76,76,74,74,76,76,56,40,78,40,78,70,62,66,58,68,72,74,76,58,70,72,82,78,82,25,78,80,76,72,70,30,60,20,
MUN02,Karl Darlow,MUN,36,186,80,55,92,GK*,,,,72,,,,,,,,,,,,,76,74,76,74,76,72,72,74,74,60,40,76,40,76,68,58,62,54,64,68,68,72,56,66,68,78,74,78,28,78,74,72,70,66,30,55,18,
MUN03,Matthijs de Ligt,MUN,27,189,85,55,92,DC*,48,62,40,74,35,80,45,84,78,78,72,30,25,40,62,80,74,78,78,78,78,80,42,68,50,86,78,66,76,74,70,80,86,76,78,76,,,,,,,,,,,,,74,72,40,62,28,
MUN04,Leny Yoro,MUN,21,190,78,75,90,DC*,48,62,40,74,35,74,42,80,76,76,72,30,25,40,58,76,70,76,76,76,76,76,42,58,50,82,76,66,78,78,74,78,80,80,76,76,,,,,,,,,,,,,62,62,35,62,20,
MUN05,Lisandro Martinez,MUN,28,175,75,85,88,"DC*,DL+",52,66,42,76,40,74,48,80,80,80,76,35,28,45,72,78,78,78,78,78,78,80,45,62,55,84,80,70,80,74,70,78,80,80,74,78,,,,,,,,,,,,,72,74,80,65,40,
MUN06,Ayden Heaven,MUN,20,188,78,85,90,"DC+,DL+",48,60,38,70,32,70,40,76,72,72,68,28,22,38,58,72,66,72,72,72,72,74,42,52,48,78,72,62,76,74,70,76,76,76,74,76,,,,,,,,,,,,,55,55,25,65,18,
MUN07,Diogo Dalot,MUN,27,183,78,55,92,"DR*,WBR+",68,70,50,74,42,62,50,78,76,76,74,48,28,45,60,76,68,76,78,78,76,80,45,60,68,80,78,70,84,76,74,76,70,76,78,78,,,,,,,,,,,,,72,70,30,72,25,
MUN08,Noussair Mazraoui,MUN,29,180,72,80,92,"DR*,DL+,MR+",62,72,50,74,42,60,48,78,76,74,76,45,28,45,58,76,66,76,76,76,76,55,58,64,80,78,70,82,76,74,76,68,76,78,80,74,,,,,,,,,,,,,70,68,35,85,22,
MUN09,Patrick Dorgu,MUN,22,185,76,85,90,"DL*,WBR+",66,72,48,72,40,60,48,74,74,74,72,45,25,42,62,74,68,74,76,76,74,76,45,55,64,76,74,68,84,78,76,76,70,78,80,78,,,,,,,,,,,,,60,60,25,65,22,
MUN10,Luke Shaw,MUN,31,178,74,85,92,"DL*,DC+",56,68,45,74,40,64,48,80,78,76,74,42,28,42,58,76,68,76,78,78,76,78,45,62,58,80,78,68,80,72,70,76,76,76,74,78,,,,,,,,,,,,,68,68,85,72,22,
MUN11,Carlos Baleba,MUN,22,181,76,55,92,"DM*,MC+",56,74,52,76,42,62,50,76,78,80,74,40,25,45,70,78,74,76,78,78,76,80,45,60,62,80,78,72,86,82,78,78,70,80,80,84,,,,,,,,,,,,,66,66,35,68,30,
MUN12,Youri Tielemans,MUN,29,176,72,88,85,"MC*,DM+",68,74,72,82,72,60,82,60,86,68,84,60,30,75,58,76,60,82,80,80,82,78,68,70,76,68,80,86,78,72,74,76,68,80,72,82,,,,,,,,,,,,,78,76,25,75,20,喜欢远射
MUN13,Andrey Santos,MUN,22,183,76,55,92,"DM*,MC*",58,72,60,76,48,64,58,74,78,78,76,42,25,50,62,76,68,76,78,78,76,78,52,62,64,80,78,72,80,76,74,76,72,76,76,80,,,,,,,,,,,,,64,64,25,70,25,
MUN14,Manuel Ugarte,MUN,25,182,76,55,92,DM*,58,68,48,74,40,60,48,76,78,80,72,40,25,42,74,78,74,76,78,78,76,80,45,60,62,80,78,68,84,76,74,76,70,78,78,82,,,,,,,,,,,,,68,66,35,70,40,
MUN15,Kobbie Mainoo,MUN,21,180,72,85,92,"MC*,DM+",60,76,58,80,45,58,56,72,80,74,80,45,25,48,58,76,64,78,76,76,76,55,60,62,82,76,74,78,74,72,74,68,74,76,78,74,,,,,,,,,,,,,62,64,40,70,15,
MUN16,Mason Mount,MUN,27,178,70,85,92,"AMC*,MC*,AML+",62,74,64,78,55,56,62,48,78,50,78,48,28,58,55,72,62,76,76,76,76,74,60,55,72,58,74,78,80,76,76,74,64,76,76,78,,,,,,,,,,,,,64,68,80,75,15,
MUN17,Bruno Fernandes,MUN,32,178,70,55,95,"AMC*,MC*",62,80,80,84,85,58,80,45,86,50,88,58,30,80,55,78,60,86,80,80,84,88,72,60,78,58,78,88,84,76,80,80,58,78,78,78,,,,,,,,,,,,,76,82,25,75,18,喜欢远射|喜欢直塞身后
MUN18,Amad Diallo,MUN,24,173,66,88,90,AMR*,68,82,70,76,50,50,62,38,74,42,80,45,25,55,55,68,58,72,72,72,74,74,68,50,74,52,68,74,80,84,86,80,58,76,82,76,,,,,,,,,,,,,66,66,30,68,15,爱盘带过人
MUN19,Bryan Mbeumo,MUN,27,180,74,85,92,"AMR*,AML+,ST+",66,78,76,76,55,56,68,42,76,45,78,52,28,60,58,72,64,76,76,76,76,78,66,55,78,55,72,76,80,84,82,78,70,76,82,78,,,,,,,,,,,,,72,70,30,70,18,喜欢内切
MUN20,Matheus Cunha,MUN,27,183,76,85,92,"ST*,AMC*,AML+",68,84,78,84,60,60,72,40,80,45,82,55,28,70,52,74,60,80,78,76,78,76,78,55,78,55,74,78,82,84,84,76,72,78,80,76,,,,,,,,,,,,,70,70,35,72,20,喜欢远射
MUN21,Benjamin Sesko,MUN,23,195,88,80,88,ST*,52,68,78,74,45,78,62,32,62,48,68,38,28,62,58,66,68,74,74,74,74,76,52,52,80,55,68,64,80,78,74,78,82,78,78,78,,,,,,,,,,,,,66,66,30,62,20,
MUN22,Joshua Zirkzee,MUN,25,189,80,85,88,"ST*,AMC+",64,78,72,80,52,68,66,40,78,48,80,48,28,60,55,72,64,76,76,76,76,76,70,58,78,58,72,76,76,78,78,78,72,74,76,76,,,,,,,,,,,,,66,66,30,68,18,回做型
