id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
NEW01,Nick Pope,NEW,34,191,87,55,92,GK*,,,,74,,,,,,,,,,,,,80,78,80,78,78,76,76,78,78,62,40,80,40,80,72,64,66,58,68,72,74,78,60,72,72,84,80,84,30,80,82,78,76,74,30,60,25,
NEW02,Aaron Ramsdale,NEW,28,188,82,55,92,GK*,,,,74,,,,,,,,,,,,,78,76,78,76,76,74,74,76,76,60,40,76,40,76,70,62,66,58,68,72,74,76,60,70,72,82,78,80,30,78,78,76,70,68,35,60,22,
NEW03,Sven Botman,NEW,26,193,86,55,92,DC*,48,60,40,74,35,78,42,84,78,76,72,30,25,40,60,78,72,78,78,78,76,78,42,64,50,84,78,66,76,74,70,78,84,76,78,76,,,,,,,,,,,,,72,70,40,62,25,
NEW04,Malick Thiaw,NEW,25,194,86,55,92,DC*,48,62,40,72,35,78,42,82,76,76,70,30,25,40,62,78,72,78,78,78,76,78,42,62,50,84,78,64,78,76,72,78,82,78,78,78,,,,,,,,,,,,,70,68,30,65,25,
NEW05,Dan Burn,NEW,34,199,88,55,92,"DC*,DL+",46,58,40,70,35,84,42,82,74,76,68,32,30,40,62,78,74,78,78,78,76,80,42,68,50,84,78,62,76,72,66,80,86,74,72,76,,,,,,,,,,,,,74,70,30,70,25,
NEW06,Jamal Lascelles,NEW,33,186,82,55,92,DC*,46,58,40,70,35,78,42,82,74,76,68,30,25,40,60,76,72,76,76,76,76,78,42,66,50,82,78,64,74,72,68,76,82,72,72,74,,,,,,,,,,,,,70,68,35,62,28,
NEW07,Tino Livramento,NEW,24,181,74,55,92,"DR*,WBR+",66,72,48,72,40,60,48,76,74,76,72,45,25,45,60,74,68,74,76,76,74,78,45,58,66,78,76,68,86,80,78,76,70,78,82,78,,,,,,,,,,,,,68,66,40,68,22,
NEW08,Lewis Hall,NEW,22,180,72,85,92,"DL*,WBL+",66,72,48,74,42,60,48,76,76,74,74,48,25,42,58,74,66,74,76,76,74,76,48,58,64,80,76,70,84,78,76,76,68,76,78,78,,,,,,,,,,,,,66,66,30,68,20,
NEW09,Amar Dedic,NEW,24,182,74,45,92,DR*,66,70,48,72,40,60,48,76,74,74,72,42,25,45,62,74,68,74,76,76,74,76,45,55,66,76,74,66,84,80,76,76,70,76,80,80,,,,,,,,,,,,,62,62,25,65,22,
NEW10,Emil Krafth,NEW,32,183,78,55,90,"DR*,DC+",58,66,45,72,38,64,45,78,76,76,70,40,25,42,58,74,68,76,76,76,76,78,45,60,60,78,76,66,78,72,70,74,74,74,74,76,,,,,,,,,,,,,70,68,30,72,20,
NEW11,Joelinton,NEW,30,191,84,55,92,"DM*,MC*",58,72,58,76,45,68,58,76,78,80,76,42,28,50,74,78,76,78,78,78,76,80,45,65,65,80,80,72,84,76,74,78,76,80,78,84,,,,,,,,,,,,,74,74,35,80,45,
NEW12,Nico Gonzalez,NEW,24,185,76,85,92,"DM*,MC*",58,74,58,78,45,62,58,76,80,78,78,42,25,50,62,76,66,78,78,78,78,78,55,62,64,82,78,74,82,76,74,76,72,78,78,82,,,,,,,,,,,,,68,68,30,70,22,
NEW13,Lewis Miley,NEW,20,185,74,85,92,"MC*,AMC+",58,74,58,78,45,58,58,70,78,72,76,42,25,48,55,72,62,72,74,74,72,76,52,55,60,78,74,68,80,74,72,74,68,74,76,78,,,,,,,,,,,,,56,56,25,65,15,
NEW14,Sean Steur,NEW,19,183,74,55,92,"DM+,MC+",52,70,48,74,38,58,46,72,76,74,72,38,25,42,58,72,64,72,74,74,72,76,45,52,58,76,74,64,80,72,70,74,68,74,76,78,,,,,,,,,,,,,52,52,25,60,15,
NEW15,Harvey Barnes,NEW,29,178,72,90,88,"AML*,AMR+",64,78,76,76,52,54,68,40,74,45,78,48,28,58,55,70,62,74,74,74,74,76,68,55,78,55,72,76,80,84,82,80,66,76,80,76,,,,,,,,,,,,,70,70,35,68,18,喜欢内切
NEW16,Matias Fernandez-Pardo,NEW,22,180,72,90,80,"AML*,AMR+",66,82,70,74,48,52,62,35,70,42,76,45,25,52,52,68,58,72,72,72,74,74,72,50,76,52,68,74,80,90,88,80,58,76,86,76,,,,,,,,,,,,,58,58,25,65,15,爱盘带过人|喜欢利用速度
NEW17,Bazoumana Toure,NEW,23,178,70,85,88,"AML*,AMR+",64,80,68,72,45,50,62,35,70,42,76,45,25,50,50,68,58,70,70,70,72,72,70,48,74,52,66,72,78,90,88,78,56,76,84,76,,,,,,,,,,,,,58,58,25,65,15,爱盘带过人
NEW18,Anthony Elanga,NEW,24,178,70,85,92,"AMR*,AML+",64,78,70,72,45,52,64,35,72,42,76,45,25,52,52,70,60,72,72,72,74,74,62,50,78,52,68,72,84,90,88,78,62,78,88,78,,,,,,,,,,,,,66,66,25,68,15,喜欢利用速度
NEW19,Jacob Murphy,NEW,31,180,74,85,92,"AMR*,AML+",62,76,68,72,48,52,64,38,72,42,74,45,25,55,55,70,62,74,74,74,74,76,60,52,76,55,70,72,82,88,86,76,60,76,84,76,,,,,,,,,,,,,68,68,30,68,18,喜欢利用速度
NEW20,William Osula,NEW,23,188,80,80,88,ST*,52,68,72,70,42,68,58,30,60,42,66,38,25,55,55,64,62,72,72,72,72,74,55,50,76,52,66,62,76,80,76,76,76,76,78,76,,,,,,,,,,,,,58,58,30,62,18,
