id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
NFO01,Matz Sels,NFO,34,193,86,55,92,GK*,,,,,,,,,74,,,,,,76,76,78,76,78,74,74,76,76,60,40,78,40,78,70,62,66,58,68,72,74,76,60,72,72,30,80,78,76,78,60,80,60,68,78,76,30,60,20,
NFO02,John Victor,NFO,30,190,82,55,92,GK*,,,,,,,,,72,,,,,,76,74,76,74,76,72,72,74,74,55,40,76,40,76,68,60,64,56,66,70,72,76,58,70,70,28,76,76,74,76,58,78,58,66,76,74,30,58,18,
NFO03,Ola Aina,NFO,30,181,76,45,92,"DR*,WBR+",68,70,48,72,40,62,50,76,74,76,72,45,28,45,60,74,68,74,76,76,74,78,45,58,66,78,76,68,84,78,76,76,70,78,80,78,,,,,,,,,,,,,70,68,55,68,25,
NFO04,Neco Williams,NFO,25,180,74,85,92,"DL*,WBL+",68,72,48,72,42,60,48,76,74,74,72,48,25,42,60,74,68,74,76,76,74,76,45,55,64,78,76,68,84,78,76,76,68,76,78,78,,,,,,,,,,,,,66,66,25,68,22,
NFO05,Murillo,NFO,24,185,78,55,92,DC*,48,64,40,72,35,76,42,82,76,78,72,30,25,40,62,78,72,78,78,78,76,78,45,60,50,84,78,66,80,78,74,78,82,80,78,78,,,,,,,,,,,,,72,70,25,65,25,
NFO06,Nikola Milenkovic,NFO,28,190,84,55,92,DC*,46,58,40,72,35,82,42,84,76,78,70,30,28,40,66,78,74,78,78,78,76,80,42,64,50,86,78,64,76,74,70,80,84,76,78,78,,,,,,,,,,,,,74,72,25,65,30,
NFO07,Ousmane Diomande,NFO,22,188,82,55,92,DC*,48,64,40,72,35,76,42,80,76,76,72,30,25,40,64,78,72,76,76,76,76,78,42,58,50,82,76,64,80,78,74,78,80,80,80,78,,,,,,,,,,,,,64,64,25,62,25,
NFO08,Morato,NFO,25,187,80,85,88,"DC*,DL+",50,64,40,74,38,76,42,80,76,76,72,32,25,40,60,76,70,76,76,76,76,78,42,60,52,82,76,66,78,76,72,78,80,78,76,78,,,,,,,,,,,,,64,64,35,68,22,
NFO09,Alex Moreno,NFO,33,178,74,85,92,"DL*,WBL+",68,72,48,74,42,60,50,76,76,74,74,50,28,42,60,74,68,74,76,76,74,76,48,58,68,78,76,70,80,74,72,74,68,76,76,74,,,,,,,,,,,,,68,68,40,70,22,
NFO10,Ryan Yates,NFO,29,180,74,55,92,"DM*,MC+",56,68,52,74,45,62,52,76,76,78,72,42,28,48,64,76,70,76,78,78,76,80,45,62,62,80,78,70,82,72,70,76,72,78,76,80,,,,,,,,,,,,,72,70,30,70,30,
NFO11,Douglas Luiz,NFO,28,178,72,85,92,"DM*,MC*",62,76,66,82,72,62,72,68,84,78,84,52,28,68,60,76,64,80,78,78,80,80,62,64,70,78,78,78,80,72,70,76,70,78,74,82,,,,,,,,,,,,,72,72,30,75,22,喜欢远射
NFO12,Morgan Gibbs-White,NFO,26,178,70,88,90,"AMC*,MC*",66,80,72,82,60,56,70,48,82,52,84,52,28,62,55,74,60,80,78,78,80,80,68,58,76,58,76,82,80,76,76,74,64,78,76,80,,,,,,,,,,,,,72,72,30,72,20,喜欢直塞身后
NFO13,James McAtee,NFO,23,175,68,85,92,"AMC*,AMR+",62,80,68,78,50,50,64,38,78,42,80,48,25,55,55,52,72,58,74,74,74,74,76,70,52,76,55,72,76,82,78,80,78,58,76,78,,,,,,,,,,,,,64,64,30,68,15,
NFO14,Callum Hudson-Odoi,NFO,25,180,70,90,88,"AML*,AMR+",66,80,72,76,52,52,64,38,74,42,80,48,28,55,55,52,70,60,74,74,74,74,76,72,52,78,55,70,76,80,88,84,80,60,76,80,,,,,,,,,,,,,66,66,35,68,15,爱盘带过人
NFO15,Dan Ndoye,NFO,25,183,74,88,90,"AMR*,AML*",64,80,72,74,48,54,66,38,74,42,78,45,28,58,58,55,70,60,74,74,74,76,76,66,52,78,52,72,76,80,88,86,80,64,78,86,,,,,,,,,,,,,66,66,30,68,18,喜欢利用速度
NFO16,Omari Hutchinson,NFO,23,175,68,85,92,"AMR*,AMC+",60,78,68,74,48,50,62,35,72,42,78,45,22,52,52,52,68,58,72,72,72,74,74,68,50,74,52,68,72,78,86,84,78,58,76,82,,,,,,,,,,,,,60,60,25,65,15,爱盘带过人
NFO17,Chris Wood,NFO,35,191,88,85,88,ST*,50,64,78,72,45,82,64,35,62,50,68,40,30,62,60,66,68,76,74,74,74,76,52,52,80,55,68,64,76,72,70,78,84,78,76,76,,,,,,,,,,,,,72,72,25,62,22,高举高打
NFO18,Arnaud Kalimuendo,NFO,24,178,72,80,92,ST*,55,72,76,74,48,66,62,32,64,45,70,40,28,60,58,66,64,74,74,74,74,76,60,52,78,55,68,66,78,84,82,78,74,74,78,78,,,,,,,,,,,,,68,66,30,65,20,喜欢利用速度
