id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
SUN01,Robin Roefs,SUN,22,193,84,50,92,GK*,,,,,,,,,74,,,,,,76,74,76,74,76,72,72,74,74,55,40,76,40,76,68,60,64,58,68,72,72,76,60,70,70,25,76,76,74,78,58,78,60,66,76,76,30,58,18,
SUN02,Anthony Patterson,SUN,26,188,80,55,92,GK*,,,,,,,,,72,,,,,,76,74,76,74,76,72,72,74,74,55,40,76,40,76,68,60,64,56,66,70,72,74,58,70,70,28,76,74,74,76,58,78,58,66,76,74,30,58,18,
SUN03,Dan Ballard,SUN,27,185,80,55,92,DC*,48,60,40,72,35,78,42,82,74,76,70,30,28,40,66,78,72,78,78,78,76,80,42,64,50,84,78,64,76,74,70,78,84,76,76,76,,,,,,,,,,,,,70,70,35,62,30,
SUN04,Nordi Mukiele,SUN,29,186,80,55,92,"DC*,DR+",50,64,42,74,38,76,45,80,76,78,72,32,28,42,62,78,70,76,76,76,76,78,42,62,52,84,76,66,78,76,72,78,80,78,76,78,,,,,,,,,,,,,68,68,30,70,25,
SUN05,Omar Alderete,SUN,29,185,80,55,92,DC*,46,58,40,72,35,76,42,82,76,76,70,30,25,40,64,76,72,76,78,78,76,78,42,62,50,82,78,64,76,74,70,78,80,76,76,76,,,,,,,,,,,,,70,68,30,65,28,
SUN06,Kevin Danso,SUN,28,190,82,55,92,DC*,46,60,40,72,35,78,42,82,76,76,70,30,25,40,64,76,72,76,76,76,76,78,42,60,50,82,78,64,78,76,72,78,82,78,76,76,,,,,,,,,,,,,68,68,30,65,25,
SUN07,Trai Hume,SUN,24,180,74,45,92,DR*,66,70,48,72,40,60,48,76,74,76,72,42,25,45,62,74,68,74,76,76,74,76,45,55,64,78,76,66,84,78,76,76,70,76,78,78,,,,,,,,,,,,,64,64,25,68,22,
SUN08,Thomas Meunier,SUN,35,188,80,55,92,"DR*,WBR+",68,68,50,74,42,66,50,76,76,74,72,45,28,45,58,74,66,76,78,78,76,80,45,62,66,80,78,68,80,74,72,76,70,76,74,76,,,,,,,,,,,,,68,68,30,72,20,
SUN09,Reinildo,SUN,32,180,76,85,92,DL*,62,66,45,72,40,62,48,78,74,76,70,42,28,42,68,76,72,76,76,76,76,78,45,60,60,80,78,66,82,76,74,76,72,76,78,76,,,,,,,,,,,,,24,22,20,18,16,
SUN10,Dennis Cirkin,SUN,23,180,74,85,92,DL*,64,70,48,72,40,60,48,76,74,74,72,45,25,42,60,74,68,74,76,76,74,76,45,55,64,78,76,66,82,76,74,76,68,76,78,78,,,,,,,,,,,,,22,20,18,16,14,
SUN11,Granit Xhaka,SUN,34,183,76,55,95,"DM*,MC*",58,72,62,80,75,64,66,72,84,78,82,48,28,60,62,76,66,82,78,78,80,85,45,68,64,84,80,72,80,72,70,76,70,78,74,82,,,,,,,,,,,,,76,74,30,70,25,
SUN12,Noah Sadiki,SUN,21,183,74,55,92,"DM*,MC+",56,70,50,74,40,62,48,76,78,76,74,40,25,45,60,74,66,74,76,76,74,76,45,58,62,78,76,68,82,74,72,76,70,78,78,80,,,,,,,,,,,,,68,66,30,68,20,
SUN13,Habib Diarra,SUN,22,180,72,85,92,"MC*,DM+",58,74,56,76,45,58,54,74,78,76,76,42,25,45,58,72,64,74,74,74,74,52,55,60,76,74,68,80,76,74,74,68,76,78,80,72,,,,,,,,,,,,,66,64,25,68,15,
SUN14,Enzo Le Fee,SUN,26,175,68,85,92,"MC*,AMC+",62,78,66,80,55,54,64,45,80,48,82,48,25,55,55,52,72,60,76,76,76,78,74,62,55,74,58,74,78,80,78,78,76,62,76,78,,,,,,,,,,,,,68,66,30,68,15,
SUN15,Chemsdine Talbi,SUN,21,180,72,88,85,"AMR*,AML+",60,78,68,72,45,50,60,35,70,42,76,45,22,50,52,52,68,58,72,72,72,74,72,68,50,74,52,68,74,78,88,86,80,58,76,82,,,,,,,,,,,,,62,60,25,68,15,
SUN16,Romaine Mundle,SUN,23,178,70,90,80,AML*,62,80,70,74,48,50,62,35,72,42,78,45,25,52,55,68,58,72,72,72,74,74,70,52,74,52,68,72,76,84,86,82,76,60,76,80,,,,,,,,,,,,,18,16,14,12,10,
SUN17,Malick Fofana,SUN,21,175,68,90,85,"AML*,AMR+",62,82,70,72,45,50,62,35,70,42,76,45,22,50,50,50,68,58,72,72,72,74,72,70,50,76,52,68,74,80,92,90,84,56,76,86,,,,,,,,,,,,,62,60,25,68,15,喜欢利用速度
SUN18,Simon Adingra,SUN,25,175,70,85,92,"AMR*,AML+",62,80,70,74,48,52,64,35,72,42,78,45,25,52,52,52,70,60,72,72,72,74,74,66,50,76,52,70,76,80,88,86,82,58,76,84,,,,,,,,,,,,,62,60,25,68,15,
SUN19,Wilson Isidor,SUN,26,192,82,80,88,ST*,52,68,74,70,42,74,58,30,60,48,66,38,28,55,55,66,62,72,72,72,72,74,55,50,78,55,66,64,78,78,74,76,80,76,78,76,,,,,,,,,,,,,24,22,20,18,16,
SUN20,Eliezer Mayenda,SUN,22,185,76,85,92,ST+,55,72,72,70,42,70,58,30,62,45,70,38,25,55,55,66,60,72,72,72,74,74,58,52,78,55,68,66,80,84,80,76,76,78,80,78,,,,,,,,,,,,,22,20,18,16,14,
SUN21,Brian Brobbey,SUN,25,185,82,85,88,ST*,55,72,74,72,45,72,60,32,62,50,70,40,28,62,58,66,66,74,74,74,74,76,60,52,78,55,68,64,78,78,76,76,80,76,76,76,,,,,,,,,,,,,28,26,24,22,20,
