id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
TOT01,Guglielmo Vicario,TOT,30,190,80,55,92,GK*,,,,,,,,,78,,,,,,78,78,80,78,78,76,76,78,78,60,40,78,40,78,72,64,66,58,68,74,74,78,62,72,72,28,80,80,78,80,60,82,62,70,80,80,30,60,20,
TOT02,Martin Dubravka,TOT,37,188,84,55,92,GK*,,,,,,,,,72,,,,,,76,76,78,76,76,74,74,76,76,60,40,76,40,76,68,62,64,56,66,70,72,74,60,70,70,28,78,76,74,76,58,78,60,66,78,76,30,55,18,
TOT03,Antonin Kinsky,TOT,23,190,80,55,92,GK*,,,,,,,,,72,,,,,,76,74,76,74,74,72,72,74,74,55,40,76,40,76,68,60,64,56,66,70,72,76,58,70,70,25,76,76,74,76,58,78,58,66,76,76,30,58,18,
TOT04,Cristian Romero,TOT,28,185,82,55,92,DC*,50,64,42,74,38,78,45,84,78,80,74,30,25,40,72,80,76,78,78,78,78,80,45,66,52,86,78,66,78,76,72,80,84,78,80,78,,,,,,,,,,,,,74,76,40,62,40,
TOT05,Micky van de Ven,TOT,25,183,74,85,92,"DC*,DL+",48,62,40,74,35,76,42,82,76,76,72,30,25,40,60,78,72,78,78,78,76,78,42,60,50,84,78,66,82,78,74,78,84,84,80,78,,,,,,,,,,,,,72,72,30,62,15,喜欢利用速度
TOT06,Radu Dragusin,TOT,24,191,84,55,92,DC*,46,58,40,72,35,78,42,82,76,76,70,30,25,40,64,78,72,78,78,78,76,78,42,62,50,84,78,64,76,74,70,78,82,76,76,76,,,,,,,,,,,,,70,68,30,62,22,
TOT07,Marcos Senesi,TOT,29,184,80,88,88,"DC*,DL+",52,66,42,76,40,76,45,80,78,76,74,35,25,42,64,78,70,78,78,78,76,78,45,62,55,84,78,70,78,74,72,78,80,78,76,78,,,,,,,,,,,,,70,70,30,68,22,
TOT08,Pedro Porro,TOT,27,178,72,85,92,"DR*,WBR+",72,74,55,76,50,62,52,76,78,74,78,52,28,48,60,74,68,76,76,76,76,78,55,58,72,78,76,72,86,80,78,76,70,78,80,78,,,,,,,,,,,,,72,70,30,70,20,
TOT09,Andy Robertson,TOT,32,178,68,85,95,"DL*,WBL+",78,72,52,74,55,62,55,78,78,76,74,55,30,48,60,76,68,78,78,78,78,80,45,74,70,80,78,70,88,76,74,76,70,76,78,82,,,,,,,,,,,,,76,74,35,70,25,
TOT10,Destiny Udogie,TOT,24,185,78,85,92,"DL*,WBL+",68,72,50,74,42,62,48,76,76,76,74,48,25,45,62,74,68,74,76,76,74,78,45,58,66,78,76,70,84,78,76,76,70,78,80,78,,,,,,,,,,,,,68,68,30,68,22,
