id,name,short,primary,secondary
ARS,Arsenal,ARS,#EF0107,#FFFFFF
AVL,Aston Villa,AVL,#670E36,#95BFE5
BOU,Bournemouth,BOU,#DA291C,#000000
BRE,Brentford,BRE,#D20000,#FFFFFF
BHA,Brighton,BHA,#0057B8,#FFFFFF
CHE,Chelsea,CHE,#034694,#FFFFFF
COV,Coventry City,COV,#35A7DE,#FFFFFF
CRY,Crystal Palace,CRY,#1B458F,#C4122E
EVE,Everton,EVE,#003399,#FFFFFF
FUL,Fulham,FUL,#FFFFFF,#000000
HUL,Hull City,HUL,#F5A12D,#000000
IPS,Ipswich Town,IPS,#3A64A3,#FFFFFF
LEE,Leeds United,LEE,#FFFFFF,#1D428A
LIV,Liverpool,LIV,#C8102E,#FFFFFF
MCI,Manchester City,MCI,#6CABDD,#FFFFFF
MUN,Manchester United,MUN,#DA291C,#FFE500
NEW,Newcastle United,NEW,#241F20,#FFFFFF
NFO,Nottingham Forest,NFO,#DD0000,#FFFFFF
SUN,Sunderland,SUN,#EB172B,#FFFFFF
TOT,Tottenham Hotspur,TOT,#132257,#FFFFFF
