player_id,name,club,status,match_score,ea_overall,detail
ARS01,David Raya,ARS,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=29
ARS02,Kepa Arrizabalaga,ARS,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=29
ARS03,Illan Meslier,ARS,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=29
ARS04,William Saliba,ARS,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
ARS05,Ben White,ARS,MATCHED,score=1.00,ea_overall=83,attrs_from_ea=25
ARS06,Gabriel Magalhaes,ARS,MATCHED,score=1.00,ea_overall=88,attrs_from_ea=25
ARS07,Piero Hincapie,ARS,MATCHED,score=1.00,ea_overall=83,attrs_from_ea=25
ARS08,Jurrien Timber,ARS,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
ARS09,Riccardo Calafiori,ARS,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
ARS10,Ezri Konsa,ARS,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
ARS11,Myles Lewis-Skelly,ARS,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
ARS12,Martin Zubimendi,ARS,MATCHED,score=1.00,ea_overall=83,attrs_from_ea=25
ARS13,Declan Rice,ARS,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
ARS14,Bruno Guimaraes,ARS,MATCHED,score=1.00,ea_overall=86,attrs_from_ea=25
ARS15,Martin Odegaard,ARS,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
ARS16,Mikel Merino,ARS,MATCHED,score=1.00,ea_overall=83,attrs_from_ea=25
ARS17,Eberechi Eze,ARS,MATCHED,score=1.00,ea_overall=83,attrs_from_ea=25
ARS18,Ethan Nwaneri,ARS,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
ARS19,Bukayo Saka,ARS,MATCHED,score=1.00,ea_overall=88,attrs_from_ea=25
ARS20,Gabriel Martinelli,ARS,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=25
ARS21,Noni Madueke,ARS,MATCHED,score=0.90,ea_overall=80,attrs_from_ea=25
ARS22,Christos Tzolis,ARS,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
ARS23,Viktor Gyokeres,ARS,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
ARS24,Kai Havertz,ARS,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
ARS25,Gabriel Jesus,ARS,AMBIGUOUS(3),,
ARS25,Gabriel Jesus,ARS,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
AVL01,Zion Suzuki,AVL,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=29
AVL02,Marco Bizot,AVL,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=29
AVL03,Matty Cash,AVL,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
AVL04,Victor Lindelof,AVL,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
AVL05,Taylor Harwood-Bellis,AVL,AMBIGUOUS(3),,
