id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
ARS01,David Raya,ARS,30,183,75,70,90,GK*,,,,84,,,,,,,,,,,29,13,82,72,86,86,88,85,84,43,51,72,59,72,54,76,58,66,70,59,47,52,70,83,62,72,70,83,84,88,18,86,88,86,84,78,30,55,15,
ARS02,Kepa Arrizabalaga,ARS,31,189,89,80,92,GK*,,,,80,,,,,,,,,,,20,15,78,68,82,80,80,76,78,37,43,58,52,58,39,59,52,62,66,48,48,62,68,77,58,70,68,77,79,82,30,80,80,78,72,65,35,55,18,
ARS03,Illan Meslier,ARS,26,196,74,90,70,GK*,,,,74,,,,,,,,,,,27,14,76,69,76,74,74,72,74,34,43,55,53,76,38,56,43,57,64,46,50,60,72,72,60,70,72,74,70,76,35,73,78,78,66,60,45,60,18,
ARS04,William Saliba,ARS,25,193,85,70,90,DC*,57,70,37,77,35,81,30,88,80,86,75,30,25,44,74,76,72,84,84,84,84,82,40,60,71,92,68,66,75,62,57,86,86,80,76,84,,,,,,,,,,,,,85,76,20,55,22,
ARS05,Ben White,ARS,28,185,77,80,92,"DR*,DC+",73,72,40,77,28,76,38,82,79,81,74,35,30,32,75,75,74,81,80,80,82,82,55,63,79,84,78,68,74,72,67,81,76,75,78,79,,,,,,,,,,,,,80,72,25,70,30,
ARS06,Gabriel Magalhaes,ARS,28,190,87,88,60,DC*,43,62,40,70,33,88,48,89,77,86,69,30,30,47,80,74,80,79,82,82,78,85,45,60,75,90,68,62,67,59,50,86,88,72,72,84,,,,,,,,,,,,,82,78,30,55,45,
ARS07,Piero Hincapie,ARS,24,184,77,88,60,"DL+,DC*",55,69,43,75,34,78,37,83,78,84,73,32,25,37,79,74,72,78,78,78,78,80,45,61,72,84,65,70,78,75,71,84,78,85,82,77,,,,,,,,,,,,,74,70,35,70,25,
ARS08,Jurrien Timber,ARS,25,179,78,70,90,"DR*,DL+",74,77,45,78,35,72,48,83,80,81,78,35,25,43,74,78,74,81,80,80,80,82,50,68,78,85,73,70,80,75,78,84,74,78,80,82,,,,,,,,,,,,,80,72,45,72,35,
ARS09,Riccardo Calafiori,ARS,24,188,86,92,80,"DL*,DC+",70,73,57,77,57,74,62,78,78,77,77,35,30,48,75,75,72,77,78,78,78,80,55,67,73,84,71,74,76,71,72,82,78,74,74,78,,,,,,,,,,,,,74,66,40,72,40,
ARS10,Ezri Konsa,ARS,28,183,77,70,90,DC*,59,69,50,76,37,78,36,85,77,81,74,30,25,39,70,72,72,81,82,82,80,80,42,57,72,86,77,66,74,71,70,84,78,80,79,78,,,,,,,,,,,,,80,74,30,65,25,
ARS11,Myles Lewis-Skelly,ARS,19,178,72,90,70,"DL*,DM+",70,76,55,77,45,66,57,75,78,76,77,35,25,51,77,74,76,79,74,76,80,58,60,72,76,78,74,84,77,72,82,76,78,76,77,78,,,,,,,,,,,,,60,70,25,68,35,
ARS12,Martin Zubimendi,ARS,27,180,74,80,92,DM*,66,76,61,84,52,64,62,81,85,80,82,40,25,45,68,82,66,85,84,84,88,80,55,75,76,88,83,80,72,72,75,74,68,72,79,74,,,,,,,,,,,,,82,74,25,65,20,
ARS13,Declan Rice,ARS,27,185,80,70,90,"MC*,DM*",78,78,63,83,67,72,77,81,85,84,82,45,40,67,78,81,74,84,84,84,82,86,55,77,77,86,81,76,77,69,69,80,82,77,86,81,,,,,,,,,,,,,82,82,25,70,30,
ARS14,Bruno Guimaraes,ARS,28,182,74,60,88,"MC*,DM+",70,82,70,84,60,65,80,74,87,80,85,50,30,64,76,79,66,86,80,80,82,82,72,78,75,78,84,84,73,73,77,75,70,71,84,79,,,,,,,,,,,,,76,25,70,28,,喜欢远射
ARS15,Martin Odegaard,ARS,27,178,68,88,60,"AMC*,MR+",80,86,75,88,75,55,77,59,90,60,89,55,30,69,60,76,60,87,84,84,88,86,82,80,74,68,90,92,76,81,83,69,60,73,83,66,,,,,,,,,,,,,82,30,70,12,,喜欢直塞身后
ARS16,Mikel Merino,ARS,30,189,83,90,70,"MC*,AMC+",71,76,74,82,61,86,70,77,82,77,80,45,40,64,79,80,76,81,80,80,78,82,52,78,77,82,81,74,72,67,66,83,86,71,78,80,,,,,,,,,,,,,78,76,30,75,35,
ARS17,Eberechi Eze,ARS,28,178,67,80,92,"AMC*,AML*",75,87,79,87,75,56,79,41,83,48,87,55,30,76,56,70,62,86,78,82,82,78,88,73,57,58,80,88,74,84,88,75,62,76,78,72,,,,,,,,,,,,,74,35,68,18,,爱盘带过人
ARS18,Ethan Nwaneri,ARS,19,176,70,90,70,"AMC*,AMR+",73,81,73,78,58,46,69,44,76,46,80,48,25,59,48,66,62,77,74,74,76,76,80,65,59,55,74,80,78,80,83,66,64,80,71,61,,,,,,,,,,,,,70,30,70,18,,爱盘带过人
ARS19,Bukayo Saka,ARS,25,178,65,92,80,"AMR*,MR+",89,89,82,86,68,51,76,52,84,55,87,50,30,78,64,75,66,83,82,82,82,84,82,80,70,55,87,84,87,85,86,77,62,81,84,74,,,,,,,,,,,,,82,30,70,12,,喜欢内切
ARS20,Gabriel Martinelli,ARS,25,178,75,70,90,"AML*,ST+",76,84,78,79,59,66,69,42,75,42,81,45,25,59,73,64,64,78,76,76,74,82,68,71,60,52,77,72,90,88,83,81,74,86,85,71,,,,,,,,,,,,,72,25,68,20,,喜欢利用速度
ARS21,Noni Madueke,ARS,24,182,75,90,70,AMR*,75,85,75,80,59,55,70,42,75,40,82,45,28,67,64,66,62,77,74,74,76,76,74,69,59,50,75,74,85,83,80,77,70,84,79,71,,,,,,,,,,,,,66,30,65,22,,爱盘带过人
ARS22,Christos Tzolis,ARS,24,179,73,80,92,"AML*,AMR+",71,82,76,78,60,61,72,35,76,40,80,45,25,63,63,60,60,76,72,72,72,74,74,68,50,52,75,72,81,84,84,77,58,73,85,69,,,,,,,,,,,,,62,35,68,15,,爱盘带过人
ARS23,Viktor Gyokeres,ARS,28,189,94,80,92,ST*,68,78,87,81,65,80,75,34,74,37,78,40,30,81,79,63,76,83,78,78,76,84,62,77,55,55,75,68,87,83,74,90,82,87,89,87,,,,,,,,,,,,,76,25,65,30,,喜欢利用速度
ARS24,Kai Havertz,ARS,27,193,82,92,80,"ST*,AMC+",71,81,79,85,56,81,71,44,80,46,83,50,32,76,57,69,68,79,78,78,80,80,70,77,60,58,81,82,74,72,62,82,84,75,81,76,,,,,,,,,,,,,74,74,45,75,18,
ARS25,Gabriel Jesus,ARS,29,175,73,70,90,"ST*,AMR+",72,86,79,84,54,70,71,42,78,35,84,45,25,71,72,63,66,78,76,76,78,80,74,73,59,52,77,78,84,86,86,82,72,76,72,71,,,,,,,,,,,,,70,70,70,72,18,
