id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
AVL01,Zion Suzuki,AVL,24,190,91,70,90,GK*,,,,74,,,,,,,,,,,26,7,78,54,78,76,76,74,74,35,35,58,40,78,49,67,48,69,66,58,41,76,74,75,60,72,74,76,74,82,28,77,80,78,72,70,30,60,18,
AVL02,Marco Bizot,AVL,35,193,88,60,88,GK*,,,,72,,,,,,,,,,,39,15,78,59,82,78,78,74,74,37,36,60,50,78,43,61,52,63,64,50,45,67,70,78,56,68,68,76,74,82,32,76,78,72,70,62,35,55,18,
AVL03,Matty Cash,AVL,29,185,74,70,90,"DR*,MR+",73,73,62,74,45,54,60,77,74,79,74,38,28,46,78,75,70,73,78,74,80,52,62,71,78,78,66,84,76,74,71,69,80,77,84,70,,,,,,,,,,,,,74,70,30,65,32,
AVL04,Victor Lindelof,AVL,32,187,80,80,92,DC*,57,64,41,72,46,75,48,79,77,77,69,30,25,52,69,69,70,78,76,76,76,78,42,56,66,82,74,66,60,62,64,76,80,60,57,75,,,,,,,,,,,,,70,68,45,68,20,
AVL05,Taylor Harwood-Bellis,AVL,24,188,73,70,90,DC*,45,63,34,72,36,76,34,76,75,75,68,32,25,42,69,66,70,76,78,78,76,78,42,52,65,84,68,66,69,66,66,81,80,70,75,76,,,,,,,,,,,,,66,64,30,65,25,
AVL06,Tyrone Mings,AVL,33,196,77,88,60,DC*,60,64,39,67,35,80,43,80,74,79,67,28,30,43,78,69,76,74,76,76,76,80,40,61,66,84,65,60,59,49,52,79,86,68,59,81,,,,,,,,,,,,,72,74,55,60,35,
AVL07,Pau Torres,AVL,29,191,80,88,60,DC*,59,65,35,80,48,82,42,83,82,81,74,35,25,41,66,76,64,83,80,80,82,78,45,67,72,86,78,74,68,62,60,82,82,72,72,74,,,,,,,,,,,,,78,70,35,68,18,
AVL08,Matteo Ruggeri,AVL,24,187,69,90,70,"DL*,WBL+",73,72,57,74,47,63,50,72,76,74,73,48,28,42,69,73,66,70,76,76,74,76,48,68,69,78,69,68,80,67,66,77,70,78,80,72,,,,,,,,,,,,,62,60,25,68,20,
AVL09,Lamare Bogarde,AVL,22,183,70,80,92,"DC*,DM+",52,66,43,71,40,62,40,70,73,71,69,32,22,49,67,65,66,70,74,74,72,76,45,53,63,78,71,64,69,64,67,72,74,71,68,72,,,,,,,,,,,,,58,60,30,68,25,
AVL10,John McGinn,AVL,31,178,68,88,60,"MC*,DM+",70,77,73,78,59,61,75,75,80,77,78,45,35,57,81,76,78,77,80,80,78,85,55,77,76,78,81,72,77,76,80,76,76,73,85,81,,,,,,,,,,,,,78,78,30,75,38,
AVL11,Boubacar Kamara,AVL,26,184,68,70,90,"DM*,MC+",62,72,47,79,45,68,57,82,83,82,76,40,25,56,74,76,68,84,80,80,80,80,48,64,75,86,77,74,69,70,73,78,74,71,78,81,,,,,,,,,,,,,78,72,40,68,25,
AVL12,Amadou Onana,AVL,25,192,76,80,92,"DM*,MC+",56,72,55,76,41,78,63,78,78,79,74,40,28,41,79,74,74,75,78,76,76,80,42,66,70,84,77,66,71,58,58,84,88,82,75,83,,,,,,,,,,,,,74,70,35,60,35,
AVL13,Joao Gomes,AVL,25,176,74,70,90,DM*,62,72,59,76,54,66,61,76,78,79,74,42,25,59,79,76,76,74,78,78,76,80,45,65,69,80,75,68,68,76,80,73,70,63,79,74,,,,,,,,,,,,,70,68,30,70,45,
AVL14,Ross Barkley,AVL,32,186,76,90,94,"MC*,AMC+",68,76,72,78,67,66,75,57,79,62,79,48,28,62,65,71,60,78,76,76,78,58,60,72,65,74,75,80,61,64,67,70,68,61,67,73,,,,,,,,,,,,,68,66,45,72,18,
AVL15,Emiliano Buendia,AVL,29,172,72,80,92,AMC*,74,81,72,81,69,65,72,56,81,55,81,52,25,62,71,70,58,77,74,74,76,74,76,67,71,55,76,82,75,80,86,76,56,66,65,66,,,,,,,,,,,,,68,66,45,70,15,
AVL16,Evann Guessand,AVL,25,188,79,70,90,"AML*,ST+",73,79,77,78,51,74,68,35,75,37,77,45,30,59,60,60,66,78,74,74,74,78,62,72,51,56,71,72,81,78,67,86,78,83,78,82,,,,,,,,,,,,,68,66,30,68,25,
AVL17,Alejandro Garnacho,AVL,22,180,72,80,92,"AML*,AMR*",75,83,76,81,60,46,74,37,76,37,82,50,25,60,60,63,58,74,72,72,76,70,84,68,52,52,72,82,81,83,86,67,56,79,77,57,,,,,,,,,,,,,66,35,72,15,,爱盘带过人
AVL18,Ibrahim Mbaye,AVL,18,176,65,70,90,"AMR+,AML+",59,74,63,70,46,43,58,25,66,33,72,40,22,51,46,52,58,68,70,68,70,72,68,59,42,52,63,68,78,84,79,60,58,69,63,56,,,,,,,,,,,,,52,25,62,10,,喜欢利用速度
AVL19,Johan Manzambi,AVL,20,183,75,70,90,"AMC+,DM+",54,71,63,71,40,60,54,61,69,60,71,42,25,44,56,65,64,67,74,74,72,76,50,62,58,74,67,66,81,78,76,75,72,72,66,70,,,,,,,,,,,,,56,56,25,62,15,
AVL20,Ollie Watkins,AVL,30,180,70,80,92,ST*,65,78,84,78,58,78,71,40,74,44,76,38,28,70,70,71,70,77,78,78,76,84,55,74,63,52,75,68,81,82,76,85,78,78,88,79,,,,,,,,,,,,,76,30,70,22,,喜欢利用速度
