id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BHA01,Bart Verbruggen,BHA,24,193,89,80,92,GK*,,,,82,,,,,,,,,,,17,12,82,52,82,82,80,78,78,34,38,60,42,82,50,64,57,71,66,57,46,73,76,76,62,72,74,79,78,84,30,81,84,84,74,70,25,62,18,
BHA02,Jason Steele,BHA,35,188,79,60,88,GK*,,,,76,,,,,,,,,,,39,10,76,72,78,76,76,72,72,34,35,58,43,76,41,52,54,62,62,42,43,60,66,73,60,66,66,74,75,76,60,74,76,72,68,62,35,55,15,
BHA03,Tom McGill,BHA,26,185,80,60,88,GK*,,,,68,,,,,,,,,,,27,10,74,55,74,72,74,70,70,33,37,50,38,74,35,52,57,52,62,39,44,58,68,65,56,68,68,66,65,74,58,67,72,72,60,58,30,58,15,
BHA04,Lewis Dunk,BHA,34,192,88,60,88,DC*,44,63,41,72,58,81,59,80,76,78,68,35,35,40,75,64,74,79,78,78,78,80,42,49,66,84,71,66,49,47,48,77,86,53,64,79,,,,,,,,,,,,,76,74,40,62,32,
BHA05,Adam Webster,BHA,31,191,75,70,90,DC*,50,66,34,71,30,76,37,76,73,74,69,35,28,30,68,60,68,76,76,76,74,76,45,40,66,78,63,64,62,58,61,78,76,62,63,78,,,,,,,,,,,,,70,66,55,68,22,
BHA06,Pascal Struijk,BHA,27,190,79,92,80,"DC*,DL+",45,61,41,71,33,77,36,77,73,75,67,30,28,54,70,66,70,75,76,76,76,76,42,50,66,80,64,64,66,62,62,82,82,64,75,79,,,,,,,,,,,,,72,68,35,68,25,
BHA07,Igor Julio,BHA,29,185,84,88,60,DC*,38,54,34,67,32,72,39,76,71,76,62,30,28,34,77,66,70,72,76,76,74,76,42,51,66,80,66,64,65,65,56,79,82,70,68,84,,,,,,,,,,,,,72,68,30,65,25,
BHA08,Jan Paul van Hecke,BHA,25,189,79,70,90,DC*,50,67,37,74,53,77,47,81,79,80,72,32,25,49,74,65,70,79,80,80,78,80,42,46,68,86,76,68,71,63,65,85,82,73,72,79,,,,,,,,,,,,,78,70,25,65,25,
BHA09,Jaouen Hadjam,BHA,23,185,83,90,70,DL*,64,71,50,68,44,54,49,67,66,71,69,48,25,48,63,63,64,66,72,72,72,74,48,57,65,76,65,64,78,75,70,75,66,78,76,76,,,,,,,,,,,,,62,60,30,65,20,
BHA10,Luka Vuskovic,BHA,19,193,86,70,90,DC+,41,59,50,70,45,79,50,69,73,71,66,30,25,46,65,64,68,61,74,74,74,74,42,51,59,76,54,62,62,50,54,83,82,68,71,81,,,,,,,,,,,,,58,58,25,62,15,
BHA11,Tariq Lamptey,BHA,25,163,62,60,88,"WBR*,DR+",71,76,48,71,36,52,41,70,72,73,73,42,25,42,65,67,68,71,74,74,74,76,55,55,70,74,65,64,86,88,91,65,56,78,72,51,,,,,,,,,,,,,66,64,65,68,20,
BHA12,Joel Veltman,BHA,34,184,75,80,92,"DR*,DC+",67,67,48,74,36,71,43,81,77,78,72,38,25,42,74,72,66,79,80,80,80,78,45,59,72,84,65,68,70,67,67,78,72,68,72,77,,,,,,,,,,,,,78,70,35,72,22,
BHA13,Ferdi Kadioglu,BHA,26,174,68,80,92,"DL*,ML+",72,79,63,78,58,63,66,76,78,75,78,48,28,52,61,74,66,75,76,76,76,78,58,69,75,78,75,74,85,85,83,73,68,77,79,69,,,,,,,,,,,,,72,68,30,75,20,
BHA14,Mats Wieffer,BHA,26,188,78,70,90,"DM*,DR+",63,70,56,77,47,71,61,75,79,76,75,40,28,51,75,74,66,79,78,78,78,80,48,63,68,84,76,72,72,69,67,80,76,72,75,78,,,,,,,,,,,,,76,70,30,68,25,
BHA15,Matt O'Riley,BHA,25,188,77,92,80,"MC*,AMC+",71,75,73,79,68,64,74,60,81,63,78,52,28,70,65,73,62,79,78,78,78,78,62,71,70,68,81,82,70,71,76,74,70,72,76,75,,,,,,,,,,,,,74,70,45,72,15,
BHA16,Jack Hinshelwood,BHA,21,181,76,80,92,"MC*,DM+",65,70,64,74,58,68,57,72,75,74,72,42,25,58,69,71,66,72,76,76,74,78,48,63,70,76,75,66,74,71,72,80,70,70,73,73,,,,,,,,,,,,,62,62,30,70,20,
BHA17,Chema Andres,BHA,20,190,82,70,90,"DM+,MC+",55,58,35,66,42,62,49,65,69,66,63,40,25,41,61,63,64,68,74,74,72,76,45,53,61,76,67,66,66,63,65,70,68,65,64,71,,,,,,,,,,,,,58,58,25,65,15,
BHA18,Malick Yalcouye,BHA,20,169,69,60,88,"DM+,MC+",58,68,56,71,46,58,55,69,72,67,69,36,25,46,66,69,66,70,74,72,74,45,52,63,71,74,67,82,82,78,84,70,76,80,87,65,,,,,,,,,,,,,55,55,25,62,18,
BHA19,Pascal Gross,BHA,35,181,78,80,92,"AMC*,MC+",76,75,66,81,80,55,73,66,82,62,80,82,28,69,69,74,60,82,78,78,80,80,55,73,74,66,82,82,57,68,71,66,66,59,77,75,,,,,,,,,,,,,72,25,68,15,,喜欢远射
BHA20,Kaoru Mitoma,BHA,29,178,74,80,92,AML*,74,88,78,86,57,52,67,49,78,50,86,48,25,62,55,70,60,82,76,76,76,76,74,79,55,82,69,72,85,83,82,78,80,75,75,70,,,,,,,,,,,,,70,45,68,15,,爱盘带过人
BHA21,Yankuba Minteh,BHA,22,180,65,90,70,AMR*,70,80,73,75,40,45,56,49,69,49,78,45,25,54,60,66,62,71,72,72,72,74,64,66,66,52,69,66,89,90,82,66,66,87,77,60,,,,,,,,,,,,,62,25,68,18,,喜欢利用速度
BHA22,Georginio Rutter,BHA,24,182,83,94,90,"AMC*,ST+,AML+",69,80,74,81,61,71,68,50,75,52,80,45,28,64,57,68,64,76,76,76,76,74,72,68,66,58,75,76,76,78,79,81,78,77,79,77,,,,,,,,,,,,,68,66,30,70,18,
BHA23,Stefanos Tzimas,BHA,21,186,78,70,90,ST+,42,69,72,71,42,69,62,28,64,32,69,38,25,57,60,58,62,70,72,72,72,74,55,66,45,52,56,64,79,74,71,82,72,75,74,76,,,,,,,,,,,,,58,58,30,62,15,
BHA24,Ibrahim Osman,BHA,21,178,63,60,88,"AML*,AMR+",61,76,64,72,39,50,57,31,67,29,74,42,22,51,54,56,58,66,70,70,72,64,48,62,46,52,63,66,87,85,78,70,58,84,73,62,,,,,,,,,,,,,56,30,62,15,,喜欢利用速度
BHA25,Promise David,BHA,24,195,91,70,90,ST+,52,65,77,69,50,73,62,27,63,32,66,36,25,66,66,54,60,71,70,70,70,72,50,64,45,52,66,60,64,55,51,81,70,68,74,85,,,,,,,,,,,,,56,55,30,58,15,
