id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BOU01,Djordje Petrovic,BOU,26,194,89,60,88,GK*,,,,80,,,,,,,,,,,27,13,78,68,80,78,80,76,76,37,42,58,46,80,40,59,49,65,66,49,49,73,74,78,60,72,72,79,74,80,28,81,82,78,74,68,30,60,22,
BOU02,Michele Di Gregorio,BOU,29,187,82,70,90,GK*,,,,78,,,,,,,,,,,26,12,80,64,80,78,78,76,76,36,43,58,55,78,49,64,62,66,64,57,48,70,74,80,58,70,74,78,78,82,22,82,82,78,74,70,25,60,15,
BOU03,Julian Araujo,BOU,25,176,70,60,88,"DR*,WBR+",69,68,34,69,37,62,40,73,69,73,69,42,28,44,73,70,68,70,74,72,76,48,55,65,74,74,63,84,84,78,73,74,76,81,77,70,,,,,,,,,,,,,66,62,30,68,22,
BOU04,Adrien Truffert,BOU,24,176,72,90,70,DL*,73,74,50,74,50,59,50,72,73,76,74,48,28,50,63,73,66,70,76,76,74,76,48,66,70,78,70,66,77,73,75,73,66,76,82,71,,,,,,,,,,,,,68,64,25,68,20,
BOU05,James Hill,BOU,24,184,73,70,90,"DC*,DL+",56,60,37,66,33,69,41,71,67,70,63,30,25,35,66,65,68,68,74,74,72,76,42,53,63,76,61,60,70,64,66,75,72,71,69,75,,,,,,,,,,,,,62,60,30,68,25,
BOU06,Adam Smith,BOU,35,180,78,70,90,"DR*,WBR+",68,67,48,72,54,64,61,74,75,73,70,40,30,50,68,70,66,72,76,76,76,76,45,67,72,78,72,66,64,66,68,70,64,68,66,70,,,,,,,,,,,,,72,66,35,72,28,
BOU07,Antonio Silva,BOU,22,187,82,60,88,DC*,47,68,35,73,30,76,30,80,77,79,71,30,25,41,66,63,68,77,76,76,76,78,45,44,69,80,71,66,76,65,64,81,80,80,80,81,,,,,,,,,,,,,64,62,25,65,22,
BOU08,Juanlu Sanchez,BOU,23,186,70,70,90,"DR*,AMR+",72,74,63,75,47,60,59,72,72,71,75,42,25,52,60,70,64,70,72,72,72,74,52,62,70,74,71,64,75,73,69,72,64,73,78,68,,,,,,,,,,,,,60,58,30,65,18,
BOU09,Julio Soler,BOU,21,175,63,90,70,DL*,66,68,44,69,41,59,44,68,67,68,68,40,25,49,65,63,66,65,72,72,72,76,50,52,67,76,60,64,77,72,74,70,66,75,67,64,,,,,,,,,,,,,58,60,25,65,22,
BOU10,Lewis Cook,BOU,29,175,71,80,92,"DM*,MC*",70,75,57,78,57,53,61,75,80,78,77,45,28,56,72,75,64,77,80,80,78,78,55,65,72,80,79,76,74,74,79,69,66,73,80,72,,,,,,,,,,,,,78,70,30,70,22,
BOU11,David Brooks,BOU,29,178,62,90,70,"AMR*,AMC+",71,77,68,75,62,55,68,46,75,47,77,48,25,61,59,63,64,75,74,74,74,76,62,66,57,60,76,70,73,74,78,69,60,71,62,65,,,,,,,,,,,,,68,66,60,70,18,
BOU12,Alex Scott,BOU,23,178,68,70,90,"AMC*,MC+",66,79,64,77,63,51,62,55,76,57,79,45,25,52,68,69,62,74,74,74,74,74,70,62,69,58,74,76,75,82,84,71,58,72,73,69,,,,,,,,,,,,,64,64,30,68,18,
BOU13,Ryan Christie,BOU,31,178,70,92,80,"MR*,AMR+",71,76,66,76,62,53,68,64,78,67,76,48,25,66,75,76,68,78,78,78,74,80,58,68,74,66,77,70,79,78,78,71,62,70,81,74,,,,,,,,,,,,,74,70,30,72,25,
BOU14,Tyler Adams,BOU,27,175,72,70,90,"DM*,MR+",60,71,50,75,41,61,54,76,77,79,72,38,25,48,80,75,74,77,78,78,76,82,45,63,71,80,75,66,85,78,81,79,68,76,79,74,,,,,,,,,,,,,74,70,55,70,30,
BOU15,Justin Kluivert,BOU,27,172,67,80,92,"AMC*,AML*",73,83,75,81,62,54,77,42,77,36,81,55,28,84,60,61,58,74,74,74,76,72,82,69,57,55,76,80,83,84,83,73,56,81,77,62,,,,,,,,,,,,,68,35,72,15,,爱盘带过人
BOU16,Marcus Tavernier,BOU,27,178,75,90,70,"AMR*,AML+,MC+",73,78,70,77,63,52,75,55,74,58,77,52,28,63,54,68,64,75,76,76,76,78,62,66,66,60,75,74,80,78,79,71,66,74,80,69,,,,,,,,,,,,,72,68,35,72,22,
BOU17,Ben Gannon-Doak,BOU,20,176,64,80,92,"AMR*,AML+",64,76,64,70,50,44,59,27,66,35,73,40,22,54,59,55,62,71,70,70,70,74,68,58,43,52,67,66,87,88,85,68,60,83,74,65,,,,,,,,,,,,,58,40,68,18,,爱盘带过人|喜欢利用速度
BOU18,Enes Unal,BOU,29,187,78,80,92,ST*,57,73,79,75,68,79,73,33,69,43,73,40,28,75,71,58,70,75,74,74,72,76,55,67,52,55,69,64,69,67,66,80,80,68,66,76,,,,,,,,,,,,,68,64,65,62,28,
BOU19,Evanilson,BOU,26,183,80,80,92,ST*,51,76,81,78,49,77,69,27,71,40,75,40,28,67,69,63,70,78,76,76,74,80,55,72,46,55,70,66,79,73,72,83,82,77,76,79,,,,,,,,,,,,,68,35,65,25,,高举高打
