id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
BRE01,Caoimhin Kelleher,BRE,27,188,81,80,92,GK*,,,,76,,,,,,,,,,,21,8,82,71,82,80,80,78,78,34,42,60,50,80,43,58,58,66,68,47,39,72,74,78,60,72,72,79,78,82,25,78,84,74,76,70,30,60,18,
BRE02,Hakon Valdimarsson,BRE,24,195,89,60,88,GK*,,,,72,,,,,,,,,,,26,13,76,49,76,74,76,72,72,38,37,52,50,76,28,50,54,51,64,35,48,59,72,73,55,70,72,71,63,80,62,66,62,58,,,25,58,15,
BRE03,Michael Kayode,BRE,22,179,70,70,90,"WBR*,DR+",71,73,40,72,36,64,44,73,69,74,72,42,30,42,71,72,70,69,74,72,78,52,55,72,74,74,64,84,75,65,72,73,78,78,70,72,,,,,,,,,,,,,60,60,30,65,28,
BRE04,Kristoffer Ajer,BRE,28,196,84,70,90,"DC*,DR+",62,68,53,73,39,76,46,77,72,77,71,32,28,45,73,70,74,77,78,78,76,80,42,63,65,84,65,62,70,57,56,79,86,74,72,85,,,,,,,,,,,,,76,70,35,68,30,
BRE05,Nathan Collins,BRE,25,193,81,70,90,DC*,50,63,34,68,29,80,28,81,72,79,67,30,25,37,70,65,70,77,80,80,78,80,42,47,68,86,61,64,64,58,57,82,84,73,79,81,,,,,,,,,,,,,78,72,25,65,25,
BRE06,Sepp van den Berg,BRE,24,192,87,70,90,DC*,56,63,33,70,30,80,35,79,73,76,67,30,25,39,68,69,68,75,78,78,76,78,42,55,67,82,68,62,71,70,60,83,82,78,73,79,,,,,,,,,,,,,70,64,25,68,22,
BRE07,Jannik Schuster,BRE,21,190,80,60,88,DC+,41,45,40,59,35,67,39,66,64,65,53,28,22,40,55,56,66,56,72,72,70,74,42,38,56,76,52,60,63,60,71,72,76,66,63,74,,,,,,,,,,,,,55,55,25,62,15,
BRE08,Aaron Hickey,BRE,24,185,72,90,94,"DR*,DL+",70,72,49,73,40,65,56,76,75,76,73,40,28,46,71,70,68,74,78,78,76,78,48,59,72,80,71,68,75,73,69,73,72,74,67,67,,,,,,,,,,,,,68,64,55,70,25,
BRE09,Rico Henry,BRE,29,170,66,88,60,DL*,68,70,43,72,39,56,41,77,70,74,70,45,30,43,71,72,66,73,76,76,74,76,48,64,74,78,63,66,84,83,84,74,64,80,69,69,,,,,,,,,,,,,68,64,60,68,22,
BRE10,Malick Diouf,BRE,21,183,75,88,60,DL*,70,73,58,72,51,72,56,70,71,71,72,45,28,53,64,71,66,71,74,74,72,76,45,65,66,76,68,64,80,72,70,85,70,80,79,81,,,,,,,,,,,,,62,60,30,65,20,
BRE11,Yehor Yarmoliuk,BRE,22,180,72,70,90,"MC*,AMC+",63,75,65,74,60,57,66,59,76,62,76,50,25,59,65,70,62,73,76,76,76,76,66,62,69,64,74,78,73,67,72,71,64,69,70,72,,,,,,,,,,,,,62,62,25,70,15,
BRE12,Vitaly Janelt,BRE,28,184,79,90,70,"DM*,MC+",63,70,61,75,50,59,63,75,78,75,73,42,28,50,70,75,68,76,78,78,76,78,48,68,69,82,76,70,70,70,66,73,76,64,79,78,,,,,,,,,,,,,76,70,30,70,25,
BRE13,Mathias Jensen,BRE,30,180,68,80,92,"MC*,AMC+",73,74,64,77,65,52,69,63,79,61,76,52,28,65,69,73,60,78,78,78,78,76,64,67,73,64,79,82,69,74,76,68,60,67,74,71,,,,,,,,,,,,,72,68,30,72,15,
BRE14,Mikkel Damsgaard,BRE,26,180,70,70,90,"AMC*,AML*",75,81,72,81,73,52,72,53,83,59,81,55,28,63,62,74,58,81,78,78,80,78,76,76,59,78,74,78,76,79,82,71,76,64,77,68,,,,,,,,,,,,,70,30,72,15,,喜欢直塞身后
