id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
CHE01,Robert Sanchez,CHE,28,197,90,80,92,GK*,,,,76,,,,,,,,,,,35,14,80,64,82,78,78,76,76,38,42,60,49,80,49,59,50,71,66,62,51,76,76,77,62,72,76,80,77,84,32,78,84,80,72,68,35,60,22,
CHE02,Emiliano Martinez,CHE,33,195,88,80,92,GK*,,,,74,,,,,,,,,,,40,16,86,75,84,88,84,84,84,42,49,76,56,86,49,67,59,74,68,57,52,78,78,83,60,72,74,84,84,84,45,81,88,78,82,88,25,55,40,
CHE03,Reece James,CHE,26,180,91,80,92,"DR*,WBR*,MC+",82,76,63,78,71,72,67,80,81,80,79,52,30,62,75,77,70,81,76,76,80,80,55,76,81,70,78,80,77,70,74,82,60,76,70,84,,,,,,,,,,,,,72,74,75,75,25,
CHE04,Malo Gusto,CHE,23,178,74,70,90,"DR*,WBR+",74,75,38,75,45,55,49,75,75,76,75,42,25,45,70,75,68,75,76,76,74,76,52,67,74,76,74,66,85,84,78,75,68,80,85,73,,,,,,,,,,,,,68,64,30,68,22,
CHE05,Marco Palestra,CHE,21,186,75,80,92,"DR*,WBR+",63,67,56,69,39,58,49,65,70,68,68,42,28,49,61,67,68,65,74,72,76,48,55,66,65,72,61,82,73,65,66,66,76,72,63,65,,,,,,,,,,,,,60,58,25,65,20,
CHE06,Wesley Fofana,CHE,24,185,84,70,90,DC*,45,69,40,73,40,76,40,80,75,80,73,30,25,44,75,67,72,77,76,76,76,78,45,49,68,84,66,66,72,71,66,79,80,73,72,79,,,,,,,,,,,,,68,66,78,62,30,
CHE07,Trevoh Chalobah,CHE,27,192,75,70,90,"DC*,DM+",57,67,46,73,42,77,55,80,77,78,71,32,28,44,70,70,72,78,78,78,76,78,45,56,70,82,71,66,70,61,64,82,82,72,70,81,,,,,,,,,,,,,72,68,40,72,28,
CHE08,Levi Colwill,CHE,23,187,83,90,70,"DC*,DL+",60,68,40,77,38,77,42,81,79,78,74,32,25,41,74,71,68,79,78,78,78,78,45,54,71,84,75,70,70,66,67,82,80,75,77,79,,,,,,,,,,,,,70,66,50,70,22,
CHE09,Maxence Lacroix,CHE,26,190,88,60,88,DC*,40,65,33,70,30,75,39,80,73,79,69,30,25,39,73,65,72,76,78,78,76,78,45,44,69,84,63,66,80,70,64,82,80,87,78,82,,,,,,,,,,,,,74,70,30,65,30,
CHE10,Aaron Anselmino,CHE,21,186,83,80,92,DC+,51,60,39,67,43,67,46,69,68,70,65,28,22,39,69,61,66,68,72,72,70,72,42,42,61,76,65,60,70,67,66,74,74,71,67,75,,,,,,,,,,,,,56,55,30,60,15,
CHE11,Jorrel Hato,CHE,20,182,76,90,70,"DL*,DC+",63,70,43,77,35,69,36,76,79,75,73,38,25,37,66,72,66,78,76,76,76,76,48,60,68,82,71,70,83,76,77,86,76,82,72,75,,,,,,,,,,,,,62,62,25,70,18,
CHE12,Pep Chavarria,CHE,28,174,70,86,50,DL*,71,73,56,73,47,58,58,70,73,73,73,50,28,44,64,73,66,68,72,74,72,74,45,67,68,74,72,66,81,75,73,77,66,80,84,76,,,,,,,,,,,,,66,62,35,65,22,
CHE13,Valentin Barco,CHE,22,170,66,90,70,"DL*,WBL+",75,77,45,77,55,53,53,68,77,71,75,68,25,57,68,71,62,74,72,72,74,74,52,67,65,76,73,70,78,81,78,66,62,76,76,59,,,,,,,,,,,,,62,60,30,68,18,
