id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
COV01,Dan Bentley,COV,33,188,73,70,90,GK*,,,,,,,,,70,,,,,,42,37,70,60,70,68,68,70,70,28,34,70,46,70,54,53,49,60,64,52,46,69,56,68,66,28,72,68,69,70,54,71,56,64,72,70,30,55,18,
COV02,Carl Rushworth,COV,25,191,86,88,60,GK*,,,,,,,,,68,,,,,,39,33,68,53,68,66,66,68,68,24,26,68,48,68,60,56,56,61,66,60,45,64,54,68,64,30,70,69,69,68,52,71,58,62,68,66,30,58,18,
COV03,Milan van Ewijk,COV,26,175,70,70,90,"DR*,WBR+",67,69,50,69,54,60,57,68,70,70,69,42,25,43,62,69,66,70,70,70,72,72,45,60,64,74,66,66,88,78,77,76,66,86,83,69,,,,,,,,,,,,,58,56,25,62,22,
COV04,Joel Latibeaudiere,COV,26,180,81,70,90,DC*,51,59,37,64,34,69,30,71,68,70,62,28,22,36,69,63,66,65,70,70,72,42,55,48,72,70,55,72,61,59,66,71,74,61,71,72,,,,,,,,,,,,,58,56,25,62,25,
COV05,Bobby Thomas,COV,25,193,77,70,90,DC*,37,56,45,61,33,73,40,70,66,68,59,28,22,42,75,63,66,63,70,70,72,42,55,47,71,70,58,72,63,56,56,79,76,68,73,81,,,,,,,,,,,,,58,56,25,62,25,
COV06,Liam Kitching,COV,27,191,80,90,70,DC*,44,58,37,63,30,72,34,70,66,68,61,30,25,33,74,62,68,66,72,70,74,42,58,46,71,70,55,74,65,56,54,79,78,68,70,80,,,,,,,,,,,,,62,58,30,62,25,
COV07,Ethan Pinnock,COV,33,194,79,90,70,DC*,44,59,35,66,35,77,35,76,67,73,64,30,25,42,71,64,68,70,70,70,74,42,62,43,77,72,59,72,60,56,58,80,82,67,68,81,,,,,,,,,,,,,68,66,35,62,22,
COV08,Jay Dasilva,COV,28,170,64,90,70,DL*,66,70,40,70,51,52,43,65,70,66,70,45,25,43,57,66,64,70,68,70,72,45,55,62,67,72,63,74,81,80,79,67,64,77,72,60,,,,,,,,,,,,,62,60,30,65,20,
COV09,Ben Sheaf,COV,28,185,74,70,90,DM*,61,70,49,71,53,63,51,73,76,73,71,38,25,53,69,70,66,73,72,72,74,45,58,61,75,74,68,76,63,69,69,72,70,63,75,75,,,,,,,,,,,,,64,62,30,68,22,
COV10,Josh Eccles,COV,26,181,66,70,90,"MC*,DM+",61,66,54,69,54,59,54,69,72,70,68,40,25,57,68,68,66,69,70,70,72,45,58,59,71,74,65,76,74,74,71,72,70,70,76,68,,,,,,,,,,,,,60,58,25,65,22,
COV11,Victor Torp,COV,26,178,68,80,92,"MC*,AMC+",66,71,63,73,65,57,68,57,74,58,73,45,25,59,60,66,55,71,62,72,72,55,52,63,67,72,70,76,68,74,74,68,64,66,75,68,,,,,,,,,,,,,62,60,30,68,15,
COV12,Jack Rudoni,COV,25,185,77,92,80,"AMC*,AML+",70,77,69,76,63,66,67,53,75,56,77,48,25,57,61,67,55,72,60,72,72,62,50,68,65,72,71,74,74,75,74,77,64,73,83,71,,,,,,,,,,,,,60,58,25,65,15,喜欢直塞身后
COV13,Stephen Mfuni,COV,19,180,70,85,92,"AML+,MC+",52,68,56,68,40,48,56,35,66,42,68,42,22,45,50,60,52,64,58,66,66,62,45,55,66,66,55,70,76,78,76,66,60,76,78,68,,,,,,,,,,,,,52,52,25,62,15,爱盘带过人
COV14,Haji Wright,COV,29,191,90,80,92,"ST*,AML+",62,73,75,71,50,72,65,37,64,31,71,30,28,72,61,60,70,72,70,70,72,52,50,75,51,68,63,70,77,71,67,78,78,81,74,81,,,,,,,,,,,,,64,62,30,68,25,高举高打
COV15,Ephron Mason-Clark,COV,27,177,78,80,92,AML*,66,74,67,72,54,59,63,30,68,38,73,45,25,57,57,53,52,69,60,70,70,68,48,67,43,70,63,72,80,81,80,79,64,81,73,75,,,,,,,,,,,,,58,56,30,65,15,爱盘带过人
COV16,Rafael Rodrigues,COV,23,183,77,90,70,AML*,62,72,43,69,55,49,53,50,65,53,71,42,22,45,57,61,50,63,58,68,68,66,45,59,62,68,57,70,75,76,74,64,62,72,75,63,,,,,,,,,,,,,52,52,25,60,15,爱盘带过人
COV17,Brandon Thomas-Asante,COV,28,180,83,80,92,ST*,57,67,68,68,46,64,65,31,63,33,66,28,28,54,67,60,66,64,68,68,70,50,50,72,46,66,60,72,80,80,79,80,74,79,76,75,,,,,,,,,,,,,58,56,30,62,22,
COV18,Norman Bassette,COV,21,186,74,90,70,ST+,54,66,66,64,40,66,57,19,56,42,65,25,25,60,75,51,62,61,62,64,66,52,48,68,33,64,54,70,80,74,71,77,72,81,72,67,,,,,,,,,,,,,50,50,25,60,15,
