id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
CRY01,Dean Henderson,CRY,29,188,85,70,90,GK*,,,,74,,,,,,,,,,,35,10,80,67,80,78,80,76,76,35,39,60,49,80,49,69,62,66,68,58,47,68,74,79,62,72,74,80,77,84,30,83,84,76,76,72,30,60,25,
CRY02,Matt Turner,CRY,32,191,79,60,88,GK*,,,,70,,,,,,,,,,,25,21,76,65,76,74,76,72,72,39,36,55,49,76,39,59,52,60,64,48,47,66,70,74,58,68,72,74,70,78,30,76,76,72,70,66,30,55,18,
CRY03,Chris Richards,CRY,26,188,87,70,90,"DR*,DC+",47,61,31,67,28,74,31,77,72,77,65,32,25,38,69,65,70,67,78,78,76,78,45,47,68,80,63,64,70,67,64,81,76,71,74,79,,,,,,,,,,,,,72,68,30,68,25,
CRY04,Daniel Munoz,CRY,30,181,73,70,90,"DR*,WBR+",76,74,65,75,36,72,52,75,76,80,74,45,28,54,79,75,70,75,76,74,78,48,60,73,75,74,68,88,77,74,77,79,76,77,88,75,,,,,,,,,,,,,72,70,35,68,28,
CRY05,Jaydee Canvot,CRY,19,188,79,70,90,DC+,44,56,33,66,28,70,32,68,70,72,62,28,22,42,65,61,66,64,74,74,72,74,42,44,57,78,64,60,68,59,58,77,76,76,72,76,,,,,,,,,,,,,55,55,25,62,18,
CRY06,Tyrick Mitchell,CRY,26,175,66,90,70,DL*,72,70,43,73,37,57,38,77,69,77,72,40,25,44,68,74,66,71,78,78,74,78,45,65,72,78,74,64,77,75,73,72,66,76,81,69,,,,,,,,,,,,,74,68,30,68,22,
CRY07,Borna Sosa,CRY,29,187,79,90,70,DL*,78,72,44,74,63,64,62,67,76,71,73,55,28,39,62,70,64,74,76,76,74,74,50,64,64,76,74,70,74,72,68,74,70,72,73,72,,,,,,,,,,,,,70,66,40,68,25,
CRY08,Adam Wharton,CRY,22,182,70,92,80,"DM*,MC*",69,74,58,81,62,60,63,73,84,77,80,45,28,51,68,74,62,82,78,78,82,78,58,64,72,80,81,86,66,70,72,70,66,69,70,71,,,,,,,,,,,,,74,72,35,70,15,
CRY09,Will Hughes,CRY,31,185,74,90,70,"MC*,DM+",68,72,59,77,60,59,58,69,79,75,75,45,28,60,74,73,66,77,78,78,76,76,52,66,68,76,79,72,63,67,69,66,68,58,72,66,,,,,,,,,,,,,74,68,35,72,25,
CRY10,Daichi Kamada,CRY,30,184,72,70,90,"AMC*,AML+",71,77,72,79,68,57,71,53,79,58,79,52,28,73,69,73,60,76,78,78,78,78,68,68,66,58,77,82,74,76,77,70,64,71,75,64,,,,,,,,,,,,,74,70,25,75,18,
CRY11,Jefferson Lerma,CRY,31,179,70,70,90,"DM*,MR+",62,71,59,74,53,72,66,75,75,76,72,42,28,53,82,70,74,74,78,78,74,80,45,61,70,78,69,66,73,68,72,84,74,73,77,76,,,,,,,,,,,,,74,70,30,70,42,
CRY12,Justin Devenny,CRY,22,184,80,90,70,MC+,64,70,62,71,60,57,61,61,73,68,70,42,25,56,67,68,66,72,74,74,72,76,50,63,61,72,73,64,71,71,69,69,72,71,72,72,,,,,,,,,,,,,60,60,30,65,22,
CRY13,Quinten Timber,CRY,25,179,71,70,90,"MC*,AMC+",66,78,71,80,56,62,76,65,80,66,78,50,28,59,71,76,64,78,76,76,78,58,62,74,73,76,76,78,84,79,80,82,66,72,79,83,,,,,,,,,,,,,70,68,30,68,20,
CRY14,Anan Khalaili,CRY,20,183,77,80,92,"AMC+,AML+",63,75,66,73,49,55,61,53,67,58,74,45,22,52,63,67,58,68,70,70,72,64,50,62,67,52,68,66,78,80,79,72,58,79,81,70,,,,,,,,,,,,,55,55,25,60,15,
