id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
EVE01,Jordan Pickford,EVE,32,185,77,92,80,GK*,,,,82,,,,,,,,,,,45,22,86,72,86,82,84,80,80,44,46,80,57,82,50,68,63,71,70,51,51,73,72,80,62,72,74,82,84,88,35,87,86,82,82,30,60,25,,大力手抛球
EVE02,Mark Travers,EVE,27,191,82,60,88,GK*,,,,72,,,,,,,,,,,23,12,76,57,76,74,74,72,72,36,38,52,44,76,41,54,55,60,62,45,44,64,70,73,58,68,70,73,71,78,28,76,74,74,66,62,30,58,18,
EVE03,Tom King,EVE,31,194,80,70,90,GK*,,,,68,,,,,,,,,,,23,12,74,54,74,72,74,70,70,36,38,50,43,74,40,53,61,63,60,48,45,71,68,67,56,66,68,68,65,76,28,69,72,72,64,62,30,55,15,
EVE04,Jake O'Brien,EVE,25,197,84,70,90,"DR*,DC+",59,61,41,69,44,78,49,75,72,75,66,32,28,42,70,69,70,69,78,78,76,78,45,59,66,80,66,64,72,56,50,84,82,82,71,82,,,,,,,,,,,,,70,66,30,70,25,
EVE05,James Tarkowski,EVE,33,188,81,80,92,DC*,54,56,40,66,46,82,41,82,69,82,62,30,32,47,79,66,74,76,78,78,76,80,42,54,68,84,68,62,55,59,55,79,84,58,69,81,,,,,,,,,,,,,76,72,30,62,35,
EVE06,Michael Keane,EVE,33,191,82,70,90,DC*,53,56,46,65,34,77,44,77,70,73,62,28,28,44,69,60,70,69,76,76,74,76,42,42,62,80,65,62,52,57,56,77,82,53,57,79,,,,,,,,,,,,,72,66,45,62,28,
EVE07,Jarrad Branthwaite,EVE,24,195,74,94,90,"DC*,DL+",40,59,37,71,28,79,34,81,77,80,66,30,25,36,69,67,72,77,78,78,78,78,42,51,69,84,62,66,70,50,54,78,84,76,74,80,,,,,,,,,,,,,76,70,35,65,25,
EVE08,Vitaliy Mykolenko,EVE,27,180,71,88,60,DL*,69,68,44,72,41,64,55,77,74,77,70,42,28,47,62,72,68,73,76,76,74,78,45,62,72,78,72,66,74,69,70,74,70,77,78,73,,,,,,,,,,,,,72,68,30,68,25,
EVE09,Ainsley Maitland-Niles,EVE,29,180,71,70,90,"DR*,DL+,MR+,ML+",67,72,58,75,47,56,57,71,74,74,74,45,28,67,66,71,64,77,74,74,74,48,62,64,72,74,72,80,75,73,72,69,74,80,79,73,,,,,,,,,,,,,68,64,40,95,20,
EVE10,James Garner,EVE,25,182,80,70,90,"MC*,DM+",70,69,57,77,65,60,65,72,80,73,74,45,28,59,68,70,66,78,78,78,76,78,48,63,69,78,77,70,69,69,61,71,68,63,74,72,,,,,,,,,,,,,72,68,35,72,22,
EVE11,Kiernan Dewsbury-Hall,EVE,28,176,80,90,70,"AMC*,MC*",69,76,68,79,63,61,69,61,79,62,77,48,28,61,68,73,62,77,76,76,76,76,60,67,71,64,77,78,72,76,76,73,64,69,75,72,,,,,,,,,,,,,72,68,25,72,15,
EVE12,Idrissa Gueye,EVE,36,174,66,70,90,DM*,61,67,50,74,56,64,58,78,77,80,70,38,25,50,78,73,74,76,78,78,76,82,45,62,71,80,70,66,73,75,73,75,62,59,77,64,,,,,,,,,,,,,76,72,25,70,35,
EVE13,Carlos Alcaraz,EVE,23,176,70,70,90,"AMC*,AML+",61,79,70,77,64,61,67,44,76,44,78,48,25,62,69,63,58,71,72,72,74,74,68,64,57,56,73,78,82,80,80,75,60,75,72,65,,,,,,,,,,,,,66,64,30,68,18,
EVE14,Hayden Hackney,EVE,24,178,70,70,90,"MC*,DM+",58,71,58,74,52,55,58,69,75,71,72,42,25,52,72,70,64,74,74,74,74,52,55,66,71,74,70,80,68,72,75,66,74,71,82,69,,,,,,,,,,,,,64,62,25,65,18,
EVE16,Iliman Ndiaye,EVE,26,180,70,80,92,"AML*,AMC*",68,85,76,81,55,56,68,42,75,33,82,48,25,70,49,66,58,79,74,74,76,76,74,68,57,56,73,78,81,83,79,76,60,81,75,70,,,,,,,,,,,,,70,25,72,15,,爱盘带过人
EVE17,Thierno Barry,EVE,22,195,75,70,90,ST+,43,57,52,59,42,64,50,47,59,56,58,35,28,47,56,59,62,61,72,72,72,74,55,49,66,55,56,62,67,69,66,70,80,68,70,71,,,,,,,,,,,,,58,58,30,62,18,
EVE18,Jack Grealish,EVE,30,180,81,70,90,"AML*,AMC+",77,87,74,86,68,50,74,51,81,47,86,55,28,61,59,67,60,84,76,74,78,78,76,69,64,55,78,82,75,82,82,71,58,72,72,71,,,,,,,,,,,,,70,45,68,22,,爱盘带过人
EVE19,Tyler Dibling,EVE,20,186,79,90,70,"AMC+,AML+",70,78,68,74,52,45,63,37,72,36,77,45,25,57,54,63,58,74,72,70,74,66,52,63,50,55,71,70,76,78,77,70,58,69,70,72,,,,,,,,,,,,,58,58,25,65,12,
EVE20,Tyrique George,EVE,20,185,80,80,92,"AML+,AMR+",64,73,65,70,52,50,64,35,68,35,71,42,22,52,50,58,58,69,70,70,72,60,48,60,50,52,68,66,78,83,82,69,58,70,72,60,,,,,,,,,,,,,55,55,25,62,12,
