id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
FUL01,Bernd Leno,FUL,34,189,83,70,90,GK*,,,,,,,,,76,,,,,,47,41,74,67,76,76,62,40,78,20,47,70,57,66,56,58,55,71,76,55,54,71,62,76,72,30,80,79,76,78,60,81,62,68,72,70,30,60,20,
FUL02,Benjamin Lacomte,FUL,35,186,78,90,70,GK*,,,,,,,,,70,,,,,,43,39,74,65,74,70,70,72,72,28,26,74,42,74,52,45,43,59,64,51,48,70,56,70,68,28,76,72,74,70,58,75,58,62,66,62,30,55,15,
FUL03,Kenny Tete,FUL,31,180,71,60,88,DR*,72,68,44,71,41,68,44,76,74,77,70,42,28,46,71,72,68,70,78,78,76,78,45,61,71,80,66,68,76,73,71,80,70,74,75,76,,,,,,,,,,,,,72,68,35,68,22,
FUL04,Timothy Castagne,FUL,31,185,80,70,90,"DR*,DL+,MR+",70,70,53,74,36,69,50,76,75,74,73,45,28,46,68,74,68,71,78,78,76,78,48,67,69,80,73,70,72,70,67,75,74,71,76,71,,,,,,,,,,,,,72,68,30,95,25,
FUL05,Calvin Bassey,FUL,26,185,88,90,70,"DC*,DL+",61,66,38,68,36,75,38,80,73,77,70,30,25,42,78,71,74,72,78,78,76,78,42,58,68,84,64,66,76,71,68,80,82,84,83,83,,,,,,,,,,,,,72,68,30,68,30,
FUL06,Jorge Cuenca,FUL,26,190,75,90,70,"DC*,DL+",47,46,32,70,31,73,41,77,72,74,59,35,25,42,68,62,68,70,76,76,74,76,42,43,66,82,66,66,70,67,64,78,78,74,69,76,,,,,,,,,,,,,66,64,30,68,22,
FUL07,David Affengruber,FUL,25,185,79,70,90,DC*,37,65,39,70,34,75,42,78,73,75,69,30,25,41,70,70,70,75,76,76,74,76,42,58,66,82,62,64,75,72,74,83,80,74,84,80,,,,,,,,,,,,,62,60,25,65,22,
FUL08,Antonee Robinson,FUL,29,183,70,90,70,"DL*,WBL+",77,75,46,76,41,63,47,78,76,77,76,50,28,45,74,78,68,74,78,78,76,80,45,70,74,80,78,70,87,74,72,79,70,85,86,76,,,,,,,,,,,,,74,70,30,68,25,
FUL09,Ryan Sessegnon,FUL,26,178,70,90,70,"DL*,WBL+,AML+",72,75,64,75,44,62,58,73,74,71,74,45,28,56,63,72,62,74,74,74,72,72,55,66,71,72,73,68,80,79,77,75,64,76,73,68,,,,,,,,,,,,,66,64,60,70,20,
FUL10,Sasa Lukic,FUL,29,183,77,70,90,"DM*,MC+",69,72,60,77,60,62,63,75,79,76,75,42,28,61,75,75,68,76,78,78,76,78,45,66,70,82,76,72,70,68,69,74,72,66,80,78,,,,,,,,,,,,,74,70,25,70,28,
FUL11,Shea Charles,FUL,22,189,77,70,90,"DM*,MC+",63,70,57,73,56,60,56,71,77,72,72,40,25,54,65,69,66,74,76,76,76,78,48,61,66,80,75,70,69,67,65,73,72,69,79,77,,,,,,,,,,,,,62,62,25,70,22,
FUL12,Hugo Larsson,FUL,22,187,74,70,90,"DM*,MC*",52,75,69,79,50,61,65,75,82,69,78,42,28,52,69,76,66,82,78,78,76,78,50,70,71,82,78,74,76,78,73,76,74,80,80,77,,,,,,,,,,,,,66,66,25,68,20,
FUL13,Tom Cairney,FUL,35,185,84,88,60,"MC*,AMC+",69,72,63,77,63,58,66,67,78,66,75,45,28,59,57,72,62,78,78,78,76,78,45,69,65,80,78,70,62,66,67,67,66,59,60,71,,,,,,,,,,,,,72,68,35,72,15,
FUL14,Josh King,FUL,19,173,66,80,92,"MC*,AMC+",61,72,60,72,51,47,62,63,72,67,72,42,25,52,58,67,62,70,74,74,72,74,50,61,59,76,70,68,72,73,73,60,68,70,70,64,,,,,,,,,,,,,58,58,25,65,18,
FUL15,Emile Smith Rowe,FUL,26,182,73,80,92,"AMC*,AML+",71,80,72,79,57,56,69,48,79,47,80,48,28,62,53,66,62,77,76,76,76,76,62,68,61,58,76,78,77,78,74,72,64,72,71,68,,,,,,,,,,,,,68,68,35,72,15,
FUL16,Alex Iwobi,FUL,29,180,75,70,90,"AML*,AMR*,MC*",73,82,71,80,54,49,71,49,79,53,80,52,28,62,59,70,64,80,76,76,78,76,66,69,62,58,79,78,78,76,77,72,68,75,84,75,,,,,,,,,,,,,74,70,30,95,18,
