id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
HUL01,Jack Butland,HUL,33,196,95,80,92,GK*,,,,,,,,,70,,,,,,52,38,72,64,72,70,70,72,72,30,25,72,48,72,58,53,54,65,66,58,45,75,58,72,68,30,74,73,71,72,56,74,58,66,74,72,30,58,20,
HUL02,Konstantinos Tzolakis,HUL,24,193,80,70,90,GK*,,,,,,,,,68,,,,,,50,32,68,63,68,66,66,68,68,25,21,68,53,68,58,61,59,63,66,62,54,70,56,74,66,25,70,73,72,70,54,77,60,64,66,64,30,58,18,
HUL03,Semi Ajayi,HUL,33,193,83,60,88,DC*,40,59,41,64,34,76,52,72,63,67,62,30,25,35,70,64,68,68,70,70,74,42,62,50,72,72,50,74,65,60,47,82,82,74,77,81,,,,,,,,,,,,,66,64,35,65,28,
HUL04,John Egan,HUL,34,185,75,70,90,DC*,38,55,41,65,30,75,41,72,70,69,62,30,25,41,71,62,70,66,70,70,76,42,64,42,72,72,50,74,57,59,65,78,84,57,65,78,,,,,,,,,,,,,68,66,40,62,25,
HUL05,Nobel Mendy,HUL,21,187,78,90,70,DC*,51,55,41,64,37,67,41,65,65,67,61,28,22,39,73,63,66,61,68,68,72,42,55,49,66,72,60,72,64,58,57,72,78,72,66,71,,,,,,,,,,,,,52,52,25,62,20,
HUL06,Charlie Hughes,HUL,22,189,80,70,90,DC*,48,59,34,66,30,70,36,70,67,70,63,28,22,40,71,60,64,68,66,66,70,42,52,43,71,70,56,70,71,67,64,79,76,70,73,77,,,,,,,,,,,,,50,50,25,62,18,
HUL07,Cody Drameh,HUL,25,181,73,70,90,"DR*,WBR+",64,70,37,67,35,59,39,67,64,70,69,42,25,43,67,64,66,64,70,70,72,45,55,60,69,72,60,76,81,78,71,75,70,82,77,70,,,,,,,,,,,,,58,56,30,65,22,
HUL08,Lewie Coyle,HUL,30,177,80,70,90,DR*,65,68,44,66,46,60,50,69,68,68,67,40,25,41,70,65,68,66,70,70,74,45,60,59,71,74,59,74,75,74,74,75,66,73,80,71,,,,,,,,,,,,,64,62,35,68,25,
HUL09,Ryan Giles,HUL,26,184,72,88,60,"DL*,WBL+",74,71,52,72,59,57,59,66,72,67,73,50,28,49,56,66,64,66,66,68,72,48,55,65,67,74,67,76,82,78,75,70,68,83,80,67,,,,,,,,,,,,,62,60,25,68,20,
HUL10,Matt Targett,HUL,31,183,70,88,60,DL*,75,69,41,71,57,64,46,74,72,70,70,48,28,47,61,69,66,68,68,70,74,45,58,61,76,74,62,76,68,66,67,72,66,66,56,67,,,,,,,,,,,,,64,62,45,68,20,
HUL11,Lucas Gourna-Douath,HUL,23,185,81,70,90,DM*,53,69,47,71,41,63,48,69,74,70,71,38,25,47,67,68,66,70,70,70,72,45,58,60,71,74,66,74,76,71,68,78,72,74,76,75,,,,,,,,,,,,,52,52,30,62,18,
HUL12,Tim Iroegbunam,HUL,23,183,70,80,92,"DM*,MC+",55,73,53,73,41,65,51,70,75,73,72,40,25,52,68,71,68,69,70,70,72,45,58,62,72,74,67,74,71,68,67,75,70,70,75,73,,,,,,,,,,,,,56,56,30,65,22,
HUL13,Merlin Rohl,HUL,24,192,79,80,92,"MC*,AMC+",59,76,63,73,41,59,61,51,75,56,75,45,25,51,54,67,52,69,60,70,70,58,48,68,63,70,70,72,77,75,70,76,66,79,80,71,,,,,,,,,,,,,54,54,30,65,15,
HUL14,Regan Slater,HUL,26,171,66,70,90,MC*,61,70,57,70,52,59,59,68,73,67,70,40,25,50,69,69,66,69,68,70,72,45,58,64,70,74,66,74,75,78,79,71,70,72,83,65,,,,,,,,,,,,,60,58,25,65,22,
HUL15,John Lundstram,HUL,32,181,74,90,94,DM*,62,68,61,72,50,61,65,71,74,71,70,42,25,49,72,70,68,70,70,70,76,45,62,63,73,76,67,74,66,66,69,72,70,70,80,73,,,,,,,,,,,,,66,64,30,70,25,
HUL16,Kieran Dowell,HUL,29,185,70,90,70,"AMC*,AMR+",64,73,63,75,67,53,69,43,74,40,75,50,25,60,49,57,55,71,60,70,70,58,48,65,54,70,68,74,66,70,70,63,64,67,68,61,,,,,,,,,,,,,62,60,30,68,15,
HUL17,Matt Crooks,HUL,32,192,80,60,88,MC*,51,67,65,69,49,71,63,58,73,61,70,42,25,55,73,68,68,66,68,68,72,45,60,66,69,74,67,74,62,65,56,79,76,62,80,82,,,,,,,,,,,,,66,64,30,75,25,
HUL18,Mohamed Belloumi,HUL,24,180,66,90,70,AML*,67,76,69,74,58,44,68,36,70,41,76,45,25,56,54,55,52,69,60,70,70,68,48,65,49,70,65,72,78,82,77,64,64,80,73,61,,,,,,,,,,,,,56,56,30,65,15,爱盘带过人
HUL19,Liam Millar,HUL,27,181,75,70,90,AML*,65,75,67,73,53,54,64,45,69,48,74,45,25,54,54,61,52,65,60,70,70,62,48,66,57,70,64,72,83,81,78,69,66,82,75,60,,,,,,,,,,,,,58,58,35,68,15,喜欢利用速度
HUL20,Abu Kamara,HUL,22,186,72,90,70,AMR*,61,73,65,69,43,54,62,39,65,37,72,45,25,60,46,54,55,65,60,70,70,65,48,62,52,70,61,72,84,82,72,73,66,83,74,65,,,,,,,,,,,,,56,56,25,65,15,喜欢利用速度
HUL21,Kyle Joseph,HUL,25,185,75,70,90,ST*,51,66,68,67,38,64,57,38,61,44,67,25,25,54,70,57,62,60,62,66,68,50,48,68,53,64,58,70,75,74,69,74,72,75,83,70,,,,,,,,,,,,,54,54,30,62,18,
HUL22,Robinio Vaz,HUL,20,186,75,70,90,ST+,52,65,65,65,47,66,59,24,59,31,65,25,25,62,54,51,60,61,60,66,68,52,48,65,38,62,54,70,78,76,64,75,72,78,59,66,,,,,,,,,,,,,48,48,25,60,12,
