id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
IPS01,Alex Palmer,IPS,28,191,85,70,90,GK*,,,,,,,,,68,,,,,,39,32,68,45,68,66,66,68,68,27,22,68,42,68,42,44,45,57,66,50,44,67,56,70,66,28,72,71,70,70,54,72,56,64,70,68,30,58,18,
IPS02,Christian Walton,IPS,31,195,72,88,60,GK*,,,,,,,,,66,,,,,,40,32,66,51,66,64,64,66,66,25,24,66,50,66,48,42,49,56,64,47,45,62,52,66,64,28,70,68,66,68,52,69,56,62,68,66,30,55,15,
IPS03,Darnell Furlong,IPS,31,183,76,70,90,DR*,68,68,39,70,37,68,37,70,66,69,70,42,28,47,68,68,66,66,70,70,74,45,58,62,72,74,60,74,73,71,69,79,70,75,81,72,,,,,,,,,,,,,64,62,30,68,22,
IPS04,Wes Burns,IPS,31,179,68,70,90,"DR*,WBR+",68,68,60,70,43,62,58,66,67,61,71,40,25,55,63,66,66,68,68,70,72,45,58,65,68,72,62,74,84,81,81,78,68,84,83,67,,,,,,,,,,,,,62,60,35,68,22,
IPS05,Ben Johnson,IPS,26,180,69,80,92,"DR*,DL+",66,68,43,69,39,62,46,73,70,71,69,42,25,40,63,69,66,67,68,70,72,48,55,61,74,72,61,74,72,69,71,73,68,72,73,71,,,,,,,,,,,,,58,56,25,80,20,
IPS06,Jacob Greaves,IPS,25,194,87,88,60,DC*,55,62,37,67,30,71,39,74,71,72,66,30,25,36,71,65,66,70,68,68,72,42,55,50,75,72,57,72,69,62,60,80,78,68,72,78,,,,,,,,,,,,,58,56,25,62,22,
IPS07,Dara O'Shea,IPS,28,188,74,70,90,"DC*,DR+",54,55,35,65,31,77,30,75,70,72,61,32,25,43,70,61,68,65,70,70,74,45,60,41,76,74,48,74,70,62,65,82,78,70,73,77,,,,,,,,,,,,,62,60,30,72,25,
IPS08,Leif Davis,IPS,27,182,70,88,60,"DL*,WBL+",78,72,48,73,64,63,54,72,76,72,73,52,28,49,60,70,64,70,66,68,72,48,55,69,73,74,73,76,78,75,75,77,68,80,82,71,,,,,,,,,,,,,64,64,25,68,18,
IPS09,Azor Matusiwa,IPS,29,173,72,70,90,DM*,53,66,47,71,47,60,52,75,77,75,69,40,25,48,77,72,70,71,70,70,74,45,60,63,76,76,67,74,66,74,76,72,70,63,81,75,,,,,,,,,,,,,62,60,30,65,28,
IPS10,Jack Taylor,IPS,27,185,70,80,92,MC*,57,69,61,71,50,64,66,68,73,70,70,42,25,47,66,67,64,67,66,68,70,50,55,62,69,72,66,74,70,71,73,72,68,70,77,68,,,,,,,,,,,,,58,56,25,68,20,
IPS11,Marcelino Nunez,IPS,27,173,70,80,92,"MC*,AMC+",66,72,63,73,68,53,68,56,76,58,74,52,25,62,60,65,55,73,60,70,70,55,50,64,66,72,71,74,67,72,76,66,64,66,79,66,,,,,,,,,,,,,58,56,30,68,15,
IPS12,Conor Chaplin,IPS,29,168,69,92,80,AMC*,62,72,73,75,63,64,71,46,75,43,76,50,25,63,64,60,55,71,60,70,70,58,48,68,57,70,69,74,81,83,83,69,62,76,71,48,,,,,,,,,,,,,60,58,30,68,15,
IPS13,Sammie Szmodics,IPS,31,168,67,80,92,"AMC*,AML+",65,75,74,75,59,59,68,47,74,46,76,50,25,62,68,66,62,72,66,70,72,58,50,71,58,72,67,74,78,81,84,70,66,75,78,58,,,,,,,,,,,,,64,62,30,68,15,喜欢远射
IPS14,Kasey McAteer,IPS,24,177,67,70,90,AMR*,62,72,69,73,50,57,63,48,70,49,74,45,25,54,61,60,55,69,60,70,70,60,48,65,62,72,63,72,81,75,76,74,66,79,73,65,,,,,,,,,,,,,56,56,25,65,15,喜欢利用速度
IPS15,Jaden Philogene,IPS,24,179,67,90,94,"AML*,AMR+",67,79,72,75,49,47,68,36,72,40,78,45,25,57,48,55,55,70,60,70,70,65,48,67,49,70,65,72,79,82,73,65,64,82,75,63,,,,,,,,,,,,,56,56,30,68,15,爱盘带过人
IPS16,Zian Flemming,IPS,28,185,84,80,92,"ST*,AMC+",61,71,74,75,64,73,71,45,72,52,72,30,30,64,70,63,66,70,68,68,72,52,50,73,59,68,68,72,69,70,71,80,76,73,79,77,,,,,,,,,,,,,62,60,30,68,20,
IPS17,Chuba Akpom,IPS,30,186,81,70,90,"ST*,AMC+",54,70,76,73,47,73,66,28,69,34,72,28,28,63,62,59,64,70,66,68,70,52,50,76,42,70,60,72,75,75,69,82,68,76,73,76,,,,,,,,,,,,,62,60,35,70,18,
IPS18,George Hirst,IPS,27,191,81,70,90,ST*,46,64,73,71,43,73,64,36,64,39,68,28,28,62,65,62,64,68,66,68,70,50,50,74,51,68,60,72,72,63,63,82,76,73,71,78,,,,,,,,,,,,,60,58,35,62,22,
