id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
LEE01,Lucas Perri,LEE,28,197,98,60,88,GK*,,,,,,,,,74,,,,,,51,42,74,56,76,76,74,76,76,30,22,78,55,78,47,47,43,65,68,52,52,81,60,77,72,28,78,79,78,78,60,81,62,68,72,70,30,58,20,
LEE02,James Trafford,LEE,24,197,90,70,90,GK*,,,,,,,,,76,,,,,,47,41,74,69,76,74,76,76,58,24,43,40,66,70,59,54,58,67,74,62,48,61,72,76,80,30,78,76,74,80,62,80,58,68,72,70,30,60,18,
LEE03,Michael Zetterer,LEE,31,187,79,90,94,GK*,,,,,,,,,70,,,,,,47,39,74,55,74,70,70,72,72,30,30,74,47,74,51,42,49,62,66,54,51,72,58,71,70,28,76,71,77,72,60,77,58,64,68,64,30,55,15,
LEE04,Joe Rodon,LEE,28,193,88,70,90,DC*,40,56,30,68,33,75,31,79,74,76,63,30,28,40,69,61,72,73,78,78,76,78,42,39,66,84,50,66,74,66,63,82,84,79,76,79,,,,,,,,,,,,,74,70,30,65,28,
LEE05,Jaka Bijol,LEE,28,190,85,70,90,DC*,49,61,50,69,42,78,49,79,75,75,66,30,25,48,71,70,72,72,78,78,76,78,42,57,68,82,70,66,68,61,60,82,80,70,78,79,,,,,,,,,,,,,70,68,30,65,30,
LEE06,Nico Elvedi,LEE,30,189,84,70,90,DC*,58,61,34,70,31,76,44,79,73,76,67,30,25,38,66,70,70,72,76,76,76,78,42,56,67,82,66,64,70,67,61,81,82,73,71,77,,,,,,,,,,,,,74,70,30,68,22,
LEE07,Tarik Muharemovic,LEE,23,187,76,90,70,DC+,39,54,25,64,28,68,27,75,65,73,60,28,22,30,68,59,68,64,72,72,72,74,42,38,64,78,51,60,62,61,64,70,78,68,69,69,,,,,,,,,,,,,55,55,25,62,18,
LEE08,Jayden Bogle,LEE,25,178,69,70,90,"DR*,WBR+",70,73,53,74,39,57,50,73,73,74,74,42,28,44,64,72,68,73,76,76,74,76,45,66,69,78,74,66,82,79,75,74,70,80,80,70,,,,,,,,,,,,,66,64,35,68,22,
LEE09,Gabriel Gudmundsson,LEE,27,180,78,90,70,DL*,73,73,53,73,46,55,61,72,73,74,74,45,28,44,68,72,68,73,76,76,74,76,45,64,68,78,71,66,84,75,70,76,70,83,79,75,,,,,,,,,,,,,68,66,30,65,22,
LEE10,Melvin Bard,LEE,25,173,65,90,70,"DL*,WBL+",71,72,46,74,37,59,50,76,75,75,73,45,28,44,69,73,66,72,76,76,74,76,48,65,72,78,69,68,79,74,78,76,68,77,80,76,,,,,,,,,,,,,70,68,25,68,20,
