id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
LIV01,Alisson Becker,LIV,33,193,91,70,90,GK*,,,,,,,,,82,,,,,,50,41,84,74,86,84,84,84,84,37,25,84,56,84,66,52,50,72,70,59,49,78,62,83,74,18,82,87,84,90,55,89,65,76,84,84,30,60,15,
LIV02,Giorgi Mamardashvili,LIV,25,199,88,90,70,GK*,,,,,,,,,78,,,,,,47,36,80,47,78,76,76,78,78,29,19,78,36,78,58,50,42,66,68,58,57,75,62,79,74,30,76,82,74,84,60,84,60,70,74,72,25,60,20,
LIV03,Armin Pecsi,LIV,21,190,85,60,88,GK*,,,,,,,,,70,,,,,,40,34,74,48,72,70,70,72,72,24,20,74,33,74,57,47,47,59,66,60,41,67,56,65,70,28,74,65,67,55,76,62,60,60,58,58,35,58,15,
LIV04,Conor Bradley,LIV,23,181,75,70,90,"DR*,WBR+",72,73,57,74,36,62,53,75,74,76,74,42,25,42,74,74,70,70,76,76,74,78,45,68,72,78,72,66,82,75,71,76,70,79,82,71,,,,,,,,,,,,,68,66,45,68,25,
LIV05,Jeremie Frimpong,LIV,25,172,65,70,90,"WBR*,AMR+",76,82,64,79,45,53,54,73,76,74,80,45,28,45,69,78,68,75,74,74,76,58,55,80,73,74,71,76,91,89,87,71,62,86,87,59,,,,,,,,,,,,,70,68,40,68,20,喜欢利用速度
LIV06,Milos Kerkez,LIV,22,180,71,90,70,DL*,75,74,51,75,47,60,51,77,76,80,75,45,28,48,75,76,70,75,76,76,74,78,45,69,74,78,76,66,87,83,82,75,70,83,88,77,,,,,,,,,,,,,68,66,25,68,25,
LIV07,Giovanni Leoni,LIV,19,196,84,80,92,DC+,32,51,30,65,28,70,29,74,66,72,58,28,22,31,64,58,66,69,74,74,74,76,42,37,62,80,50,62,61,58,52,71,80,64,69,72,,,,,,,,,,,,,55,55,25,62,15,
LIV08,Jeremy Jacquet,LIV,21,180,81,70,90,DC+,42,61,52,67,42,69,54,41,63,41,64,28,25,61,46,52,68,60,74,74,74,76,42,55,31,78,61,62,77,64,68,74,78,73,60,64,,,,,,,,,,,,,58,58,25,62,15,
LIV09,Virgil van Dijk,LIV,35,193,92,70,90,DC*,52,68,48,78,59,86,58,88,81,85,74,32,30,54,74,75,74,88,84,84,84,82,42,63,75,86,79,72,70,63,58,85,88,77,79,86,,,,,,,,,,,,,82,84,25,62,22,
LIV10,Joe Gomez,LIV,29,188,77,70,90,"DC*,DR+",63,67,28,73,31,76,30,79,76,78,72,30,25,32,70,71,70,75,76,76,76,78,42,58,67,82,69,64,74,67,67,82,80,68,65,77,,,,,,,,,,,,,70,66,70,75,25,
LIV11,Wataru Endo,LIV,33,178,77,80,92,DM*,57,72,59,76,45,72,63,78,78,77,74,40,25,55,77,74,74,78,78,78,76,82,45,68,72,80,77,66,74,72,76,81,72,61,75,71,,,,,,,,,,,,,76,72,25,72,30,
LIV12,Ryan Gravenberch,LIV,23,190,77,80,92,"DM*,MC*",68,83,70,85,60,66,69,78,84,79,86,45,28,55,69,80,66,85,80,80,80,55,62,71,82,78,79,80,78,78,73,80,76,78,84,82,,,,,,,,,,,,,76,72,35,72,20,
LIV13,Alexis Mac Allister,LIV,27,176,72,70,90,"MC*,DM+",72,81,75,84,71,64,78,72,86,76,84,50,28,76,73,79,64,84,80,80,80,82,58,73,75,78,84,82,74,79,81,74,70,70,82,74,,,,,,,,,,,,,78,76,30,72,20,
LIV14,Dominik Szoboszlai,LIV,25,186,74,80,92,"AMC*,AMR*,MR*",78,81,76,82,79,64,78,60,84,63,83,55,30,78,69,75,66,81,80,80,82,68,70,79,65,78,82,88,77,77,72,74,78,80,87,71,,,,,,,,,,,,,76,76,25,75,25,喜欢远射
LIV15,Curtis Jones,LIV,25,185,75,80,92,MC*,65,81,70,81,50,56,69,66,82,73,82,48,28,58,66,74,62,80,76,76,76,76,58,71,71,74,79,76,72,74,73,73,68,78,79,76,,,,,,,,,,,,,72,70,35,70,18,
LIV16,Victor Munoz,LIV,22,173,70,70,90,"DM+,MC+",59,69,57,69,43,47,54,41,67,46,69,38,25,48,49,54,64,64,74,74,72,76,45,60,36,76,66,64,76,61,75,55,68,72,59,52,,,,,,,,,,,,,55,55,25,62,15,
LIV17,Florian Wirtz,LIV,23,177,71,80,92,"AMC*,AML+",79,88,80,90,70,47,79,55,89,46,91,55,28,67,58,73,60,85,86,80,80,88,62,74,70,58,86,90,80,85,86,71,60,79,84,67,,,,,,,,,,,,,76,78,25,70,15,喜欢直塞身后
LIV18,Bradley Barcola,LIV,23,188,70,80,92,"AML*,AMR+",75,84,78,82,58,63,71,36,79,37,82,45,25,62,56,66,58,79,74,74,76,74,74,71,52,55,75,74,86,89,74,79,66,86,80,70,,,,,,,,,,,,,70,68,25,68,18,喜欢利用速度
LIV19,Cody Gakpo,LIV,27,189,76,80,92,"AML*,ST+",77,84,80,82,68,73,77,41,79,42,84,50,28,67,60,67,64,81,78,76,76,78,70,72,56,56,78,76,82,78,72,86,70,80,78,76,,,,,,,,,,,,,72,70,30,70,15,喜欢内切
LIV20,Federico Chiesa,LIV,28,175,70,80,92,"AMR*,AML+",72,83,78,79,60,54,75,41,76,43,81,50,28,62,66,66,62,78,74,74,76,74,72,71,55,55,74,72,84,85,82,76,66,80,70,70,,,,,,,,,,,,,66,68,60,68,20,
LIV21,Hugo Ekitike,LIV,24,189,70,70,90,ST*,54,82,79,83,51,74,71,31,76,35,81,42,28,61,61,60,64,77,74,74,76,78,62,74,49,55,75,68,82,81,77,84,78,83,84,73,,,,,,,,,,,,,68,66,30,68,18,
