id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
MCI01,Gianluigi Donnarumma,MCI,27,196,90,70,90,GK*,,,,,,,,,82,,,,,,52,45,84,66,82,82,82,84,84,36,29,82,52,82,60,61,50,66,68,62,53,77,60,80,74,18,80,85,75,88,55,89,58,72,80,80,25,60,15,
MCI02,Stefan Ortega,MCI,33,185,88,80,92,GK*,,,,,,,,,76,,,,,,49,41,78,64,76,74,74,76,76,29,33,76,56,76,59,49,58,66,66,60,48,73,60,74,70,30,80,77,81,76,62,80,60,66,72,70,30,58,18,
MCI03,Ruben Dias,MCI,29,187,82,80,92,DC*,52,64,34,76,44,82,34,86,81,83,72,32,28,44,77,69,72,84,80,80,80,80,42,55,73,86,70,70,64,67,62,83,86,68,74,85,,,,,,,,,,,,,78,76,25,65,30,
MCI04,Josko Gvardiol,MCI,24,185,80,94,90,"DC*,DL+",66,74,60,78,51,78,64,83,80,82,77,35,28,55,76,77,70,80,78,78,78,80,45,65,72,84,73,70,78,71,69,84,80,79,79,80,,,,,,,,,,,,,74,70,25,70,30,
MCI05,Abdukodir Khusanov,MCI,22,186,84,70,90,"DC*,DR+",47,61,36,69,37,73,40,77,71,77,67,30,25,44,75,66,72,71,74,74,74,76,42,50,66,80,65,64,79,67,60,83,80,86,70,78,,,,,,,,,,,,,66,64,30,65,30,
MCI06,Rico Lewis,MCI,22,170,64,70,90,"DR*,DL+,DM+",70,76,51,76,41,58,50,76,78,75,76,45,25,48,63,74,64,77,76,76,76,48,58,67,76,76,73,80,78,81,80,65,76,76,75,58,,,,,,,,,,,,,70,68,30,80,20,
MCI07,Nico O'Reilly,MCI,21,193,77,88,60,"DL*,DC+,MC+",66,72,58,73,51,69,59,72,75,72,73,40,25,53,65,72,66,74,76,76,76,45,58,65,73,76,70,78,72,72,73,75,76,75,74,72,,,,,,,,,,,,,64,62,25,72,20,
MCI08,Rayan Ait-Nouri,MCI,25,180,70,90,70,"DL*,WBL+",78,83,51,80,53,64,51,76,78,77,81,48,28,44,65,75,68,78,76,76,74,76,55,68,76,76,75,70,85,80,77,77,70,82,81,71,,,,,,,,,,,,,72,68,35,70,25,
MCI09,Matheus Nunes,MCI,28,184,78,70,90,"DR*,MR*,MC+",70,76,65,78,53,57,62,76,78,75,67,28,50,61,76,73,76,75,76,76,55,58,68,76,75,70,78,78,76,77,72,75,70,85,79,76,,,,,,,,,,,,,72,68,30,72,22,
MCI10,Enzo Fernandez,MCI,25,178,76,80,92,"DM*,MC*",72,79,70,85,69,67,74,70,87,76,83,52,28,72,75,78,66,82,80,80,82,85,70,73,72,78,84,84,73,75,76,75,70,72,81,74,,,,,,,,,,,,,78,78,25,70,25,喜欢远射
MCI11,Tijjani Reijnders,MCI,28,185,73,80,92,"MC*,DM*",69,81,72,86,62,61,76,75,86,76,84,48,28,57,72,81,66,83,78,78,80,58,66,79,80,78,82,82,81,80,78,77,78,76,88,72,,,,,,,,,,,,,76,74,25,72,20,
MCI12,Rayan Cherki,MCI,23,177,71,94,90,"AMC*,AMR+",74,90,75,87,66,38,73,27,82,29,89,50,25,63,55,58,58,82,78,76,78,80,60,66,42,55,82,82,75,80,85,66,58,75,72,71,,,,,,,,,,,,,66,68,30,68,15,爱盘带过人
MCI13,Elliot Anderson,MCI,24,179,69,80,92,"DM*,MC*",71,78,62,80,58,70,61,75,81,77,80,42,28,58,70,77,66,79,78,78,76,78,50,70,71,80,79,72,78,75,79,81,72,72,82,77,,,,,,,,,,,,,72,70,25,70,22,
