id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
MUN01,Senne Lammens,MUN,24,193,92,80,92,GK*,,,,76,,,,,,,,,,,29,10,78,52,78,76,76,74,74,34,35,56,34,78,27,55,44,63,66,38,45,76,74,78,58,70,72,79,74,82,25,77,80,76,72,70,30,60,20,
MUN02,Karl Darlow,MUN,36,190,88,60,88,GK*,,,,72,,,,,,,,,,,13,22,76,61,76,74,76,72,72,40,40,60,38,76,52,69,66,63,62,54,52,63,68,72,56,66,68,73,69,78,28,76,74,72,70,66,30,55,18,
MUN03,Matthijs de Ligt,MUN,27,189,89,70,90,DC*,50,64,46,73,47,83,63,83,77,79,70,30,25,40,76,70,74,79,78,78,78,80,42,54,69,86,58,66,63,61,65,84,86,71,70,85,,,,,,,,,,,,,74,72,40,62,28,
MUN04,Leny Yoro,MUN,21,190,75,70,90,DC*,47,61,39,71,33,75,39,78,75,79,67,30,25,40,67,66,70,74,76,76,76,76,42,48,66,82,66,66,70,64,66,80,80,75,72,75,,,,,,,,,,,,,62,62,35,62,20,
MUN05,Lisandro Martinez,MUN,28,178,77,90,70,"DC*,DL+",64,71,48,77,49,75,58,81,79,81,76,35,28,51,84,75,78,79,78,78,78,80,45,62,71,84,78,70,74,71,73,84,80,71,73,77,,,,,,,,,,,,,72,74,80,65,40,
MUN06,Ayden Heaven,MUN,20,189,84,90,70,"DC+,DL+",43,60,30,63,31,68,32,72,66,71,63,28,22,40,65,60,66,69,72,72,72,74,42,42,61,78,60,62,72,63,59,77,76,72,66,76,,,,,,,,,,,,,55,55,25,65,18,
MUN07,Diogo Dalot,MUN,27,183,76,80,92,"DR*,WBR+",72,75,52,75,48,67,61,76,76,77,76,48,28,46,73,76,68,76,78,78,76,80,45,69,72,80,76,70,84,75,74,81,70,82,80,76,,,,,,,,,,,,,72,70,30,72,25,
MUN08,Noussair Mazraoui,MUN,29,183,65,70,90,"DR*,DL+,MR+",72,77,61,78,42,68,56,77,78,76,78,45,28,44,66,77,66,78,76,76,76,55,58,71,78,78,74,82,77,75,75,76,76,75,78,71,,,,,,,,,,,,,70,68,35,85,22,
MUN09,Patrick Dorgu,MUN,22,185,70,88,60,"DL*,WBR+",70,74,53,73,47,63,55,70,72,72,73,45,25,46,63,71,68,73,76,76,74,76,45,64,66,76,71,68,84,75,77,80,70,83,77,76,,,,,,,,,,,,,60,60,25,65,22,
MUN10,Luke Shaw,MUN,31,181,75,88,60,"DL*,DC+",72,72,46,76,56,71,53,79,79,77,75,42,28,40,74,75,68,76,78,78,76,78,45,67,71,80,77,68,73,65,72,80,76,72,60,77,,,,,,,,,,,,,68,68,85,72,22,
MUN11,Carlos Baleba,MUN,22,183,77,90,70,"DM*,MC+",61,79,59,78,47,65,65,76,80,80,78,40,25,48,75,76,74,78,78,78,76,80,45,64,70,80,77,72,79,78,77,79,70,76,81,81,,,,,,,,,,,,,66,66,35,68,30,
MUN12,Youri Tielemans,MUN,29,176,72,80,92,"MC*,DM+",75,77,75,84,76,66,78,68,87,74,83,60,30,75,62,76,60,86,80,80,82,78,68,74,75,68,84,86,62,66,76,71,68,66,81,74,,,,,,,,,,,,,78,76,25,75,20,喜欢远射
MUN13,Andrey Santos,MUN,22,180,75,70,90,"DM*,MC*",57,75,65,78,50,74,66,71,80,80,77,42,25,52,72,77,68,78,78,78,76,78,52,71,67,80,79,72,78,77,71,83,72,73,85,77,,,,,,,,,,,,,64,64,25,70,25,
MUN14,Manuel Ugarte,MUN,25,182,77,70,90,DM*,60,73,58,75,51,57,58,77,77,80,74,40,25,54,82,77,74,78,78,78,76,80,45,66,71,80,75,68,71,71,73,72,70,68,73,77,,,,,,,,,,,,,68,66,35,70,40,
MUN15,Kobbie Mainoo,MUN,21,181,80,70,90,"MC*,DM+",63,80,67,80,51,62,60,71,79,75,81,45,25,54,68,75,64,80,76,76,76,55,60,69,75,76,75,78,72,77,82,72,74,70,76,73,,,,,,,,,,,,,62,64,40,70,15,
MUN16,Mason Mount,MUN,27,181,74,80,92,"AMC*,MC*,AML+",73,77,71,79,71,55,71,54,79,57,79,48,28,65,66,71,62,78,76,76,76,74,60,68,64,58,76,78,73,74,74,67,64,70,66,65,,,,,,,,,,,,,64,68,80,75,15,
MUN17,Bruno Fernandes,MUN,32,179,69,80,92,"AMC*,MC*",76,81,80,86,85,61,83,55,88,61,86,58,30,87,72,76,60,85,80,80,84,88,72,76,68,58,86,88,74,77,76,73,58,71,88,68,,,,,,,,,,,,,76,82,25,75,18,喜欢远射|喜欢直塞身后
