id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
NEW01,Nick Pope,NEW,34,199,90,70,90,GK*,,,,74,,,,,,,,,,,36,18,80,69,80,78,78,76,76,39,43,62,46,80,46,54,54,68,66,51,48,74,74,78,60,72,72,82,73,84,30,81,82,78,76,74,30,60,25,
NEW02,Aaron Ramsdale,NEW,28,191,77,70,90,GK*,,,,74,,,,,,,,,,,35,21,78,66,78,76,76,74,74,41,45,60,55,76,44,62,57,64,66,53,51,67,74,75,60,70,72,78,79,80,30,79,78,76,70,68,35,60,22,
NEW03,Sven Botman,NEW,26,193,81,90,70,DC*,45,62,30,74,31,80,39,84,77,80,70,30,25,38,74,70,72,77,78,78,76,78,42,53,70,84,67,66,59,60,48,80,84,68,71,84,,,,,,,,,,,,,72,70,40,62,25,
NEW04,Malick Thiaw,NEW,25,194,89,80,92,DC*,52,67,42,74,40,78,44,80,79,77,72,30,25,54,70,67,72,78,78,78,76,78,42,50,67,84,70,64,74,71,61,84,82,74,77,80,,,,,,,,,,,,,70,68,30,65,25,
NEW05,Dan Burn,NEW,34,201,104,90,70,"DC*,DL+",59,65,32,69,42,80,34,81,75,78,69,32,30,45,76,72,74,77,78,78,76,80,42,64,69,84,68,62,51,48,46,74,86,59,76,84,,,,,,,,,,,,,74,70,30,70,25,
NEW06,Jamal Lascelles,NEW,33,188,83,70,90,DC*,46,48,36,64,24,76,33,77,68,74,57,30,25,28,73,59,72,66,76,76,76,78,42,40,64,82,55,64,52,57,54,80,82,51,49,80,,,,,,,,,,,,,70,68,35,62,28,
NEW07,Tino Livramento,NEW,24,181,71,80,92,"DR*,WBR+",74,76,49,76,47,58,47,77,76,78,76,45,25,43,68,74,68,77,76,76,74,78,45,66,73,78,71,68,82,78,79,75,70,82,81,74,,,,,,,,,,,,,68,66,40,68,22,
NEW08,Lewis Hall,NEW,22,179,71,90,70,"DL*,WBL+",76,76,55,77,59,62,56,77,77,78,77,48,25,50,59,73,66,75,76,76,74,76,48,64,72,80,77,70,80,79,81,73,68,76,79,65,,,,,,,,,,,,,66,66,30,68,20,
NEW09,Amar Dedic,NEW,24,180,74,80,92,DR*,71,74,55,74,53,58,53,68,72,72,74,42,25,44,73,70,68,73,76,76,74,76,45,63,64,76,69,66,83,79,75,75,70,80,85,73,,,,,,,,,,,,,62,62,25,65,22,
NEW10,Emil Krafth,NEW,32,184,83,70,90,"DR*,DC+",65,68,52,73,48,67,53,76,74,75,71,40,25,49,65,69,68,74,76,76,76,78,45,58,69,78,68,66,63,66,66,72,74,61,63,74,,,,,,,,,,,,,70,68,30,72,20,
