id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
NFO01,Matz Sels,NFO,34,188,75,60,88,GK*,,,,,,,,,74,,,,,,48,41,78,68,78,74,74,76,76,35,24,78,51,78,50,46,47,62,68,50,45,71,60,79,72,30,80,79,78,78,60,82,60,68,78,76,30,60,20,
NFO02,John Victor,NFO,30,196,91,50,86,GK*,,,,,,,,,72,,,,,,43,34,76,43,76,72,72,74,74,25,23,76,39,76,39,39,41,56,66,45,40,72,58,69,70,28,76,71,69,76,58,77,58,66,76,74,30,58,18,
NFO03,Ola Aina,NFO,30,184,82,80,92,"DR*,WBR+",73,74,52,73,45,66,64,78,74,78,74,45,28,47,67,73,68,74,76,76,74,78,45,64,74,78,72,68,87,74,77,81,70,83,78,76,,,,,,,,,,,,,70,68,55,68,25,
NFO04,Neco Williams,NFO,25,183,72,70,90,"DL*,WBL+",73,73,46,73,50,64,47,77,74,78,73,48,25,44,69,72,68,73,76,76,74,76,45,62,72,78,71,68,76,75,74,77,68,74,76,70,,,,,,,,,,,,,66,66,25,68,22,
NFO05,Murillo,NFO,24,180,75,90,70,DC*,51,67,36,73,48,78,53,83,76,82,71,30,25,47,73,68,72,79,78,78,76,78,45,48,70,84,68,66,82,70,67,88,82,79,73,85,,,,,,,,,,,,,72,70,25,65,25,
NFO06,Nikola Milenkovic,NFO,28,195,90,70,90,DC*,58,59,39,71,31,84,49,85,74,82,67,30,28,36,78,66,74,78,78,78,76,80,42,45,71,86,64,64,68,54,48,85,84,62,77,85,,,,,,,,,,,,,74,72,25,65,30,
NFO07,Ousmane Diomande,NFO,22,190,93,70,90,DC*,36,68,28,70,28,78,30,79,73,78,71,30,25,39,75,61,72,75,76,76,76,78,42,38,67,82,53,64,79,69,69,87,80,81,80,85,,,,,,,,,,,,,64,64,25,62,25,
NFO08,Morato,NFO,25,192,88,88,60,"DC*,DL+",54,62,35,67,31,76,34,77,69,76,66,32,25,42,72,62,70,75,76,76,76,78,42,41,66,82,60,66,62,55,55,77,80,64,68,85,,,,,,,,,,,,,64,64,35,68,22,
NFO09,Alex Moreno,NFO,33,179,68,88,60,"DL*,WBL+",73,73,58,75,48,62,55,75,75,75,74,50,28,50,69,74,68,72,76,76,74,76,48,66,72,78,74,70,76,75,74,72,68,77,71,66,,,,,,,,,,,,,68,68,40,70,22,
NFO10,Ryan Yates,NFO,29,190,87,70,90,"DM*,MC+",58,67,57,73,47,69,57,75,75,77,71,42,28,52,78,74,70,73,78,78,76,80,45,65,70,80,71,70,63,62,60,76,72,61,80,79,,,,,,,,,,,,,72,70,30,70,30,
NFO11,Douglas Luiz,NFO,28,175,66,60,88,"DM*,MC*",73,78,68,83,77,62,78,73,82,76,83,52,28,76,70,76,64,82,78,78,80,80,62,71,74,78,82,78,73,73,75,72,70,71,75,72,,,,,,,,,,,,,72,72,30,75,22,喜欢远射
NFO12,Morgan Gibbs-White,NFO,26,179,66,70,90,"AMC*,MC*",74,82,75,84,67,58,73,55,83,56,84,52,28,70,64,72,60,82,78,78,80,80,68,71,66,58,81,82,78,80,80,74,64,76,78,73,,,,,,,,,,,,,72,72,30,72,20,喜欢直塞身后
NFO13,James McAtee,NFO,23,180,72,90,70,"AMC*,AMR+",67,77,70,77,54,45,67,42,74,42,78,48,25,57,48,52,72,66,74,74,74,74,76,71,47,76,65,72,74,79,74,68,78,66,69,68,,,,,,,,,,,,,64,64,30,68,15,
NFO14,Callum Hudson-Odoi,NFO,25,182,76,70,90,"AML*,AMR+",72,81,74,78,63,52,74,45,75,46,81,48,28,58,54,57,70,70,74,74,74,74,76,74,51,78,68,70,81,82,82,76,80,71,74,69,,,,,,,,,,,,,66,66,35,68,15,爱盘带过人
NFO15,Dan Ndoye,NFO,25,184,79,70,90,"AMR*,AML*",71,82,73,78,53,53,67,51,72,56,80,45,28,59,59,63,70,68,74,74,74,76,76,72,56,78,63,72,82,82,80,78,80,81,80,73,,,,,,,,,,,,,66,66,30,68,18,喜欢利用速度
NFO16,Omari Hutchinson,NFO,23,174,65,90,70,"AMR*,AMC+",64,79,71,77,58,49,70,47,71,50,79,45,22,59,56,59,68,66,72,72,72,74,74,71,53,74,64,68,77,81,84,71,78,71,75,63,,,,,,,,,,,,,60,60,25,65,15,爱盘带过人
NFO17,Chris Wood,NFO,35,191,92,70,90,ST*,51,69,82,77,57,86,69,38,72,37,73,40,30,76,70,64,68,78,74,74,74,76,52,72,56,55,70,64,63,58,48,83,84,62,72,83,,,,,,,,,,,,,72,72,25,62,22,高举高打
NFO18,Arnaud Kalimuendo,NFO,24,178,79,70,90,ST*,56,76,79,76,53,70,72,32,67,29,75,40,28,71,62,58,64,77,74,74,74,76,60,69,50,55,68,66,80,79,84,82,74,76,75,74,,,,,,,,,,,,,68,66,30,65,20,喜欢利用速度
