id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
SUN01,Robin Roefs,SUN,22,192,72,90,70,GK*,,,,,,,,,74,,,,,,45,33,76,48,76,72,72,74,74,26,21,76,36,76,45,43,41,54,68,49,43,69,60,70,70,25,76,75,70,78,58,77,60,66,76,76,30,58,18,
SUN02,Anthony Patterson,SUN,26,189,87,70,90,GK*,,,,,,,,,72,,,,,,47,36,76,51,76,72,72,74,74,28,28,76,53,76,45,48,48,55,66,47,47,64,58,70,70,28,76,72,73,76,58,76,58,66,76,74,30,58,18,
SUN03,Dan Ballard,SUN,27,187,85,70,90,DC*,38,58,31,64,32,74,32,76,68,74,63,30,28,38,74,63,72,68,78,78,76,80,42,47,63,84,66,64,63,60,57,80,84,69,71,83,,,,,,,,,,,,,70,70,35,62,30,
SUN04,Nordi Mukiele,SUN,29,187,84,70,90,"DC*,DR+",63,68,41,74,35,74,49,80,73,81,72,32,28,44,75,73,70,73,76,76,76,78,42,61,69,84,69,66,77,69,68,78,80,73,71,79,,,,,,,,,,,,,68,68,30,70,25,
SUN05,Omar Alderete,SUN,29,188,77,90,70,DC*,53,65,49,70,46,78,57,81,72,77,70,30,25,43,73,72,72,71,78,78,76,78,42,62,68,82,62,64,64,70,63,80,80,68,73,79,,,,,,,,,,,,,70,68,30,65,28,
SUN06,Kevin Danso,SUN,28,190,85,70,90,DC*,45,59,32,70,33,80,32,79,72,77,66,30,25,41,77,66,72,74,76,76,76,78,42,50,66,82,62,64,70,62,56,85,82,79,70,84,,,,,,,,,,,,,68,68,30,65,25,
SUN07,Trai Hume,SUN,24,180,75,70,90,DR*,68,69,42,70,36,66,38,72,69,74,70,42,25,42,75,68,68,67,76,76,74,76,45,59,68,78,65,66,80,73,71,80,70,80,81,77,,,,,,,,,,,,,64,64,25,68,22,
SUN08,Thomas Meunier,SUN,35,191,90,80,92,"DR*,WBR+",75,72,62,73,50,74,66,74,71,75,73,45,28,57,69,74,66,75,78,78,76,80,45,69,70,80,75,68,68,67,56,81,70,70,76,81,,,,,,,,,,,,,68,68,30,72,20,
SUN09,Reinildo,SUN,32,180,73,90,70,DL*,69,71,52,74,38,70,47,77,75,77,72,42,28,43,75,74,72,74,76,76,76,78,45,65,70,80,70,66,81,76,72,83,72,79,80,75,,,,,,,,,,,,,24,22,20,18,16,
SUN10,Dennis Cirkin,SUN,23,182,72,90,70,DL*,66,69,52,70,53,62,53,71,70,70,70,45,25,45,62,67,68,69,76,76,74,76,45,57,66,78,66,66,79,71,69,74,68,77,76,65,,,,,,,,,,,,,22,20,18,16,14,
