id,name,club,age,height_cm,weight_kg,foot_l,foot_r,positions,crossing,dribbling,finishing,first_touch,free_kicks,heading,long_shots,marking,passing,tackling,technique,corners,long_throws,penalties,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,gk_first_touch,handling,kicking,one_on_ones,punching,reflexes,rushing_out,throwing,consistency,important_matches,injury_proneness,versatility,dirtiness,traits
TOT01,Guglielmo Vicario,TOT,30,194,76,80,92,GK*,,,,,,,,,78,,,,,,49,40,80,68,78,76,76,78,78,32,30,78,57,78,61,59,49,63,68,59,52,67,62,77,72,28,80,79,78,80,60,83,62,70,80,80,30,60,20,
TOT02,Martin Dubravka,TOT,37,190,80,60,88,GK*,,,,,,,,,72,,,,,,47,41,78,66,76,74,74,76,76,31,27,76,51,76,49,53,62,58,66,53,52,66,60,73,70,28,78,76,76,76,58,79,60,66,78,76,30,55,18,
TOT03,Antonin Kinsky,TOT,23,190,80,80,92,GK*,,,,,,,,,72,,,,,,45,34,76,72,74,72,72,74,74,26,21,76,44,76,42,47,41,57,66,44,41,66,58,72,70,25,76,76,75,76,58,76,58,66,76,76,30,58,18,
TOT04,Cristian Romero,TOT,28,185,79,60,88,DC*,45,62,46,70,38,80,40,83,77,82,68,30,25,40,82,70,76,79,78,78,78,80,45,52,71,86,67,66,69,69,67,84,84,72,73,81,,,,,,,,,,,,,74,76,40,62,40,
TOT05,Micky van de Ven,TOT,25,193,86,90,70,"DC*,DL+",54,69,42,75,34,76,51,82,76,81,73,30,25,39,71,70,72,80,78,78,76,78,42,53,69,84,64,66,83,67,59,86,84,91,73,82,,,,,,,,,,,,,72,72,30,62,15,喜欢利用速度
TOT06,Radu Dragusin,TOT,24,191,80,70,90,DC*,40,62,32,68,34,76,41,77,72,76,67,30,25,45,69,61,72,72,78,78,76,78,42,40,64,84,60,64,69,67,63,80,82,72,71,77,,,,,,,,,,,,,70,68,30,62,22,
TOT07,Marcos Senesi,TOT,29,185,80,92,80,"DC*,DL+",59,70,36,75,35,76,49,79,77,78,74,35,25,41,74,65,70,77,78,78,76,78,45,44,69,84,76,70,68,69,65,80,80,62,68,78,,,,,,,,,,,,,70,70,30,68,22,
TOT08,Pedro Porro,TOT,27,173,69,70,90,"DR*,WBR+",81,78,63,79,67,66,66,76,79,76,79,52,28,59,69,76,68,78,76,76,76,78,55,69,74,78,78,72,81,80,74,77,70,78,87,72,,,,,,,,,,,,,72,70,30,70,20,
TOT09,Andy Robertson,TOT,32,178,64,88,60,"DL*,WBL+",83,74,54,77,65,67,61,78,79,78,76,55,30,52,75,77,68,80,78,78,78,80,45,75,75,80,79,70,80,75,74,76,70,75,80,73,,,,,,,,,,,,,76,74,35,70,25,
TOT10,Destiny Udogie,TOT,24,186,73,90,70,"DL*,WBL+",75,77,58,77,47,66,55,77,77,76,78,48,25,46,73,76,68,76,76,76,74,78,45,69,73,78,75,70,85,76,72,81,70,85,79,77,,,,,,,,,,,,,68,68,30,68,22,
